DA LL 1,DA LL 2,DBL1,DBL2,DB LL 3,DB LL 4,DBL20,DBL21
0.267238995,0.167108592,0.267736051,0.167292628,0.11840323,0.308763345,0.092925739,0.074010218
0.567632412,0.443687441,0.483465618,0.506685915,0.57371138,0.045021467,0.836564859,0.079608358
0.105332674,0.037284462,0.417295911,0.525977665,0.500573137,0.262888911,0.054581397,0.495141669
0.375865727,0.082060431,0.270769507,0.093441686,0.098815054,0.401501575,0.350040366,0.401042921
0.041022477,0.057412255,0.128442873,0.053469456,0.252058941,0.054988754,0.311069087,0.045801933
0.103328782,0.057893477,0.119968917,0.035329025,0.130605394,0.186944915,0.06860092,0.061003521
0.161528263,0.050667255,0.215998617,0.051876861,0.037793036,0.6311671,0.031719483,0.061165317
0.055934739,0.052822335,0.060008878,0.046289244,0.099902079,0.044603728,0.038636444,0.033116446
0.365165526,0.089048155,0.068355961,0.075165572,0.04289315,0.024446263,0.050029744,0.096154001
0.129940196,0.041261494,0.14346813,0.08391958,0.107097121,0.040249545,0.064535856,0.042950819
0.099000579,0.104410748,0.11654876,0.120639508,0.05193485,0.212272669,0.108803136,0.085748739
0.64891477,0.919831488,0.164433864,0.056703509,0.120155891,0.037366259,0.406205043,0.064832661
0.399218135,0.369705406,0.516659281,0.600480186,0.272364724,0.546197981,0.669508353,0.628891992
0.913162098,0.912609556,0.456359281,0.462118947,0.772398858,0.628773882,0.440233851,0.138161316
0.146863033,0.055747417,0.050234672,0.899166019,0.037930058,0.819597821,0.08654916,0.93856235
0.338925477,0.093364074,0.280986721,0.110047494,0.397222516,0.191319686,0.899171679,0.08239351
0.20774918,0.463261924,0.125016592,0.561663573,0.27816824,0.396426739,0.099426268,0.5258847
0.243347513,0.499374772,0.173262028,0.056200033,0.119043594,0.057195298,0.097671355,0.523984956
0.062936753,0.031458086,0.089766062,0.116070565,0.02563453,0.050931672,0.029907025,0.04017025
0.568731965,0.063271438,0.340209275,0.07447166,0.030297142,0.109371166,0.079770459,0.058187424
0.446930634,0.483727107,0.504104252,0.523160557,0.522006895,0.837108672,0.071161247,0.510564255
0.283588725,0.483767144,0.067626647,0.056542974,0.029125475,0.310536355,0.062703921,0.062853418
0.164947949,0.03978185,0.094929693,0.079750094,0.186103408,0.123222286,0.057042186,0.034280903
0.173196836,0.063920449,0.179563367,0.488712441,0.213445287,0.460612944,0.285761566,0.180817669
0.292237579,0.026065161,0.301798177,0.539818646,0.066549992,0.635304773,0.413804965,0.489214065
0.040206461,0.035846313,0.068888677,0.518574872,0.020886763,0.038199282,0.035237453,0.030841194
0.376747477,0.027367478,0.044934341,0.04518196,0.117691107,0.043604923,0.047209039,0.220941254
0.094377662,0.034062096,0.120534642,0.177053224,0.032348871,0.098336487,0.417200634,0.040990388
0.15926766,0.041881193,0.250475932,0.20512079,0.206276183,0.287156724,0.06811764,0.046698742
0.864683351,0.499491896,0.531912232,0.493946366,0.561458167,0.338534747,0.091626753,0.533722984
0.268540432,0.054645328,0.14443845,0.099480225,0.052423505,0.042868398,0.040298999,0.049895733
0.7536109,0.918022133,0.769931956,0.939198288,0.892141105,0.897803137,0.456643693,0.941539964
0.211185778,0.477818799,0.333727092,0.429483004,0.752032887,0.534957427,0.078435301,0.483332554
0.118033139,0.05913128,0.040916297,0.047758478,0.422254746,0.657974479,0.053031297,0.036215701
0.247878326,0.046970316,0.061633609,0.549441966,0.061942547,0.666811812,0.050503609,0.587142675
0.645764927,0.668275947,0.934174509,0.928944601,0.93357664,0.887195066,0.771537012,0.922861472
0.345099448,0.03329937,0.31592715,0.11830436,0.512213351,0.247035732,0.068865361,0.03950694
0.679387466,0.485857621,0.539331413,0.380522879,0.550127052,0.45722941,0.51725968,0.521767436
0.273306427,0.489760775,0.065070342,0.036936934,0.116777268,0.034193916,0.063536385,0.042513325
0.364202259,0.742773558,0.116220263,0.217047787,0.377704994,0.101324828,0.113982674,0.471570673
0.461630142,0.453987626,0.476622934,0.499495603,0.582257892,0.748317548,0.343068216,0.507496447
0.099209277,0.06365709,0.06948323,0.554023745,0.076163628,0.608575424,0.355609307,0.488888505
0.219386142,0.04807274,0.146810912,0.05196092,0.413445915,0.126795393,0.196390694,0.041014205
0.75741131,0.533584962,0.087909239,0.081537445,0.026299951,0.070569309,0.207871153,0.045488288
0.826001015,0.86037179,0.903296262,0.89451752,0.741095476,0.773262948,0.750394249,0.789213582
0.098980016,0.041638508,0.111146007,0.092347181,0.093396812,0.063024185,0.051691512,0.037104925
0.907689892,0.944961073,0.928180319,0.960153897,0.903156439,0.780040691,0.052855428,0.945305779
0.690605248,0.491564396,0.698074197,0.571283432,0.612564611,0.402624938,0.036517632,0.546753763
0.573945885,0.5563652,0.548756767,0.562364326,0.835685354,0.446943555,0.62217617,0.585855018
0.062952909,0.03765961,0.051893505,0.052414873,0.33740989,0.117859495,0.062418307,0.051834763
0.409527905,0.0456267,0.207494241,0.511168121,0.037931092,0.469752506,0.092725365,0.535785339
0.457900016,0.531856276,0.262428323,0.258425687,0.12844602,0.205058506,0.508805331,0.102455863
0.047879777,0.454430047,0.050207187,0.030445388,0.139829577,0.097457941,0.038107748,0.028892561
0.906968158,0.924110972,0.708275177,0.643521657,0.929554224,0.448824943,0.814375521,0.535234687
0.544916414,0.374091432,0.533955411,0.37480441,0.754953856,0.507366495,0.335364,0.085787
0.11740492,0.048483503,0.282570444,0.598106285,0.102234067,0.759477504,0.066904513,0.478967901
0.256165729,0.616053216,0.605456395,0.425227626,0.59725754,0.716192196,0.039626518,0.606787278
0.397825336,0.499044762,0.112186425,0.573026165,0.074434686,0.210949063,0.105194959,0.546461143
0.507870866,0.068613545,0.128307661,0.493484406,0.19211089,0.598214778,0.376159614,0.476070662
0.517714489,0.576410929,0.363719321,0.930360308,0.076453877,0.915686004,0.054581633,0.931605119
0.123223356,0.039496923,0.898521292,0.590169565,0.924104796,0.886062291,0.049453334,0.947747005
0.063574074,0.024142756,0.177461394,0.080720196,0.151969988,0.048764884,0.034326207,0.027159774
0.162632726,0.343138295,0.070627249,0.322567174,0.137976628,0.075870223,0.028049278,0.031117289
0.073733656,0.055752042,0.085809827,0.189003164,0.093042858,0.033765356,0.037742085,0.037643166
0.142918084,0.04236779,0.062194309,0.037279125,0.031845551,0.111548658,0.063880751,0.03901923
0.329304005,0.05057891,0.144297721,0.325113285,0.155896652,0.198041745,0.334398,0.073648564
0.141939989,0.070868199,0.39981667,0.526167389,0.095500139,0.48367005,0.079268126,0.503720945
0.315753405,0.42234984,0.642633995,0.955290497,0.634620271,0.940217661,0.431871485,0.947767987
0.300607724,0.270289963,0.209567215,0.220090755,0.108129887,0.052899134,0.525610627,0.484546205
0.497204251,0.202023728,0.446353967,0.468856404,0.045513083,0.63993125,0.413018441,0.516020812
0.484757243,0.230418654,0.433436494,0.491068426,0.639264117,0.621267569,0.49236715,0.480150687
0.269351791,0.351745175,0.321093045,0.076644456,0.183017833,0.176502369,0.109019186,0.067299592
0.443573098,0.046270017,0.104488252,0.031137214,0.056923731,0.213096954,0.335076901,0.036479374
0.496833804,0.583374296,0.470988228,0.956137289,0.855716539,0.889043596,0.063886778,0.942153389
0.368919697,0.049967199,0.47838045,0.155481589,0.05017839,0.041181861,0.661355746,0.049526545
0.042930591,0.026820225,0.07913813,0.080111875,0.020173743,0.139295313,0.038457834,0.028419011
0.117503004,0.035252823,0.063619476,0.041432943,0.073240755,0.027888929,0.034147653,0.034239959
0.072871408,0.055145712,0.106706002,0.07723389,0.05578474,0.176459666,0.061014121,0.055550819
