FA L 7,FA L 8,FA Lla,FA LLb,FB L 5,FB L 6,FB Lla,FB LLb
0.669041398,0.655274416,0.585960514,0.688389271,0.101508063,0.114053224,0.08048698,0.100318822
0.716371645,0.82459649,0.911171233,0.94382221,0.470741109,0.570207325,0.568109437,0.453538917
0.590457827,0.506714742,0.803272785,0.848585987,0.084003922,0.097402696,0.131381899,0.076336951
0.623811401,0.619937786,0.533003985,0.826414856,0.612343738,0.589561762,0.861875769,0.739649218
0.044998297,0.049754338,0.08726486,0.040530805,0.039576217,0.035519826,0.050395766,0.050314158
0.873181873,0.856478975,0.888635762,0.895814863,0.083654883,0.908061709,0.165523452,0.391263525
0.025655393,0.09123689,0.180991753,0.159809196,0.051148037,0.067862043,0.083104754,0.115685441
0.112059739,0.27774362,0.111362484,0.319492005,0.157937071,0.486158513,0.126462974,0.45154493
0.286014943,0.119066431,0.077845055,0.097105586,0.164782211,0.089935382,0.035253069,0.115299621
0.115014511,0.556387054,0.36283918,0.156632428,0.526094766,0.90602156,0.133907936,0.254224286
0.091328448,0.20991177,0.047426365,0.109518309,0.127192682,0.10202478,0.480766618,0.081283252
0.275572459,0.090892016,0.178638202,0.304039116,0.097966964,0.527307451,0.116092399,0.180673098
0.909971258,0.888395349,0.844094843,0.932940686,0.834771145,0.906257175,0.641183552,0.774898091
0.103230244,0.373399908,0.058399992,0.247935675,0.110140927,0.127391925,0.101032903,0.111478187
0.079113249,0.135545534,0.085688672,0.085936431,0.042229525,0.07986516,0.078678501,0.136616487
0.451414254,0.90917534,0.707452671,0.873314507,0.87806897,0.867564442,0.912167306,0.887966081
0.90131035,0.320091006,0.887752974,0.608228626,0.531196848,0.911312364,0.843919829,0.934675133
0.171643623,0.212911808,0.502893264,0.169702486,0.422810484,0.534927419,0.376527493,0.182093221
0.349797937,0.133361725,0.180863811,0.555111312,0.036763626,0.042972256,0.248404685,0.084057521
0.09360682,0.238691363,0.070737111,0.140345199,0.093303687,0.090614163,0.054887654,0.035355419
0.078151423,0.117347474,0.024175031,0.023242943,0.063295517,0.09082796,0.056650673,0.129393076
0.082908294,0.169547409,0.034654965,0.038410844,0.076007396,0.092183184,0.060020438,0.040542247
0.085314339,0.276628649,0.075811605,0.186130158,0.07551812,0.108700333,0.323642753,0.348575466
0.570659492,0.585755679,0.879802306,0.894081889,0.495683633,0.871878935,0.91736391,0.932097067
0.520642317,0.678911593,0.77265248,0.65653973,0.843601466,0.824823803,0.914458429,0.850078835
0.033187443,0.142613535,0.086709738,0.45393674,0.556367887,0.043724774,0.112754429,0.095718506
0.891953697,0.549237185,0.862062956,0.746769692,0.56711879,0.818101893,0.689123301,0.807509629
0.070152827,0.212524237,0.129767343,0.187681237,0.06530193,0.071227717,0.090308345,0.077749361
0.749898191,0.51886386,0.771136039,0.882356712,0.877123688,0.879479821,0.637442847,0.935349152
0.494640854,0.827706265,0.961436094,0.89555474,0.870005608,0.514132978,0.761804695,0.921644224
0.036395917,0.056540882,0.032019963,0.149246729,0.033853328,0.057216715,0.251511709,0.034707593
0.885096959,0.886910763,0.866010652,0.908580949,0.88316343,0.197384083,0.938578661,0.942426927
0.378947067,0.289555866,0.061731948,0.064780263,0.182533485,0.210166525,0.118776358,0.121182345
0.20577851,0.34017845,0.23840404,0.188407692,0.094361987,0.889028196,0.816539207,0.452058661
0.097767431,0.577075605,0.195342659,0.07161349,0.541892249,0.078696335,0.728206085,0.12987206
0.353283634,0.53080815,0.077559232,0.699381364,0.063245713,0.561605807,0.125559144,0.161738221
