JA LL 1,JALL 2,JA3,JA4,JB LL 3,JB LL 4,JB3,JB4
0.113122505,0.08951045,0.182157928,0.039996043,0.716792657,0.139203238,0.865752577,0.887120764
0.869540778,0.901464249,0.846129751,0.551981849,0.89143438,0.908817424,0.848428585,0.905701081
0.032865291,0.056938749,0.042393146,0.033618268,0.02694938,0.056118231,0.115761612,0.03258202
0.050906085,0.030297826,0.102524801,0.064078074,0.278773978,0.12012849,0.14285795,0.587700081
0.04313588,0.065533152,0.056031608,0.041618573,0.050891556,0.037493501,0.09702813,0.048672061
0.300386638,0.138640647,0.094443589,0.035716894,0.054527832,0.092641247,0.280574105,0.066697828
0.104085727,0.067845817,0.037640382,0.025870412,0.065895294,0.064660947,0.084684724,0.028218231
0.322403325,0.123392956,0.123507222,0.060400689,0.130245747,0.61807234,0.135293486,0.037033485
0.080648892,0.040425644,0.04412063,0.03824038,0.032168778,0.064249874,0.061903922,0.049068591
0.289292178,0.668624953,0.258893586,0.49841476,0.493419308,0.898182673,0.572590915,0.508886241
0.045594962,0.030816518,0.082534397,0.060024179,0.051370012,0.036044462,0.067490423,0.064784435
0.040352281,0.034688735,0.183212241,0.07868836,0.02935312,0.079240682,0.089408759,0.049089808
0.650313373,0.809715177,0.5858309,0.403815512,0.922473891,0.077013864,0.534587824,0.717248899
0.064887235,0.128725131,0.070836897,0.045834188,0.100275431,0.09724832,0.079924307,0.055352335
0.147361232,0.056507946,0.042540885,0.029711995,0.140468237,0.247149461,0.049846579,0.023861541
0.781005975,0.728320934,0.520562068,0.289715039,0.672736357,0.841255677,0.528468848,0.240082447
0.534305144,0.530866416,0.508886553,0.826462654,0.535877817,0.636806308,0.154772879,0.058862964
0.153938462,0.08067741,0.091518595,0.036603818,0.650412628,0.305937339,0.404020928,0.387952628
0.079664752,0.068975817,0.075777404,0.034044084,0.104483393,0.054390298,0.482947293,0.031455451
0.145943495,0.125055592,0.076343513,0.04704453,0.523092359,0.042298304,0.210317028,0.534776193
0.083427347,0.019685639,0.16165864,0.037355842,0.573367872,0.018713783,0.239512333,0.45194311
0.090300326,0.053723533,0.03757397,0.032717153,0.043570445,0.028874039,0.100132016,0.024453634
0.118199074,0.097116181,0.056238745,0.029136761,0.122852293,0.151352555,0.086909094,0.019358973
0.427109892,0.438014206,0.306393925,0.169595797,0.156595276,0.057028397,0.415639163,0.370519043
0.411096124,0.262062449,0.143693823,0.50289174,0.148466721,0.87385272,0.136224622,0.047956033
0.042417161,0.048448115,0.028977939,0.021590519,0.341677424,0.039328113,0.131475854,0.039276652
0.196928928,0.277633578,0.036836578,0.039463702,0.377002472,0.071380981,0.078028625,0.034129136
0.58384759,0.872017398,0.818191501,0.476174125,0.104460787,0.357714052,0.827683891,0.038308662
0.610580994,0.059749874,0.112998933,0.110568116,0.060897492,0.419566749,0.135623748,0.043664985
0.062559074,0.047228411,0.220855331,0.055286373,0.066598423,0.384117674,0.154004111,0.068319177
0.02858861,0.034938667,0.034749213,0.059829562,0.057452267,0.025472707,0.031085931,0.031459069
0.379859213,0.337025316,0.49103343,0.183600439,0.569360628,0.479223348,0.418250894,0.658066268
0.09724549,0.052812812,0.092173069,0.040694809,0.615398396,0.020908977,0.197779851,0.173806089
0.186878591,0.222016519,0.048216458,0.032600549,0.153276473,0.233920223,0.089033753,0.048067079
0.082748614,0.143014933,0.100193437,0.038012917,0.046105888,0.05850528,0.095329768,0.033216848
0.884289806,0.921741381,0.942672818,0.951109287,0.64030709,0.777090092,0.884321798,0.525520227
0.04824042,0.027411056,0.091929998,0.02824212,0.726993707,0.771883456,0.132750368,0.416654324
0.213121039,0.450124506,0.478808855,0.189430117,0.914835699,0.682580229,0.882188692,0.956343882
