MA1,MA2,MA3,MA4,MB1,MB2,MB3,MB4
0.062800996,0.578360816,0.118745823,0.062044846,0.073896478,0.059291685,0.080145077,0.065241469
0.507678643,0.440190407,0.83427902,0.931785622,0.598745179,0.560811792,0.585598004,0.551204966
0.02885887,0.365567934,0.047389664,0.032032847,0.184739987,0.653524437,0.043951369,0.73583329
0.043183308,0.060346802,0.068207129,0.070058955,0.358565027,0.092666034,0.350868516,0.093275749
0.043092304,0.071756432,0.054470053,0.051274281,0.047068253,0.048441228,0.046855046,0.067525901
0.032983678,0.054425585,0.054738289,0.063789228,0.130455152,0.055338647,0.067031894,0.076933093
0.068304166,0.04357692,0.062894355,0.030311371,0.131071818,0.045568504,0.069638776,0.14683433
0.027759766,0.025215962,0.035758774,0.022891483,0.063669821,0.064839161,0.041712322,0.214898581
0.108618052,0.034587308,0.060093401,0.026900641,0.212125395,0.065065573,0.08359956,0.06668898
0.059735801,0.090310513,0.049292291,0.131848496,0.297681807,0.039068492,0.066194505,0.045453342
0.067879961,0.083125598,0.112333227,0.083976352,0.113800938,0.091052328,0.106674298,0.08725688
0.494373578,0.340949205,0.509719787,0.100365522,0.490866591,0.362304917,0.5013278,0.348890538
0.203351891,0.369957658,0.14190702,0.490741444,0.830737508,0.560328361,0.887532068,0.521182565
0.041798948,0.044483943,0.070860304,0.038950985,0.079709571,0.063641304,0.040256132,0.058863433
0.043898228,0.049479826,0.032601563,0.025830026,0.040989879,0.032803447,0.032770758,0.130097868
0.375565761,0.314566349,0.154612492,0.450612979,0.755295795,0.50521919,0.621127276,0.518702845
0.485077978,0.078897253,0.841090654,0.716916065,0.113548755,0.105947674,0.179175596,0.046274726
0.045373617,0.08327935,0.053041451,0.049964236,0.050562519,0.069337241,0.069533701,0.063862536
0.0351871,0.039982638,0.033892984,0.347494291,0.032942226,0.022707824,0.023325545,0.029019329
0.048773308,0.04630004,0.050272686,0.050372089,0.059070034,0.045600444,0.045462591,0.044972777
0.031888009,0.083193419,0.077406844,0.056150203,0.33435464,0.186967515,0.164131214,0.334285233
0.018971971,0.052647428,0.058439004,0.033703555,0.045673492,0.047860903,0.034074757,0.042136834
0.059012121,0.032942735,0.040729434,0.509148432,0.257524137,0.036796495,0.418697116,0.037977602
0.062442109,0.069245005,0.072068096,0.048298522,0.377163242,0.263947052,0.770539226,0.520174046
0.088970069,0.057676413,0.047237984,0.031073389,0.553316336,0.475106043,0.47290008,0.682669918
0.040320772,0.051393812,0.046102815,0.027336798,0.031991104,0.048081455,0.0247044,0.037465487
0.035899705,0.088128854,0.050621599,0.032187564,0.205971234,0.211288569,0.135324691,0.070463687
0.105839767,0.394046868,0.065393163,0.647440434,0.074627317,0.480642227,0.041797711,0.50113426
0.088257838,0.032080466,0.084046278,0.422885559,0.549660296,0.31912642,0.467560125,0.307404493
0.213756965,0.035932404,0.066981305,0.473647027,0.135706065,0.506821752,0.140981293,0.515705035
0.035773626,0.032602184,0.053194237,0.07475976,0.038296587,0.03522556,0.033301012,0.03047166
0.402208144,0.681182651,0.513053808,0.715018284,0.302114542,0.547198568,0.523891482,0.554759885
0.191244184,0.496701447,0.219748386,0.064589979,0.083210742,0.100912151,0.056643486,0.051082011
0.063163613,0.045477876,0.034556108,0.035708909,0.122330784,0.050554305,0.176560278,0.054531164
0.056276247,0.380246483,0.054295573,0.034338216,0.048654014,0.046530703,0.029187215,0.041142384
0.807788967,0.885589794,0.73025437,0.920802611,0.062933882,0.036003498,0.031094624,0.04776806
0.043473569,0.02296993,0.03314651,0.031074509,0.164999713,0.158199849,0.344691922,0.082399885
0.487652392,0.898385888,0.506243142,0.776632737,0.549720306,0.616937756,0.489107096,0.498641248
0.34418875,0.312619267,0.049578967,0.070331822,0.198661486,0.056474815,0.037189565,0.041857791
0.898108378,0.049875778,0.832028786,0.052110155,0.131006918,0.058144668,0.046084611,0.049706037
0.458591195,0.035935381,0.493763147,0.04671751,0.478289329,0.337311915,0.077405769,0.363234469
0.050709796,0.465819695,0.045440331,0.033127683,0.120559139,0.09906926,0.454234127,0.048515058
0.127386401,0.802354366,0.130541368,0.66187687,0.472350336,0.043443786,0.446488964,0.039606551
0.052830055,0.028828167,0.067462161,0.030084829,0.075342235,0.317097759,0.033484624,0.231488403
0.850968572,0.88753411,0.902695551,0.870246117,0.871498567,0.886151528,0.880007485,0.884332795
0.031124759,0.461740885,0.048112859,0.047774745,0.458349385,0.44122316,0.448359077,0.509344278
0.536380822,0.871749623,0.576400619,0.571619517,0.046702918,0.04478225,0.052176941,0.061395834
0.060187676,0.413307685,0.028263098,0.549155751,0.88228165,0.057082501,0.845383931,0.037779376
0.800382919,0.850187175,0.898439124,0.910923976,0.091175873,0.111224287,0.095828818,0.08713493
0.47520969,0.063089365,0.519126751,0.032889284,0.032854838,0.134480185,0.086561154,0.080908218
0.060570199,0.11222766,0.104305324,0.069521628,0.163865208,0.068737736,0.792140341,0.069524553
0.079250329,0.040528244,0.064020287,0.06830995,0.145078956,0.095241747,0.130344045,0.109523157
0.59878192,0.032567001,0.606261484,0.029572512,0.028630931,0.023851761,0.019387834,0.021497722
0.873709162,0.516984182,0.917151014,0.936676144,0.63329872,0.614517923,0.64119502,0.640582192
0.867978993,0.09803217,0.557518308,0.569197112,0.132838959,0.226646482,0.19671925,0.466631403
0.066481875,0.141641658,0.070852185,0.054528114,0.477633119,0.06663105,0.511916849,0.058798345
0.177886605,0.02893775,0.084689507,0.032322575,0.038675937,0.037245883,0.092789812,0.035302123
0.216408081,0.115672851,0.106554605,0.07733935,0.408709517,0.074196555,0.113507511,0.062581339
0.253729815,0.138580626,0.102685385,0.077431415,0.461845765,0.336685229,0.059740795,0.341061207
0.037477748,0.053210273,0.051363984,0.534216502,0.12529375,0.037101388,0.063516709,0.047752399
0.531888039,0.031316062,0.146367468,0.028426361,0.073553166,0.039162,0.508420568,0.044498121
0.03080756,0.018619458,0.027430264,0.022853245,0.331774377,0.064985456,0.047954434,0.600363722
0.041544619,0.024112602,0.436543748,0.021885336,0.048385191,0.038694534,0.024219635,0.028745969
0.072189258,0.056171116,0.025903543,0.038371328,0.077631804,0.116228742,0.601060109,0.323586279
0.059993968,0.057250982,0.057658923,0.040519626,0.199032405,0.242231631,0.063322417,0.225611319
0.185366228,0.094439416,0.119619339,0.142972928,0.241675411,0.512310876,0.385692561,0.387898385
0.106425029,0.125693111,0.057301549,0.6039864,0.514889708,0.456827969,0.446874863,0.469248841
0.029398651,0.915722863,0.026034567,0.033849203,0.177704348,0.175970457,0.956863977,0.036805475
0.049126785,0.071771358,0.075496325,0.05295515,0.470808938,0.453000246,0.55140467,0.475180831
0.222117249,0.066434606,0.073678917,0.824050847,0.112371171,0.139620947,0.139786174,0.23498205
0.14299328,0.035145834,0.456798958,0.76651276,0.174224874,0.091238883,0.040118736,0.031179566
