PA L 1,PB L 2,PB L 3,PB L 4,PA LL 1,PA LL 2,PB LL 3,PB LL 4
0.139788639,0.055086558,0.044446848,0.04870234,0.113499057,0.105801415,0.044249078,0.045916297
0.830170411,0.536365902,0.536722187,0.521226973,0.46487725,0.561330419,0.274702729,0.666959108
0.049214181,0.03596886,0.029144917,0.033534675,0.073833513,0.027613235,0.030481668,0.040751168
0.098957024,0.060550669,0.066909513,0.080656826,0.032340668,0.077015965,0.049937842,0.036679574
0.044745797,0.167929204,0.03858965,0.047865869,0.046488779,0.043838283,0.043777032,0.08555189
0.055844046,0.050788001,0.041479003,0.055659238,0.076177709,0.052894808,0.061097106,0.03501188
0.072378684,0.096569647,0.037608308,0.483260475,0.140690889,0.091734762,0.021490983,0.03647929
0.02789187,0.030197349,0.027464605,0.028358125,0.077393242,0.104986797,0.040142622,0.060467755
0.048084101,0.047066706,0.047943987,0.04264381,0.063092477,0.048915152,0.033810652,0.030444628
0.04817281,0.420699593,0.524491279,0.518706534,0.051730431,0.044031202,0.491420584,0.505525866
0.092522582,0.131354262,0.092541378,0.096638945,0.079461985,0.048763233,0.061282734,0.106001137
0.762246609,0.081747759,0.143844337,0.04414824,0.14653678,0.867610259,0.048614452,0.067681973
0.451587847,0.382192548,0.282987676,0.512899557,0.403250376,0.778963648,0.214374044,0.889233754
0.594165514,0.567870066,0.576227503,0.596476808,0.783640221,0.642542695,0.62577678,0.647511877
0.031002453,0.033599347,0.030003557,0.430851378,0.099262105,0.045688868,0.324326781,0.346533085
0.349338189,0.265872931,0.32475092,0.224173101,0.097366578,0.201417158,0.130372374,0.098653689
0.776770576,0.059768216,0.047376266,0.464965749,0.13303271,0.577909169,0.056454309,0.330503404
0.475930876,0.31605341,0.208265151,0.04410314,0.514193858,0.041313538,0.114286944,0.052191863
0.499442247,0.856219497,0.871193948,0.891313914,0.500581808,0.564735499,0.564486879,0.85379817
0.04452875,0.050955111,0.034300444,0.035364586,0.083352282,0.03369388,0.041968618,0.101871299
0.04493968,0.052441351,0.059032702,0.052828112,0.021700808,0.031205183,0.025548624,0.028890218
0.045234402,0.038606543,0.042063067,0.037183606,0.144853415,0.035090151,0.021128451,0.026916548
0.477869537,0.043843427,0.048457467,0.040813987,0.806966187,0.034118841,0.024129514,0.059678141
0.150949509,0.384874939,0.45672735,0.148267521,0.061014821,0.120851269,0.254231722,0.060933264
0.078303801,0.48476267,0.457991511,0.128834292,0.168785662,0.066352187,0.4679754,0.507780941
0.032991054,0.029296668,0.033885779,0.030976222,0.080605586,0.032059291,0.027958729,0.041676612
0.037753761,0.035144749,0.042147982,0.033839624,0.185654486,0.067186111,0.032878768,0.31145682
0.494274603,0.109723513,0.058080158,0.467434739,0.598285634,0.105189992,0.409697183,0.294250389
0.481124194,0.050230721,0.107595428,0.471131014,0.232075527,0.534981758,0.128160379,0.054206502
0.04347692,0.052594412,0.04724623,0.104023897,0.122587429,0.029381297,0.040667591,0.029806888
0.030217593,0.028260841,0.035586119,0.026574571,0.040599163,0.029011642,0.027314222,0.023106908
0.633553582,0.742243134,0.728266763,0.865515956,0.233377476,0.501191401,0.658293612,0.855847179
0.353658129,0.487924174,0.336718578,0.347369787,0.813282889,0.426767998,0.248595218,0.492331409
