SA LL 1,SA LL 2,SA LL 5,SA LL 6,SB LL 3,SB LL 4,SB LL 7,SB LL 8
0.117644683,0.534069389,0.233374771,0.583962756,0.209912058,0.290908625,0.285548616,0.125144967
0.506391687,0.443010184,0.7802865,0.22340686,0.511981088,0.801279177,0.918832413,0.702447545
0.035115283,0.039925914,0.07306147,0.030553682,0.036886728,0.063666504,0.484125784,0.041106939
0.045029623,0.199523378,0.166077198,0.11910052,0.07605626,0.082775165,0.05543735,0.039348147
0.047823333,0.043755073,0.048119227,0.040149601,0.03858902,0.042058944,0.053604157,0.059621058
0.388792314,0.087138099,0.088533037,0.500199799,0.571635083,0.539367644,0.692073498,0.880646722
0.056951651,0.134170063,0.13037338,0.15266635,0.568426911,0.475891738,0.812902864,0.7223093
0.032431293,0.034318544,0.113011069,0.047694297,0.052211221,0.056434892,0.086499705,0.093038551
0.226000178,0.065325322,0.104082819,0.423993087,0.320643759,0.122085345,0.082036682,0.067100316
0.707183217,0.892212249,0.935746723,0.546920796,0.762871886,0.513910619,0.876858226,0.095131138
0.049874584,0.069199064,0.17571411,0.07909743,0.101476314,0.068347375,0.052362662,0.059847118
0.031869616,0.03430086,0.064252354,0.514052834,0.073124653,0.176856107,0.070208005,0.053408784
0.149816386,0.212814988,0.356048134,0.157248746,0.214019435,0.145134297,0.160318598,0.58448117
0.544384936,0.604916837,0.649564136,0.556255694,0.517943536,0.61798491,0.693965963,0.75360661
0.053303454,0.050673165,0.151384305,0.102636371,0.155425635,0.08661588,0.149549703,0.118573793
0.501044656,0.359652455,0.229232953,0.062086398,0.247522952,0.256582474,0.13124516,0.264366768
0.091761351,0.084189063,0.533606181,0.617202028,0.493502085,0.151018345,0.104549972,0.053385978
0.525305607,0.483389852,0.240959196,0.115200032,0.469148311,0.516928674,0.125339596,0.744575517
0.585744637,0.446911981,0.503693788,0.535850719,0.026636208,0.030918522,0.081925894,0.53917343
0.044145456,0.100789031,0.106542161,0.047551101,0.067724013,0.137882338,0.08440473,0.077950388
0.050550431,0.061433981,0.150636404,0.067884746,0.050346024,0.097161696,0.057764156,0.018742888
0.024733237,0.044256533,0.054489255,0.033862431,0.048313715,0.066717107,0.08132073,0.113653611
0.023914075,0.055233048,0.156739322,0.078654344,0.042448452,0.050529311,0.177776748,0.09038046
0.378538158,0.387182881,0.540319712,0.691062216,0.244152594,0.166568725,0.302896011,0.054101412
0.077927649,0.091881747,0.033908641,0.483870276,0.136407273,0.048982708,0.184396795,0.561073242
0.089689408,0.038426685,0.064340171,0.055421549,0.035124895,0.029015692,0.117587933,0.100794094
0.032775809,0.035024437,0.050144221,0.092661636,0.030555158,0.034957991,0.224284538,0.17574377
0.118978069,0.042910947,0.03132499,0.042123821,0.028362347,0.040392939,0.271781524,0.071736772
0.120066472,0.112441717,0.130861231,0.632246875,0.48199016,0.5984309,0.634064565,0.793245629
0.212136958,0.043547124,0.164931978,0.09012048,0.53391139,0.523057022,0.39666918,0.330385196
0.035128847,0.042299308,0.412742726,0.024408761,0.031857644,0.02672142,0.040120633,0.089175249
0.93742852,0.918331416,0.947279697,0.927625797,0.629169106,0.665842331,0.888127393,0.452952819
0.355233033,0.099146053,0.620572968,0.393810515,0.318946891,0.173845767,0.474759706,0.417028352
0.033442543,0.054487726,0.075276688,0.118537067,0.098624852,0.03059343,0.098922097,0.160625395
0.05307206,0.161088251,0.068165475,0.051283729,0.040775049,0.431808958,0.073944204,0.076332925
0.070078023,0.329588208,0.143073738,0.583557369,0.57402925,0.611791822,0.649572615,0.485717983
0.026380147,0.068722439,0.099242947,0.060532458,0.021467435,0.041501399,0.250478003,0.056969513
0.91269863,0.695697723,0.522815357,0.884014671,0.842352618,0.852714701,0.941777915,0.867201737
