UA L 1,UA  L 2,UB L 3,UB 4,UB L -1,UA L -2,UA L -3,UB L -4
0.490577694,0.557240245,0.051925846,0.321452324,0.256541662,0.513258902,0.587327683,0.089584452
0.648122838,0.605945184,0.553550291,0.597522297,0.561095966,0.649945455,0.689740799,0.521917846
0.425774455,0.610318772,0.341650103,0.152009024,0.125166276,0.549557978,0.602679521,0.053737699
0.46987119,0.521043362,0.597223939,0.680347275,0.580327958,0.523138625,0.726596437,0.594086537
0.059971213,0.111270822,0.047728824,0.042155942,0.049319383,0.045660424,0.047756243,0.047703027
0.063829227,0.049148003,0.056598833,0.058471781,0.057232993,0.053463962,0.054687519,0.061559717
0.025978405,0.054443035,0.029097942,0.062096704,0.040426032,0.049804971,0.038917288,0.040582474
0.267643971,0.029523598,0.042094002,0.03111891,0.033995618,0.033261348,0.041955786,0.030604545
0.273354482,0.232350292,0.049323951,0.228633104,0.136644982,0.24929778,0.209036056,0.103529868
0.346968281,0.445266345,0.157053353,0.327768409,0.208277211,0.409817132,0.40332389,0.07741854
0.11812116,0.175648101,0.131127967,0.16126874,0.158609943,0.189511968,0.163894072,0.099884673
0.453845148,0.739127841,0.641561076,0.540480359,0.780974956,0.378033117,0.295905852,0.633703513
0.392896791,0.573671728,0.677080782,0.48980392,0.575281903,0.481167917,0.754615606,0.366030912
0.598347595,0.408980519,0.386952524,0.403808353,0.38569239,0.407266349,0.365215048,0.340363073
0.03688364,0.055152456,0.041103351,0.066252,0.069628025,0.033081533,0.249573378,0.04230911
0.636677875,0.62896238,0.88934907,0.770622071,0.711131248,0.809395592,0.895521712,0.798962132
0.108803908,0.284867451,0.424284553,0.374005949,0.635194331,0.20448288,0.06166097,0.464155947
0.065879899,0.237262442,0.05991422,0.079663779,0.062915376,0.06071829,0.066750338,0.046805555
0.030359193,0.035119314,0.472392618,0.529879421,0.522352608,0.034620804,0.104303349,0.472909329
0.05977298,0.315982559,0.046948128,0.058060401,0.060498082,0.04894316,0.043543513,0.042329373
0.097074495,0.137514195,0.103665155,0.058608405,0.069623902,0.049241012,0.060913106,0.070436406
0.047086417,0.060584957,0.241187157,0.059293014,0.041237634,0.042269753,0.041702104,0.055517139
0.062801045,0.051262713,0.044687789,0.064069077,0.040758816,0.053466916,0.041275914,0.037593563
0.608382271,0.870471163,0.698097521,0.718922757,0.617739162,0.709630583,0.732072953,0.63949166
0.386550667,0.371656293,0.354455415,0.475706166,0.484349156,0.431397467,0.304496904,0.457369986
0.038227718,0.030826765,0.033728734,0.031900726,0.036069138,0.034253622,0.03649329,0.038011325
0.143207405,0.510179535,0.469839601,0.61322423,0.608364357,0.358762329,0.691889786,0.772148233
0.518554002,0.88596241,0.121505006,0.433071031,0.143603611,0.398525896,0.69510888,0.14866186
0.091484545,0.073924313,0.041701444,0.15014899,0.064418091,0.063700261,0.163172753,0.053622106
0.074929441,0.43905694,0.5690881,0.393659905,0.557356525,0.08164162,0.093017989,0.099541764
0.028986782,0.05564425,0.037680948,0.029009245,0.043165327,0.034682265,0.064493204,0.04544084
0.693612856,0.870032776,0.575400738,0.591950316,0.654512803,0.678592335,0.876932008,0.541882465
0.074196186,0.159442669,0.278310869,0.142389186,0.128179095,0.066171004,0.111200796,0.135229832
0.034032256,0.053451196,0.130992385,0.044671045,0.354778567,0.047686352,0.066105517,0.077772438
0.061864575,0.050344269,0.047224756,0.048567015,0.069104475,0.047023745,0.067742908,0.082129568
0.031441181,0.329737544,0.055024099,0.048715232,0.04925181,0.036766863,0.312502145,0.090593295
0.071473718,0.445711637,0.184006263,0.263801189,0.236729763,0.141444173,0.263159564,0.087533393
0.395938762,0.405858866,0.866242541,0.902992009,0.93244972,0.475180871,0.45009673,0.896012769
0.039786837,0.052888911,0.032014388,0.08043028,0.153777751,0.085718917,0.145291563,0.039117885
0.445547596,0.308053626,0.351669679,0.41359455,0.301938602,0.297373185,0.166079923,0.108348868
0.083524968,0.073235048,0.47201715,0.47348342,0.445458934,0.048264526,0.086111655,0.440390447
0.064641746,0.073776998,0.367664024,0.317461128,0.137425692,0.07752897,0.059894952,0.071387746
0.042636334,0.073406965,0.075478691,0.051544079,0.108979525,0.17437517,0.157615024,0.044657541
0.068423706,0.570771715,0.111840059,0.202562943,0.316281955,0.047863741,0.086580635,0.379403297
0.48802258,0.47563597,0.538299514,0.420863571,0.435207496,0.500053308,0.432147997,0.395985686
0.50726662,0.588112652,0.390826072,0.460769806,0.465339106,0.626644661,0.731218209,0.386043776
0.05213676,0.042243431,0.046099105,0.036517822,0.039297703,0.038703882,0.036941568,0.044116662
0.39846829,0.577863815,0.410156279,0.448758193,0.610008248,0.286014407,0.370802139,0.572839104
0.386901385,0.37459646,0.075813615,0.077433088,0.096690938,0.367227984,0.410166194,0.102661125
0.902971676,0.5246377,0.919394443,0.825708415,0.916394833,0.852602156,0.53687248,0.91136403
0.58335278,0.415882386,0.055507921,0.072795973,0.06424103,0.240673235,0.438453041,0.056996382
0.405563634,0.095027057,0.087681537,0.167862444,0.167451808,0.215647335,0.14526235,0.15718811
0.029212666,0.022888095,0.454855334,0.419866661,0.370727434,0.026524409,0.033236603,0.395001468
0.66027666,0.747692677,0.66531864,0.694782296,0.706678305,0.661845585,0.706979747,0.583075066
0.782459427,0.873306184,0.661066621,0.636651715,0.717372481,0.561443915,0.841360902,0.657064547
0.85543067,0.899017505,0.592743688,0.624791614,0.685696751,0.829696249,0.718899666,0.601522185
0.03529362,0.113173281,0.038873004,0.048525691,0.038438334,0.03877858,0.047748627,0.136706929
0.147382811,0.267510078,0.111855494,0.174319695,0.126621474,0.159662934,0.072709367,0.052510579
0.319701312,0.679338515,0.377754418,0.15819577,0.286698711,0.580785979,0.637692537,0.121040536
0.058197717,0.074142592,0.216659913,0.285871493,0.060422514,0.072233023,0.075194147,0.040428716
0.050062391,0.034194335,0.07013209,0.424434662,0.26030382,0.055619112,0.167651599,0.36913367
