XA L 5,XA L 6,XB L 7,XB L 8,XA L -5,XA L -6,XB L -7,XB L -8
0.542086904,0.519649139,0.047884841,0.055902559,0.544662798,0.462002804,0.041329145,0.052633652
0.808945472,0.158190649,0.521630924,0.489375883,0.689721964,0.558784387,0.033746327,0.452125793
0.041241296,0.045619822,0.027100983,0.051354921,0.037019238,0.031799584,0.021862037,0.031432797
0.096809535,0.091135517,0.082780249,0.093945717,0.084117109,0.080327701,0.028778062,0.078357983
0.038431976,0.528381695,0.351449134,0.551568588,0.052038702,0.04032956,0.068509378,0.034112213
0.565403958,0.07544831,0.167034101,0.058220218,0.879851377,0.06490156,0.033365513,0.045546661
0.053429532,0.066772901,0.074714756,0.602764737,0.05346768,0.318796583,0.055218773,0.413209312
0.027964381,0.049465475,0.030565825,0.037743219,0.054874218,0.047822332,0.0367034,0.049005581
0.060861614,0.063688499,0.048237957,0.065099797,0.499822428,0.03994625,0.454779582,0.415300675
0.043746486,0.06412556,0.04485438,0.08658462,0.313125276,0.531555984,0.389084364,0.036025834
0.099084957,0.109567025,0.081098523,0.073353871,0.045829042,0.081790402,0.06778792,0.068395377
0.098029615,0.3325454,0.541594956,0.052914677,0.037068955,0.02994772,0.055205192,0.060126962
0.579455349,0.44733171,0.621536271,0.830181524,0.257239182,0.46579068,0.492651924,0.770744211
0.053327328,0.062161076,0.08129521,0.048604501,0.067493337,0.10561022,0.279271298,0.045739957
0.485870539,0.060733786,0.035095307,0.030114982,0.778639434,0.162997678,0.026741498,0.057838516
0.134301873,0.531817072,0.491523264,0.140152598,0.10402745,0.149456133,0.240943503,0.136504767
0.046828612,0.075475339,0.073379894,0.48780889,0.049447492,0.07325271,0.033344713,0.24176292
0.065483314,0.497274374,0.510557738,0.548905051,0.040203155,0.509812822,0.039778136,0.05050315
0.037284472,0.034182474,0.032491011,0.02837263,0.039596119,0.030337658,0.028826159,0.061854653
0.047271393,0.063615948,0.053862956,0.035545311,0.054569171,0.044250131,0.027690733,0.047811234
0.07932647,0.104314738,0.103668394,0.050724098,0.05056636,0.06870866,0.031294943,0.048685264
0.032038215,0.09902245,0.036463906,0.027868907,0.057648081,0.062795022,0.033558807,0.229991647
0.037350833,0.055162213,0.046515555,0.062358626,0.056164568,0.033084468,0.512199233,0.022092781
0.157124381,0.135509438,0.560730247,0.120253413,0.038140272,0.06558723,0.41272538,0.041048393
0.041657233,0.064683996,0.026015225,0.087662483,0.120898766,0.028463518,0.053530159,0.056446899
0.031601782,0.026307788,0.034300457,0.025238484,0.039771694,0.064924059,0.01866034,0.607957692
0.027060407,0.044161161,0.02576942,0.034014774,0.054898871,0.160053933,0.054751409,0.086840908
0.032009279,0.041618195,0.031887011,0.023403794,0.091073333,0.186436134,0.063694616,0.038928812
0.455004582,0.347933163,0.085121364,0.099332716,0.069186353,0.375434422,0.346872254,0.120258591
0.088127609,0.061242454,0.052260584,0.093584358,0.060858135,0.230435183,0.025477448,0.271445585
0.041483076,0.033152974,0.029679487,0.038049714,0.032664045,0.046046362,0.030455215,0.054480604
0.91235059,0.742413205,0.926925003,0.647612229,0.863414734,0.490640718,0.947919734,0.900232427
0.405582784,0.105422252,0.093714053,0.095323162,0.247229886,0.106427689,0.037077124,0.246721594
0.034964051,0.031643399,0.033415214,0.059716375,0.067960558,0.044610423,0.059719427,0.111026272
0.045350171,0.052698874,0.044664081,0.036679707,0.056976577,0.148358354,0.035921089,0.042532723
0.585642114,0.593766532,0.576261472,0.571161755,0.614012927,0.571157682,0.511819362,0.532266888
0.03878147,0.061533548,0.034426188,0.019406616,0.0515683,0.035230289,0.027532909,0.025486363
0.851614921,0.558582363,0.518846937,0.719853873,0.900176179,0.913054964,0.951736612,0.658012903
0.038695974,0.292201784,0.033828349,0.051521415,0.149077448,0.477332982,0.031406515,0.201964628
0.05940297,0.088495263,0.037111345,0.068473739,0.022820451,0.032636892,0.068233415,0.097431084
0.092155957,0.107359561,0.07250857,0.070373314,0.2322628,0.065502204,0.446217466,0.025744021
0.044737329,0.515680432,0.112973511,0.042042755,0.036287349,0.041037504,0.421800031,0.031688596
0.29910602,0.1333077,0.460547219,0.799829227,0.188382649,0.52398014,0.515129427,0.091879761
0.070515207,0.070189282,0.036472706,0.145252175,0.041123381,0.075259324,0.044637731,0.049598566
0.594057089,0.83811171,0.830253869,0.80565795,0.594826255,0.577504115,0.846268026,0.425465837
0.049491947,0.061423002,0.040295179,0.056097942,0.044722421,0.390137429,0.018712487,0.069985917
0.040032436,0.08265958,0.591178258,0.594253675,0.072147066,0.043108774,0.937949184,0.54526693
0.139355739,0.038668662,0.033055844,0.039253541,0.040814068,0.041294698,0.030794834,0.071862904
0.497499107,0.398136527,0.490647328,0.090916182,0.438799939,0.077441533,0.100879506,0.096004559
0.504819774,0.085589163,0.03970618,0.027274607,0.498992456,0.486512037,0.113989798,0.033358666
0.055110022,0.08969322,0.058650311,0.116609144,0.078591187,0.053974713,0.057050983,0.053250334
0.521428016,0.356829644,0.073605526,0.102779588,0.325192887,0.129691822,0.038514322,0.02450544
0.517925333,0.043052778,0.028278142,0.037565314,0.195216731,0.038766724,0.044475775,0.047816414
0.846404332,0.497849645,0.902338845,0.484635367,0.294176665,0.111372282,0.656672402,0.535396905
0.471220751,0.586347006,0.501283788,0.756332407,0.439449454,0.770136378,0.066016339,0.814082679
0.058003242,0.064131043,0.051048607,0.049635894,0.053927957,0.102701072,0.037448004,0.037401087
0.034286775,0.058910569,0.03763474,0.486967601,0.030398063,0.428755969,0.048496449,0.027964623
0.070449942,0.149966834,0.075193607,0.592440629,0.348864003,0.102628056,0.665290679,0.030786924
0.181465536,0.110530419,0.065505869,0.489784832,0.062380995,0.090649777,0.451015812,0.919750543
0.061588697,0.365711348,0.535023163,0.622817131,0.06993872,0.584930066,0.465165478,0.265114882
0.031027446,0.047361656,0.544127927,0.578163608,0.040285487,0.024601273,0.059034253,0.041802157
0.047875776,0.024968364,0.022459663,0.020984371,0.028342558,0.022510767,0.025550022,0.022564293
0.031303242,0.036493819,0.023169136,0.022745052,0.035115674,0.388463306,0.059719139,0.096496907
0.125599111,0.054616921,0.0364815,0.04615614,0.04166295,0.065435543,0.035980544,0.051767034
0.056324912,0.063395683,0.031823905,0.071104673,0.028602648,0.073916871,0.052959052,0.031141582
0.054288736,0.396983325,0.056857238,0.42613458,0.079070416,0.102651699,0.057480593,0.354558352
0.052250281,0.327238999,0.038459668,0.053754495,0.066472773,0.135436967,0.05611085,0.185701881
0.633214445,0.563670682,0.630451286,0.304817636,0.566026573,0.466690832,0.538868451,0.703908752
0.046296745,0.136688151,0.047260981,0.0450434,0.131017858,0.070489527,0.11753869,0.059819613
0.05661927,0.466955697,0.342618055,0.044923224,0.053012481,0.415688377,0.036197839,0.075007807
0.078357091,0.060342377,0.503829812,0.093248819,0.032632575,0.110135613,0.050626174,0.411971046
0.087404459,0.823793818,0.445874259,0.116900978,0.467844659,0.415094812,0.05913832,0.06404992
0.477200173,0.038363027,0.519923199,0.043526916,0.829679877,0.500294501,0.050949291,0.059048551
0.062885398,0.082949812,0.269291729,0.787263767,0.036153075,0.051885013,0.031066016,0.132018983
0.127520969,0.35706713,0.507836657,0.426853801,0.043102516,0.156599504,0.036242746,0.100770788
0.022343447,0.165924411,0.019751847,0.012422182,0.023864702,0.029367774,0.018247992,0.037476696
0.027181735,0.047935873,0.0347709,0.058251042,0.039726,0.208394105,0.026190052,0.041516461
0.059155033,0.080902651,0.086393507,0.09172299,0.04199886,0.058573515,0.045440066,0.167528049
0.02858302,0.035332109,0.028987669,0.023751197,0.025664049,0.041441182,0.035962483,0.031345691
0.088274031,0.677895288,0.522438281,0.140723998,0.364477399,0.38472889,0.423153066,0.063951885
0.451923645,0.224950584,0.130760657,0.134069432,0.055274664,0.103858974,0.145586657,0.035488372
0.046945452,0.0538099,0.048283512,0.062005083,0.046455148,0.101745661,0.08532048,0.055490417
0.113426635,0.049558466,0.041544146,0.090517662,0.076345611,0.030894282,0.037475262,0.061764645
0.52585956,0.49801908,0.520810132,0.453969482,0.495108474,0.465015039,0.515467052,0.541632313
0.049880936,0.09040347,0.041239979,0.041118338,0.577610332,0.578361677,0.098627455,0.039640674
0.439342754,0.832078159,0.098214554,0.431843204,0.747166684,0.811996474,0.179881001,0.335273105
0.043125401,0.039354529,0.030649467,0.039881312,0.040070156,0.044207086,0.067698354,0.046076936
0.490912543,0.0828870439999999,0.899775437,0.365052763,0.050229296,0.037231211,0.449030614,0.084968026
0.04214799,0.058121663,0.041282389,0.06507498,0.056068868,0.059427385,0.027119421,0.042425202
0.099196042,0.083708798,0.085166503,0.123652385,0.031950876,0.069746557,0.035162621,0.031761698
0.070574626,0.066119938,0.047032795,0.125547077,0.035960689,0.035932841,0.032643025,0.486742672
0.059989702,0.319704258,0.270354136,0.053116922,0.185757856,0.245886869,0.067161032,0.89329361
0.104173845,0.127035181,0.123301782,0.092314054,0.161149662,0.217335702,0.26877097,0.044463983
0.055950122,0.08283351,0.076150389,0.123990772,0.034891121,0.080761984,0.023917756,0.028286958
0.026757446,0.034433258,0.029296092,0.022403923,0.037893337,0.02766382,0.024786447,0.451619201
0.060806072,0.083696558,0.466943196,0.495783073,0.047667369,0.070989052,0.674001578,0.370060142
0.075584954,0.144536732,0.115736894,0.178327944,0.067984333,0.210366557,0.051058765,0.069323039
0.044950251,0.060347316,0.042319432,0.061182849,0.027756511,0.051455403,0.030879846,0.02782201
0.902030329,0.894626882,0.923238387,0.887052827,0.94159713,0.889085261,0.915902597,0.904397214
0.05351016,0.080340775,0.060133895,0.139013457,0.079731478,0.04767433,0.044058239,0.035520866
0.073017145,0.099810188,0.426232667,0.271846835,0.04539373,0.029535679,0.103384799,0.48862359
0.086170433,0.049987491,0.045320513,0.058390245,0.051459653,0.073450442,0.038887335,0.032813097
0.03404603,0.029689167,0.032230838,0.028072381,0.039977155,0.079930201,0.048939196,0.069778826
0.070323235,0.110718843,0.057244408,0.067273096,0.04254809,0.062033193,0.046250975,0.054609668
0.022202408,0.036463623,0.024798901,0.049280227,0.020637486,0.029736276,0.019296338,0.030117313
0.076629713,0.092126393,0.075300686,0.058790455,0.0489819,0.21432926,0.06783725,0.050560581
0.412217451,0.064146463,0.057798047,0.105326441,0.054316125,0.10715859,0.047991314,0.062345176
0.512998462,0.523840173,0.092493416,0.076292298,0.448024797,0.588293337,0.04494008,0.07864144
0.482957364,0.493702919,0.519953304,0.534594821,0.575615618,0.204160265,0.691769914,0.904288162
0.058510203,0.065837313,0.045274184,0.131819502,0.07230668,0.081374554,0.023893231,0.067840876
0.473363246,0.307833376,0.094573978,0.168198745,0.192835553,0.129639862,0.027549045,0.154733937
0.059313222,0.044683456,0.036042579,0.42015382,0.039281023,0.065619781,0.06796393,0.346379721
0.224612508,0.092206531,0.033507535,0.037609721,0.438170369,0.047046102,0.083689883,0.049408246
0.497766184,0.676496635,0.905972903,0.106439531,0.059383845,0.939548072,0.594199987,0.546186206
0.354215114,0.468146618,0.576249806,0.694272766,0.04705264,0.084047256,0.02831393,0.126036026
0.191068865,0.124471579,0.077910277,0.106221939,0.050719624,0.081389757,0.436038222,0.08050883
0.086542706,0.333348852,0.4961895,0.469421296,0.032662843,0.45749247,0.03361626,0.803048805
0.326258408,0.410405209,0.096170355,0.489691069,0.297813763,0.208472909,0.052700681,0.261646355
0.036567241,0.038342871,0.040367124,0.027726194,0.034869801,0.05145436,0.039432174,0.033408936
0.076514242,0.129449671,0.030567499,0.074528974,0.071231037,0.106239928,0.029145402,0.197486842
0.147300237,0.370991719,0.937596322,0.695230605,0.065649415,0.654517232,0.502767159,0.856802559
0.380206079,0.294998306,0.386899255,0.120137614,0.200062011,0.278397448,0.463322142,0.522575277
0.589270854,0.124452976,0.115425362,0.222120051,0.891477622,0.388569201,0.07064724,0.306177765
0.860709975,0.725110885,0.52364759,0.546346843,0.779282028,0.86213448,0.413022856,0.492347131
0.836048029,0.11758232,0.483353224,0.823676783,0.505364564,0.519146165,0.103402998,0.412780322
0.090880373,0.113590754,0.520157656,0.553871788,0.03592302,0.050272846,0.035854128,0.783653295
0.104458754,0.04943007,0.246594614,0.097597381,0.121614685,0.072715172,0.336694423,0.16646354
0.110238754,0.163641581,0.079080751,0.127145939,0.046949531,0.069952952,0.898037196,0.684988175
0.035255678,0.048234459,0.039453998,0.088765196,0.028188299,0.030306673,0.107906487,0.019944005
0.230887481,0.100419487,0.059051312,0.150235997,0.058063574,0.096767208,0.1003165,0.15159902
0.04415746,0.037066101,0.036705611,0.037878245,0.056998023,0.025597723,0.024273921,0.025924611
0.105789535,0.167817565,0.058005615,0.015341022,0.024039341,0.221020206,0.024632947,0.09334871
0.04721515,0.857079633,0.059718979,0.075676839,0.476467602,0.51312076,0.038009219,0.908115282
0.031049966,0.042006558,0.549916852,0.139118452,0.038299298,0.043554066,0.068557907,0.125528909
0.092638805,0.09308211,0.128682099,0.399316974,0.058835054,0.090485312,0.278835386,0.05908949
0.088070345,0.063123576,0.052491152,0.077442089,0.38999177,0.047015263,0.094231688,0.101987388
0.129612808,0.317865683,0.040003544,0.03286337,0.050590738,0.052087299,0.03647434,0.044709657
0.039846615,0.092175992,0.539951886,0.040083296,0.06424815,0.050157437,0.047672983,0.419544584
0.378496949,0.125502269,0.229453824,0.061679917,0.069581766,0.079563562,0.04000421,0.274662636
0.037342546,0.036589477,0.027347399,0.082100763,0.034742242,0.032342901,0.026661481,0.036009001
0.059604055,0.410049502,0.049946981,0.042278874,0.048016986,0.081386148,0.041879319,0.03003892
0.064746738,0.092140698,0.065001994,0.06397709,0.059556646,0.05494469,0.037532951,0.040500913
0.154923679,0.202375833,0.028001941,0.030934608,0.052624232,0.200199477,0.440235906,0.04487544
0.495188676,0.389953731,0.503551339,0.568620691,0.462013289,0.536526466,0.766866541,0.811162397
0.204039403,0.613476423,0.577719716,0.126566192,0.602075055,0.381747176,0.634447516,0.410799312
0.247650924,0.110131469,0.281778261,0.083604884,0.0697068,0.418478931,0.438851068,0.104889506
0.038075247,0.043896063,0.034750306,0.071745897,0.035271789,0.030670977,0.065279432,0.558998624
0.463975776,0.525427608,0.045571227,0.091227283,0.406371311,0.070289815,0.03831428,0.529143546
0.086439876,0.464284874,0.051666377,0.054441823,0.462434309,0.036406965,0.024876253,0.264337209
0.045359414,0.107937469,0.051049362,0.054961375,0.057653131,0.027247686,0.037954602,0.056088343
0.08139561,0.378352258,0.064481137,0.155575839,0.108217579,0.216571181,0.069727964,0.548032209
0.537276685,0.920379358,0.549294975,0.586873575,0.559080863,0.935343554,0.035893914,0.588364345
0.070409568,0.093514646,0.563563725,0.564977719,0.092317503,0.075441285,0.577302724,0.484891466
0.156525906,0.110297653,0.052699468,0.082224182,0.128862852,0.115153336,0.053268434,0.337025747
0.548347236,0.519087515,0.031248001,0.511818826,0.529826045,0.587947077,0.040796867,0.049416726
0.231896822,0.527590694,0.528326969,0.02315136,0.025216233,0.509164124,0.026044234,0.031695784
