FA L 7,FA L 8,FA Lla,FA LLb,FB L 5,FB L 6,FB Lla,FB LLb
0.716371645,0.82459649,0.911171233,0.94382221,0.470741109,0.570207325,0.568109437,0.453538917
0.115014511,0.556387054,0.36283918,0.156632428,0.526094766,0.90602156,0.133907936,0.254224286
0.909971258,0.888395349,0.844094843,0.932940686,0.834771145,0.906257175,0.641183552,0.774898091
0.103230244,0.373399908,0.058399992,0.247935675,0.110140927,0.127391925,0.101032903,0.111478187
0.451414254,0.90917534,0.707452671,0.873314507,0.87806897,0.867564442,0.912167306,0.887966081
0.90131035,0.320091006,0.887752974,0.608228626,0.531196848,0.911312364,0.843919829,0.934675133
0.570659492,0.585755679,0.879802306,0.894081889,0.495683633,0.871878935,0.91736391,0.932097067
0.520642317,0.678911593,0.77265248,0.65653973,0.843601466,0.824823803,0.914458429,0.850078835
0.353283634,0.53080815,0.077559232,0.699381364,0.063245713,0.561605807,0.125559144,0.161738221
0.473213843,0.817021596,0.836998004,0.822852971,0.792114666,0.475761565,0.509886982,0.714181786
0.925411354,0.935744308,0.914872366,0.857544663,0.927355714,0.600370851,0.939059994,0.930791374
0.604455311,0.553377151,0.514353036,0.445840374,0.573152268,0.563946287,0.580517337,0.46362929
0.581281527,0.598319212,0.630038836,0.812324721,0.5910421,0.588681322,0.731946626,0.611600941
0.524940669,0.520493985,0.756852058,0.501182948,0.513248952,0.496591808,0.522071836,0.520784111
0.534220932,0.703212763,0.692469719,0.890433639,0.467246491,0.81390633,0.612846736,0.592163228
0.6220906,0.580325778,0.891191846,0.841966486,0.876151799,0.821617999,0.558330453,0.762051636
0.364405712,0.571892839,0.797712076,0.687495545,0.073647362,0.936122203,0.191894112,0.602927459
0.655398593,0.60480907,0.647511578,0.818265749,0.562781323,0.798461856,0.895442793,0.606496361
0.706040057,0.903062258,0.739911815,0.632777368,0.560392281,0.552551477,0.794725059,0.756843855
0.891426581,0.746940084,0.915469428,0.939381615,0.89517786,0.865328783,0.945341696,0.910255443
0.352336342,0.495993886,0.399719711,0.460561618,0.4551316,0.265390649,0.197867004,0.090039271
0.850887711,0.709950387,0.891564206,0.79681693,0.498630432,0.505964246,0.521211435,0.562058498
0.46380947,0.731211315,0.812697211,0.822993353,0.840403748,0.837865891,0.766661268,0.974067627
0.592313294,0.434099848,0.386653004,0.378351887,0.086641239,0.515962692,0.539179176,0.665818191
0.34759402,0.435041353,0.765236809,0.541827946,0.143173738,0.250377397,0.495177265,0.662249968
0.244101763,0.25970008,0.392308799,0.267922801,0.11451994,0.110510075,0.031117239,0.079499038
0.85549892,0.54497039,0.951097831,0.826590103,0.900921517,0.926037361,0.96896314,0.655556927
0.200490689,0.377610145,0.94308283,0.477718369,0.158463549,0.19729063,0.288803627,0.127478312
0.925042571,0.826257413,0.87273837,0.935832417,0.908971513,0.871842896,0.852755922,0.863172382
0.472989909,0.227168329,0.573243697,0.555156613,0.423816454,0.515471477,0.58530915,0.062877108
0.641950179,0.610063212,0.672507874,0.70553838,0.335897647,0.840404501,0.685821733,0.72643939
0.510169378,0.930627404,0.89968117,0.829061195,0.500258246,0.507913612,0.505066748,0.65679046
0.93856319,0.902076953,0.833673523,0.885530621,0.947208232,0.948886977,0.885232832,0.641556491
0.659290874,0.620116661,0.83629497,0.888550686,0.260377867,0.907207607,0.725012555,0.63593003
0.372025912,0.330026885,0.2804859,0.345181537,0.148529487,0.191508466,0.103345433,0.064769689
0.207877349,0.462595769,0.487316415,0.24887918,0.177975867,0.197291645,0.218912062,0.369834694
0.278225879,0.523884073,0.811142438,0.756264536,0.510743422,0.532585617,0.615027985,0.871190381
0.892951965,0.500836072,0.551295191,0.789933023,0.900597709,0.914958292,0.91364205,0.818701611
0.757240187,0.773795685,0.711814425,0.697556511,0.521195223,0.557586516,0.649924851,0.604544032
0.415941181,0.416606748,0.265039635,0.705758855,0.16053978,0.198582148,0.372810487,0.589471058
0.904887935,0.502670675,0.485921148,0.855139013,0.601087376,0.854061379,0.684743342,0.562129714
0.098581114,0.286141026,0.137361084,0.466023825,0.606210812,0.080620913,0.929134904,0.86898531
0.614252729,0.568877328,0.814942105,0.889076145,0.473093796,0.899979638,0.632435837,0.646951307
0.951412592,0.943163015,0.95041442,0.950753246,0.915908127,0.953942948,0.917339389,0.940784546
0.766164126,0.837623392,0.841717366,0.672405364,0.264356787,0.577672994,0.505187514,0.497231997
0.422644377,0.376120301,0.118226361,0.448889565,0.255967369,0.206221612,0.131236177,0.148210266
0.831536263,0.852447652,0.923414358,0.815629652,0.260175862,0.875145618,0.83002533,0.7981004819999999
0.612768119,0.718091443,0.764965383,0.86057529,0.503872872,0.84744004,0.566107749,0.563822992
0.452846654,0.344580684,0.673537171,0.835008486,0.90195599,0.906358155,0.561518627,0.650925247
0.635763696,0.90642341,0.895993126,0.840400844,0.934557244,0.513458631,0.877191641,0.649409764
0.502352109,0.483494246,0.188071159,0.747584032,0.897748452,0.864893198,0.873477933,0.897219796
0.302044158,0.830366074,0.303895494,0.343643724,0.19682587,0.391936301,0.48749727,0.777681344
0.902244856,0.915049528,0.938765909,0.923548051,0.905730031,0.925340238,0.961125274,0.937341557
0.175844229,0.339401562,0.254743386,0.175425313,0.114967419,0.383057016,0.052247513,0.080155788
0.927971035,0.583854823,0.859765707,0.60922408,0.559609617,0.473373995,0.25414552,0.294424563
0.605366219,0.399677663,0.223986826,0.777252368,0.519386021,0.540902615,0.687135921,0.46728867
0.923814046,0.723394879,0.711329811,0.615090645,0.828612047,0.907983578,0.755499963,0.618339755
0.478054354,0.822172129,0.888508498,0.76095889,0.302635686,0.34470666,0.879661625,0.645635134
0.701500062,0.778685227,0.910853851,0.898806513,0.906247335,0.870331257,0.86879099,0.888339982
0.693362421,0.491372231,0.324640912,0.607840848,0.835734645,0.174103321,0.705494036,0.653693783
0.885495072,0.897731265,0.924075216,0.924682017,0.909910263,0.929532296,0.941595364,0.920116548
0.032335023,0.026623587,0.141523636,0.207541827,0.557858437,0.03323966,0.592988711,0.354709815
0.451093837,0.767254168,0.324328063,0.409607591,0.815215329,0.580915567,0.569717282,0.672694262
0.604738709,0.298068196,0.03189668,0.085933743,0.091689221,0.131932166,0.037739995,0.710041553
0.278365829,0.475389766,0.076931049,0.321140319,0.147096735,0.166884591,0.182003303,0.568550421
0.526474621,0.615069482,0.644730761,0.780976929,0.485637795,0.781467919,0.531324572,0.420613363
0.624452783,0.609464394,0.711298634,0.369612858,0.879378211,0.487839479,0.910636025,0.898980749
0.719619565,0.939250014,0.217584208,0.76371467,0.933243977,0.925863337,0.88384598,0.869187801
0.407071441,0.500495927,0.550130126,0.656625579,0.418551083,0.566427188,0.7006126,0.670924799
0.890798283,0.62368546,0.630882491,0.782647125,0.915258776,0.897876044,0.920589366,0.824391857
0.87769365,0.776697171,0.934292354,0.408258133,0.88089878,0.866960674,0.907518819,0.403617756
0.891868618,0.885708725,0.800919451,0.825406358,0.868925718,0.847772116,0.785044719,0.403423537
0.802832976,0.637484083,0.606284356,0.749875907,0.797404006,0.807537677,0.857487538,0.870583877
0.155192945,0.869144509,0.752215903,0.465855983,0.203571173,0.885391778,0.160965718,0.219137482
0.925072131,0.869805084,0.844159162,0.933747874,0.934322659,0.920894391,0.840990651,0.934228569
0.723950206,0.783611103,0.71394725,0.958618723,0.74988964,0.844552939,0.357761508,0.497823624
0.90518673,0.856294116,0.898608248,0.741660289,0.919898352,0.608280633,0.871237949,0.874338697
0.127943749,0.298716962,0.195605785,0.169001384,0.510813273,0.429883613,0.677461481,0.767787609
0.935795038,0.906358915,0.94247426,0.905202636,0.934906789,0.944193977,0.933923385,0.899901763
0.609195852,0.171364469,0.651657879,0.58528151,0.232815449,0.573649904,0.793595717,0.784189276
0.125503327,0.280154012,0.078959727,0.157345512,0.139177986,0.145596217,0.046385272,0.475065225
0.730300138,0.784581044,0.659256852,0.828267823,0.490195008,0.843979554,0.689530183,0.735860126
0.567455373,0.550797708,0.632375471,0.842135321,0.895648826,0.920798221,0.736682138,0.861380231
0.786583828,0.683830583,0.933108303,0.801549141,0.114667171,0.473402274,0.157750603,0.930465263
0.095556013,0.452244598,0.108511196,0.602897692,0.098611539,0.111084659,0.591051031,0.576156547
0.815967509,0.645258817,0.883744001,0.853966185,0.793494777,0.744089749,0.906943454,0.841756142
0.884976551,0.801375306,0.825941722,0.900578723,0.773075699,0.927391067,0.718855879,0.540524906
0.556426729,0.847505117,0.382002418,0.937767234,0.575037679,0.921109307,0.747635354,0.918840498
0.577147505,0.552935679,0.115451477,0.543197905,0.591818843,0.932566164,0.706138665,0.743909591
0.140895882,0.572343937,0.118498254,0.325647886,0.14445165,0.149629239,0.902508945,0.831759176
0.423946373,0.252664834,0.124315177,0.466765626,0.215058642,0.834949976,0.555787911,0.706103176
0.855366725,0.838302051,0.92133756,0.948268031,0.789144582,0.849373126,0.508899138,0.480742917
0.129257496,0.304377972,0.65641398,0.672316441,0.95846198,0.090082682,0.906294351,0.913761859
0.25107329,0.240820117,0.268260828,0.168283895,0.106617187,0.105427043,0.104962714,0.094660267
0.882024027,0.510237745,0.924437389,0.899326025,0.882994473,0.81295714,0.801577743,0.845791674
0.961788806,0.951860981,0.937158332,0.929712245,0.949931407,0.959223604,0.9426287,0.943745144
0.496189412,0.524755172,0.533543732,0.701388667,0.47009579,0.895873312,0.532168187,0.716581503
0.788641955,0.713114934,0.813654956,0.860184807,0.649154991,0.745008294,0.590023195,0.727721827
0.232582496,0.891084994,0.894685054,0.881849836,0.885705217,0.233132764,0.836530973,0.948667382
0.883355312,0.689718455,0.429139259,0.50378433,0.891039073,0.898949587,0.944766541,0.935194663
0.509166361,0.490831708,0.633924778,0.854016379,0.503197709,0.880411038,0.809933735,0.830706241
0.549608192,0.538050925,0.571054895,0.728569293,0.281017005,0.520189265,0.888402199,0.91556029
0.149542864,0.341077409,0.226490926,0.529341643,0.178622566,0.542555441,0.195484395,0.234105896
0.845359244,0.543006897,0.893007344,0.669714789,0.880002376,0.889647082,0.636916749,0.880195969
0.737295822,0.702065113,0.610074176,0.846130189,0.679836723,0.69272768,0.726825317,0.832402317
0.896382801,0.741035187,0.933943254,0.89800942,0.498558233,0.879370829,0.349128859,0.18350735
0.501478153,0.573164131,0.785459481,0.856287861,0.565430426,0.560796338,0.93655006,0.893418908
0.348435286,0.537452002,0.417893844,0.464377306,0.352019394,0.624983541,0.081938258,0.162170829
0.694206438,0.716354873,0.931520957,0.913106038,0.462106191,0.214330505,0.554945526,0.584433157
0.872448102,0.715472947,0.900545746,0.857853274,0.862853381,0.879442219,0.946870997,0.925169859
0.735710699,0.567432121,0.194399804,0.760090615,0.50978044,0.788877994,0.168681402,0.279313423
0.903324582,0.869584119,0.891140333,0.872579162,0.868445727,0.806348286,0.829550329,0.946776518
0.513134631,0.212485916,0.043331454,0.161006097,0.868071525,0.502980817,0.092364007,0.552236047
0.118934068,0.268862973,0.194555855,0.038227803,0.450273614,0.102066195,0.072505135,0.101945099
0.519170604,0.555211196,0.818496199,0.696310355,0.521507016,0.533717496,0.774907898,0.644209081
0.919725852,0.580197233,0.946316731,0.889414612,0.538366882,0.869113366,0.962855033,0.94051767
0.807648476,0.751150911,0.726368398,0.895690342,0.73577112,0.867636165,0.748933656,0.826399058
0.923736066,0.854713324,0.854369227,0.933065185,0.93614149,0.926168553,0.934693169,0.882634821
0.901841724,0.923051279,0.925483568,0.884173172,0.613789251,0.939192226,0.943282509,0.933033862
0.896231933,0.83590002,0.946697716,0.949627069,0.879305041,0.881957833,0.646717421,0.485426736
0.660623515,0.433377143,0.955937921,0.146501396,0.122736446,0.83027821,0.399516089,0.157733428
0.819455912,0.610202618,0.610611037,0.385099839,0.061048166,0.516271806,0.628526587,0.787704317
0.884887502,0.613785096,0.942925062,0.927302088,0.883702502,0.547739723,0.873837152,0.591305133
0.922299298,0.804005029,0.900147053,0.891745071,0.084878894,0.917251899,0.885474723,0.886227468
0.541853021,0.879525011,0.503734805,0.889195777,0.623391678,0.899498221,0.724994594,0.934449544
0.923473143,0.894975407,0.892157245,0.905108265,0.930238255,0.915375232,0.91871649,0.896536912
0.869845185,0.60167612,0.639452257,0.826785427,0.079087713,0.518825606,0.719505674,0.726971885
0.644332288,0.612973871,0.827846117,0.903989643,0.919242354,0.548532834,0.649816386,0.929446697
0.841362665,0.962430721,0.879189221,0.934359791,0.931185548,0.940768763,0.913048533,0.948259507
0.655194502,0.479334584,0.897104508,0.854655992,0.911501434,0.521619665,0.922623768,0.902767868
0.538471056,0.519859555,0.842717173,0.94231879,0.469613379,0.769645675,0.499168456,0.674389178
0.497668081,0.523466751,0.705646321,0.787346595,0.83936469,0.770031815,0.825433958,0.779561623
0.803592392,0.807807583,0.886897158,0.856089056,0.509381105,0.882035014,0.609496172,0.757574665
0.778167747,0.926363281,0.371607308,0.76865562,0.911202368,0.921222706,0.584773441,0.504182783
0.843120495,0.728630005,0.504547402,0.548865391,0.838349533,0.842236005,0.811421257,0.839542114
0.478797138,0.733410385,0.604874665,0.562111189,0.497826015,0.863313081,0.535804375,0.844252497
0.91164025,0.85679563,0.791087467,0.902032778,0.919425881,0.176293645,0.950213035,0.926156817
0.45211393,0.757804933,0.914669219,0.916264082,0.497408834,0.475096118,0.447008859,0.629437162
0.912333155,0.916197316,0.969960813,0.918312595,0.929850765,0.915956505,0.927572241,0.975557847
0.760649811,0.466819263,0.32949556,0.674468359,0.471299799,0.803273028,0.577279319,0.678794917
0.937120227,0.950498745,0.948319781,0.955807329,0.910376555,0.94049126,0.890194078,0.866849359
0.909694367,0.895746549,0.89517418,0.941776729,0.520581488,0.900939401,0.557367605,0.768165219
0.860097931,0.8054564,0.96252199,0.949396329,0.535799528,0.864384874,0.70139349,0.576491969
0.166438715,0.310682283,0.2097328,0.691566255,0.07213969,0.465506349,0.314902318,0.588099905
0.424672911,0.409255586,0.296552432,0.707815237,0.433311507,0.422938713,0.079181989,0.056491858
0.711632841,0.49247966,0.406100843,0.836582966,0.518616596,0.631083487,0.857646773,0.857335378
0.55189053,0.740544886,0.56332577,0.82499151,0.188724129,0.491019789,0.582853462,0.714422575
0.907416599,0.868820693,0.957140967,0.908619845,0.503865449,0.911947632,0.588938335,0.829527994
0.919494159,0.539788463,0.916687809,0.852525277,0.524270201,0.91553611,0.848924456,0.852881403
0.865000743,0.874493287,0.589656569,0.89823703,0.521795233,0.767716128,0.5549408,0.660774959
0.375845929,0.47782163,0.171950205,0.467525102,0.069294313,0.229469746,0.075300952,0.053508264
0.768222258,0.663166889,0.625751418,0.519496663,0.147987453,0.910188895,0.17788673,0.208030163
0.188992207,0.400224322,0.207008335,0.80169826,0.920439909,0.188651203,0.905775676,0.887510722
0.943342203,0.959034849,0.657430715,0.906680909,0.193762469,0.958387259,0.801321682,0.852068004
0.4193174,0.91389824,0.580155747,0.662014925,0.948423627,0.924285548,0.77840772,0.831578196
0.082095384,0.108875327,0.040882079,0.303329891,0.485740388,0.493560475,0.6274364,0.449947813
0.652076429,0.624063599,0.855760446,0.898309613,0.911122044,0.923636382,0.822112757,0.870236299
0.638783051,0.508523786,0.306814862,0.573833135,0.850147096,0.540222514,0.64810634,0.817106878
0.621213979,0.512385174,0.710155337,0.78909687,0.522897746,0.858720502,0.80572848,0.798662177
0.676639477,0.837654331,0.61034881,0.798707081,0.898571326,0.206153943,0.828480269,0.629254211
0.552597106,0.819735027,0.936985471,0.556661795,0.879293179,0.877057821,0.945833102,0.960657964
0.481542164,0.461928329,0.90350971,0.617298106,0.434069454,0.423082765,0.572314942,0.184373891
0.366244777,0.405200284,0.664180365,0.831506734,0.23180729,0.287003509,0.523321502,0.425830861
0.902102486,0.780102127,0.851832543,0.925643821,0.516090322,0.912237046,0.4157248,0.900537249
0.448048069,0.772422205,0.959303828,0.904915929,0.120492671,0.467458054,0.788735887,0.644796424
0.667379201,0.598182559,0.617159001,0.822415545,0.578386764,0.40944177,0.695701846,0.784895633
0.25960019,0.499573107,0.112232834,0.714616634,0.090038897,0.100528344,0.18017611,0.497527272
0.911169253,0.906080337,0.956148319,0.891151178,0.911380697,0.910095511,0.940340065,0.940969188
0.919133051,0.84782932,0.923440666,0.870479215,0.897719085,0.907548996,0.941234716,0.924641297
0.929982477,0.741635846,0.866419092,0.662692343,0.939313047,0.92525971,0.919611689,0.860307448
0.934646819,0.860688992,0.884061566,0.84174725,0.921582508,0.89498814,0.913473201,0.922967841
0.415584119,0.425271226,0.83586141,0.374925117,0.622198962,0.767920845,0.512963378,0.727909344
0.481397878,0.487851451,0.873286154,0.925287323,0.94458456,0.225038053,0.966197012,0.864122678
0.508252046,0.534346014,0.748693572,0.696995794,0.458857297,0.894752816,0.680808347,0.688850746
0.463206473,0.541175678,0.790383395,0.677291179,0.457958778,0.920027903,0.88612968,0.912071818
0.938270868,0.810518541,0.938991844,0.835041701,0.925694394,0.940580341,0.940468362,0.960503535
0.886541036,0.685620303,0.518035652,0.611762021,0.794752758,0.780265259,0.379767781,0.218015475
0.724329187,0.861538447,0.781409868,0.440746146,0.547888902,0.855951148,0.59156698,0.61565739
0.517289565,0.512084562,0.290801396,0.590805423,0.485547104,0.476091043,0.266234118,0.386400655
0.236920158,0.46036421,0.41378676,0.382044516,0.10063064,0.392410445,0.077907489,0.18242354
0.65882478,0.633463694,0.754466126,0.703160052,0.48905819,0.812064788,0.841985094,0.923522488
0.888062699,0.83581399,0.878627074,0.931800792,0.501878771,0.904961253,0.505371917,0.39991865
0.88208465,0.8011634,0.95645754,0.943086574,0.460852119,0.873892433,0.650356747,0.182638388
0.563492592,0.85039845,0.777061753,0.863779668,0.761940517,0.84396547,0.78450273,0.947511806
