DA LL 1,DA LL 2,DBL1,DBL2,DB LL 3,DB LL 4,DBL20,DBL21
0.567632412,0.443687441,0.483465618,0.506685915,0.57371138,0.045021467,0.836564859,0.079608358
0.129940196,0.041261494,0.14346813,0.08391958,0.107097121,0.040249545,0.064535856,0.042950819
0.399218135,0.369705406,0.516659281,0.600480186,0.272364724,0.546197981,0.669508353,0.628891992
0.913162098,0.912609556,0.456359281,0.462118947,0.772398858,0.628773882,0.440233851,0.138161316
0.338925477,0.093364074,0.280986721,0.110047494,0.397222516,0.191319686,0.899171679,0.08239351
0.20774918,0.463261924,0.125016592,0.561663573,0.27816824,0.396426739,0.099426268,0.5258847
0.173196836,0.063920449,0.179563367,0.488712441,0.213445287,0.460612944,0.285761566,0.180817669
0.292237579,0.026065161,0.301798177,0.539818646,0.066549992,0.635304773,0.413804965,0.489214065
0.645764927,0.668275947,0.934174509,0.928944601,0.93357664,0.887195066,0.771537012,0.922861472
0.461630142,0.453987626,0.476622934,0.499495603,0.582257892,0.748317548,0.343068216,0.507496447
0.219386142,0.04807274,0.146810912,0.05196092,0.413445915,0.126795393,0.196390694,0.041014205
0.826001015,0.86037179,0.903296262,0.89451752,0.741095476,0.773262948,0.750394249,0.789213582
0.907689892,0.944961073,0.928180319,0.960153897,0.903156439,0.780040691,0.052855428,0.945305779
0.573945885,0.5563652,0.548756767,0.562364326,0.835685354,0.446943555,0.62217617,0.585855018
0.544916414,0.374091432,0.533955411,0.37480441,0.754953856,0.507366495,0.335364,0.085787
0.329304005,0.05057891,0.144297721,0.325113285,0.155896652,0.198041745,0.334398,0.073648564
0.315753405,0.42234984,0.642633995,0.955290497,0.634620271,0.940217661,0.431871485,0.947767987
0.269351791,0.351745175,0.321093045,0.076644456,0.183017833,0.176502369,0.109019186,0.067299592
0.368919697,0.049967199,0.47838045,0.155481589,0.05017839,0.041181861,0.661355746,0.049526545
0.643029349,0.155956525,0.370806969,0.519329044,0.670518654,0.197775887,0.376342094,0.546558768
0.439788164,0.212650145,0.364513484,0.530722691,0.619472008,0.466803718,0.131375527,0.480225638
0.109953024,0.079349973,0.148412115,0.087126426,0.576767182,0.191661268,0.867076264,0.073420126
