EA LL 1,EA LL2,EA1,EA_gld,EB LL 3,EB LL4,EB1,EB2
0.909099908,0.893943303,0.723160169,0.580449036,0.508283743,0.519358862,0.485313365,0.927072817
0.711087569,0.694442837,0.601067892,0.585969268,0.557165311,0.496849959,0.234060179,0.135631456
0.601485099,0.903362622,0.568829858,0.36255379,0.867670009,0.568843044,0.920097194,0.928840594
0.301903661,0.185043156,0.184449401,0.08470468,0.201061236,0.0547265,0.046346619,0.238173947
0.54531617,0.651427619,0.904305192,0.823797414,0.502116067,0.244754635,0.487808224,0.443936673
0.574620458,0.929893049,0.858195033,0.937639795,0.750691198,0.594776748,0.512452135,0.343718229
0.49274861,0.714916607,0.939007321,0.733171336,0.245770385,0.327863365,0.433691597,0.556820077
0.367835961,0.229747023,0.292455535,0.666391748,0.0887511,0.187307603,0.032645465,0.04406048
0.851872861,0.843024782,0.918999157,0.940098474,0.917093268,0.901042786,0.935856382,0.94605839
0.778452707,0.925388754,0.930098664,0.883105738,0.26428931,0.044964382,0.062772705,0.827877975
0.620014824,0.929687701,0.65523013,0.501175247,0.904375399,0.548505828,0.505058604,0.946429645
0.665908019,0.480302837,0.475041383,0.613917557,0.498353509,0.587816323,0.415416916,0.845661092
0.60854268,0.896053545,0.792926187,0.909222308,0.436171591,0.611989948,0.418909571,0.5600768
0.556871922,0.937900112,0.849625935,0.876050168,0.877488348,0.74476517,0.884910604,0.850874873
0.428198036,0.917252794,0.896499581,0.893432128,0.0744956,0.792101949,0.474575038,0.741416407
0.478398485,0.852833846,0.757335077,0.707246118,0.224003869,0.243943286,0.41843801,0.150210844
0.758543984,0.593209326,0.609633094,0.55645863,0.697072871,0.766630118,0.565413523,0.468366527
0.223890797,0.161528996,0.063314323,0.104096423,0.097471084,0.238908214,0.065484466,0.723246639
0.527981647,0.901111706,0.677614891,0.926114896,0.58524153,0.600450804,0.044800612,0.130285554
0.29111335,0.648184045,0.50609906,0.534326147,0.713616989,0.101399653,0.052855924,0.144509185
0.457104171,0.711612023,0.490870566,0.367583075,0.316076456,0.027974379,0.113988171,0.264992384
0.416387226,0.661165738,0.866569467,0.85927198,0.525024491,0.43516035,0.469945533,0.082360048
0.398283977,0.787972343,0.475833677,0.483869144,0.112385417,0.061516125,0.105097605,0.584204973
0.402811358,0.248965276,0.460435876,0.045233959,0.831649414,0.358444485,0.30811237,0.541703408
0.064669008,0.378720486,0.059247791,0.160290771,0.164701017,0.254384151,0.043960941,0.051220466
0.588007247,0.684743793,0.916405913,0.893903709,0.876664532,0.729732088,0.757725878,0.670120861
0.235515739,0.411038961,0.295127874,0.443400609,0.049553538,0.118299652,0.058633097,0.125499571
0.594233895,0.577760792,0.369119645,0.472847023,0.475484507,0.494087274,0.351523523,0.197348249
0.421006646,0.669580947,0.512105291,0.528321447,0.772447607,0.653714503,0.030661691,0.086307747
0.268847736,0.317840576,0.242343739,0.40877008,0.622800712,0.386413911,0.545925621,0.148315289
0.537811476,0.653604945,0.504289577,0.516100531,0.484886773,0.393282973,0.479623513,0.342149371
0.687453727,0.934060627,0.94593267,0.820624216,0.924215473,0.907893698,0.945003504,0.899673515
0.402448451,0.16861432,0.193510972,0.23004186,0.32566557,0.223116471,0.089647865,0.51130544
0.812126865,0.937620897,0.943389878,0.934244101,0.903033997,0.662632728,0.914242201,0.625973583
0.385592167,0.783349672,0.181247179,0.080197099,0.271591228,0.572251174,0.502514369,0.222565168
0.876575995,0.942680503,0.933731631,0.882039835,0.935742069,0.927777614,0.847379451,0.849865676
0.764355943,0.935808777,0.598582117,0.732396233,0.205305075,0.181637676,0.098034462,0.136334251
0.300490202,0.843666341,0.286309614,0.133105174,0.099827489,0.094492128,0.050033925,0.236164705
0.525441021,0.73706496,0.926634918,0.892107705,0.178069254,0.172733326,0.06731037,0.534733641
0.814149596,0.898460054,0.939796102,0.930677616,0.863342931,0.906195347,0.853333844,0.890759263
0.26651704,0.759767175,0.630572111,0.528375514,0.579644333,0.242125849,0.493154609,0.074842459
0.383951455,0.880823696,0.937626457,0.947554402,0.080296481,0.12034271,0.043311859,0.791179007
0.269623987,0.41120781,0.064543158,0.134223731,0.1200187,0.072313527,0.026745798,0.118572053
0.447007261,0.657333508,0.948849089,0.928332909,0.880658231,0.856828335,0.904000276,0.235996045
0.75632909,0.823762898,0.914442447,0.937369645,0.66593526,0.354083423,0.567018274,0.63892161
0.392053984,0.915520112,0.942684774,0.92234507,0.163771429,0.405916996,0.08153869,0.176349768
0.703312799,0.849323078,0.723888415,0.697632892,0.636663835,0.596192616,0.577682453,0.533229822
0.439822455,0.852804228,0.637044833,0.491681332,0.631973396,0.493211135,0.529733296,0.549691825
0.473602415,0.901001606,0.926673044,0.943479313,0.239350671,0.088958359,0.089143785,0.885286682
0.482822522,0.899513602,0.516481685,0.529028194,0.093710731,0.107562802,0.039659149,0.110735224
0.52772198,0.609263584,0.615826506,0.395832613,0.609411234,0.283272963,0.050940735,0.156177547
0.621747552,0.804405377,0.671451859,0.691144536,0.361114015,0.157270009,0.118931907,0.700860064
0.920783501,0.940771142,0.935920444,0.923514772,0.830561418,0.857518067,0.940274332,0.402030644
0.366366687,0.303682178,0.24437652,0.289914632,0.23257441,0.035021297,0.071829233,0.21942087
0.430814321,0.845027948,0.93600802,0.951433202,0.939690558,0.899468773,0.932456545,0.438879623
0.370144161,0.60142026,0.466066549,0.499333427,0.217805239,0.230888311,0.044483934,0.047017719
0.793944603,0.680568695,0.824570536,0.809792303,0.353992547,0.441270885,0.552498739,0.169128295
0.690122532,0.881892931,0.904241871,0.920400634,0.853951839,0.825514119,0.828889373,0.522185247
0.167397412,0.535324685,0.122725903,0.113901898,0.135867024,0.277575647,0.072269757,0.093659774
0.269343441,0.127993567,0.22331878,0.255780742,0.342813232,0.363689423,0.100673402,0.162986858
0.597031357,0.909416043,0.716805679,0.781496126,0.917150233,0.65928457,0.868189443,0.585134573
0.753261776,0.886650309,0.921864483,0.858272429,0.62494888,0.688543455,0.55690616,0.906515979
0.596502681,0.339536461,0.473339742,0.447011987,0.301352292,0.383365587,0.517476407,0.489491596
0.374755286,0.459493006,0.372941748,0.103451733,0.853064783,0.756083745,0.770079653,0.445702241
0.459730904,0.678939929,0.597896769,0.598155316,0.734692232,0.808343888,0.606165452,0.354755051
0.270235405,0.672778495,0.26177918,0.538065113,0.372262706,0.475210605,0.429718449,0.208916709
0.570429724,0.597055389,0.88474459,0.914695113,0.418996046,0.415874611,0.47129916,0.304957159
0.862393071,0.885870496,0.933040396,0.940122806,0.917061372,0.941525805,0.943875236,0.906061468
0.817610458,0.893978772,0.894112415,0.907791732,0.567972901,0.530049523,0.518433283,0.142317649
0.583166725,0.256007768,0.088938591,0.074048345,0.567087161,0.809222159,0.934252924,0.899831512
0.716543722,0.907683324,0.909503269,0.881639027,0.898795247,0.855167893,0.860922635,0.54068287
0.661927014,0.856843007,0.617360996,0.671529064,0.134394743,0.076062808,0.043997489,0.11913415
0.586628099,0.740243564,0.813456563,0.817931471,0.827792493,0.810875452,0.858030741,0.486326098
0.532443203,0.551677537,0.538314067,0.538469036,0.102212383,0.088390716,0.074606457,0.53443431
