JA LL 1,JALL 2,JA3,JA4,JB LL 3,JB LL 4,JB3,JB4
0.869540778,0.901464249,0.846129751,0.551981849,0.89143438,0.908817424,0.848428585,0.905701081
0.289292178,0.668624953,0.258893586,0.49841476,0.493419308,0.898182673,0.572590915,0.508886241
0.650313373,0.809715177,0.5858309,0.403815512,0.922473891,0.077013864,0.534587824,0.717248899
0.064887235,0.128725131,0.070836897,0.045834188,0.100275431,0.09724832,0.079924307,0.055352335
0.781005975,0.728320934,0.520562068,0.289715039,0.672736357,0.841255677,0.528468848,0.240082447
0.534305144,0.530866416,0.508886553,0.826462654,0.535877817,0.636806308,0.154772879,0.058862964
0.427109892,0.438014206,0.306393925,0.169595797,0.156595276,0.057028397,0.415639163,0.370519043
0.411096124,0.262062449,0.143693823,0.50289174,0.148466721,0.87385272,0.136224622,0.047956033
0.884289806,0.921741381,0.942672818,0.951109287,0.64030709,0.777090092,0.884321798,0.525520227
0.040422785,0.018414772,0.077167753,0.048995805,0.510876552,0.038301194,0.265133211,0.487836508
0.033764003,0.018143642,0.052454243,0.027320307,0.058915266,0.064893105,0.137834063,0.114954196
0.790712238,0.779305514,0.864300487,0.841627199,0.730262102,0.876410277,0.742550022,0.850646673
0.101800629,0.070227018,0.150230908,0.043752012,0.676332269,0.046918638,0.472543706,0.660980823
0.926556534,0.677809787,0.764392141,0.855398722,0.932730383,0.384693264,0.875573233,0.946566609
0.250415182,0.051270809,0.604598765,0.143210681,0.337694194,0.078594436,0.417789092,0.438603602
0.575315323,0.789530765,0.495425676,0.67619033,0.493244745,0.120818224,0.575755672,0.734296963
0.85045477,0.591244346,0.783409143,0.108097447,0.72622145,0.919720922,0.86709739,0.052509149
0.386910383,0.276872841,0.51545557,0.460135326,0.124195625,0.587913958,0.463572929,0.161825205
0.087365598,0.133635165,0.056237098,0.061953175,0.53134852,0.058369202,0.467059667,0.78940041
0.051476522,0.035535319,0.095286534,0.042614851,0.118451462,0.031937891,0.106348631,0.027846102
0.051166014,0.026647684,0.230601029,0.140358703,0.313440666,0.927623872,0.229877038,0.197504982
0.54772218,0.546577158,0.523604255,0.539641803,0.596881036,0.585284447,0.495955813,0.531744753
0.348075218,0.289244231,0.461367606,0.707687296,0.281529676,0.36849909,0.674449371,0.430637036
0.845958332,0.774743827,0.648485651,0.658132263,0.752957895,0.930840609,0.930756302,0.662209444
0.378946635,0.107084238,0.228361214,0.093099086,0.576536381,0.081166926,0.37324754,0.425571439
0.060334393,0.060174221,0.190893855,0.154946754,0.579122798,0.258707901,0.270803142,0.477873054
0.573704523,0.40642211,0.408364367,0.497174757,0.514560558,0.959904599,0.549233496,0.57173439
0.588175859,0.442295886,0.51176792,0.522015029,0.605350806,0.917852447,0.515086686,0.512588338
0.66426563,0.593714509,0.545652332,0.106271799,0.675701872,0.064327667,0.602401357,0.536877877
0.141165374,0.122534904,0.299703862,0.385206043,0.520892713,0.490103935,0.586370416,0.193256311
0.119838807,0.178951125,0.352571634,0.130462566,0.094525846,0.09874745,0.196056131,0.094157636
0.035615467,0.036449384,0.041199562,0.028835705,0.04376382,0.04605674,0.156565194,0.022200591
0.307272683,0.177316028,0.107570312,0.528991694,0.584678892,0.816729859,0.187658972,0.270418558
0.061604591,0.083082783,0.089509323,0.060987506,0.888953073,0.07720553,0.35093405,0.941790649
0.818868579,0.864216132,0.873905112,0.884561412,0.837839596,0.201334636,0.825303819,0.916909715
