MA1,MA2,MA3,MA4,MB1,MB2,MB3,MB4
0.507678643,0.440190407,0.83427902,0.931785622,0.598745179,0.560811792,0.585598004,0.551204966
0.059735801,0.090310513,0.049292291,0.131848496,0.297681807,0.039068492,0.066194505,0.045453342
0.203351891,0.369957658,0.14190702,0.490741444,0.830737508,0.560328361,0.887532068,0.521182565
0.041798948,0.044483943,0.070860304,0.038950985,0.079709571,0.063641304,0.040256132,0.058863433
0.375565761,0.314566349,0.154612492,0.450612979,0.755295795,0.50521919,0.621127276,0.518702845
0.485077978,0.078897253,0.841090654,0.716916065,0.113548755,0.105947674,0.179175596,0.046274726
0.062442109,0.069245005,0.072068096,0.048298522,0.377163242,0.263947052,0.770539226,0.520174046
0.088970069,0.057676413,0.047237984,0.031073389,0.553316336,0.475106043,0.47290008,0.682669918
0.807788967,0.885589794,0.73025437,0.920802611,0.062933882,0.036003498,0.031094624,0.04776806
0.458591195,0.035935381,0.493763147,0.04671751,0.478289329,0.337311915,0.077405769,0.363234469
0.127386401,0.802354366,0.130541368,0.66187687,0.472350336,0.043443786,0.446488964,0.039606551
0.850968572,0.88753411,0.902695551,0.870246117,0.871498567,0.886151528,0.880007485,0.884332795
0.536380822,0.871749623,0.576400619,0.571619517,0.046702918,0.04478225,0.052176941,0.061395834
0.800382919,0.850187175,0.898439124,0.910923976,0.091175873,0.111224287,0.095828818,0.08713493
0.867978993,0.09803217,0.557518308,0.569197112,0.132838959,0.226646482,0.19671925,0.466631403
0.185366228,0.094439416,0.119619339,0.142972928,0.241675411,0.512310876,0.385692561,0.387898385
0.029398651,0.915722863,0.026034567,0.033849203,0.177704348,0.175970457,0.956863977,0.036805475
0.433291997,0.461530488,0.521253959,0.355675087,0.451695969,0.30771692,0.483979142,0.284766198
0.332949876,0.084836242,0.05387908,0.036511361,0.563643303,0.335733522,0.875733616,0.338813572
0.046706365,0.102625199,0.063674563,0.059314293,0.085333365,0.36696857,0.554358853,0.374944315
0.597249822,0.434149258,0.842848697,0.375002234,0.189834165,0.179221528,0.220670317,0.107103013
0.414066691,0.466794986,0.503654927,0.903351164,0.207139815,0.503011823,0.493797336,0.703142505
0.388807925,0.448715604,0.450015124,0.617498644,0.33283655,0.089008705,0.129472829,0.068862453
0.85664345,0.121135855,0.891965799,0.171622351,0.035907335,0.329721205,0.06967143,0.03911358
0.120889077,0.520977431,0.160394761,0.34105328,0.192018708,0.145868494,0.065521425,0.198835811
0.508409505,0.667580482,0.185085822,0.20387146,0.502585008,0.090452369,0.148546593,0.23994932
0.797260987,0.51712347,0.929717377,0.584966198,0.682431221,0.614999776,0.50803281,0.822402012
0.065834577,0.038866009,0.495007724,0.077577516,0.108648051,0.116719813,0.076577461,0.337908735
0.271630324,0.487801606,0.094186652,0.336458952,0.045711139,0.028545284,0.027004662,0.025027656
0.096334814,0.571889079,0.073040742,0.548556485,0.500208859,0.240494259,0.532715575,0.417949057
0.296916788,0.505113871,0.457125395,0.123141245,0.349149174,0.29219926,0.326264099,0.324851469
0.040927181,0.068948978,0.081461451,0.031380827,0.051985885,0.088384321,0.08367257,0.030125024
0.775167283,0.315434449,0.886511791,0.300756171,0.390231521,0.175175522,0.555440888,0.187076523
0.354621034,0.178533384,0.560846116,0.934873986,0.796174258,0.671337106,0.89005627,0.569840917
0.530943397,0.554264519,0.234576829,0.664834181,0.120391542,0.177139137,0.069998265,0.473146893
0.427247114,0.832854317,0.543355937,0.545789325,0.101377409,0.411025415,0.087170007,0.062610781
0.919630266,0.605763447,0.938311659,0.252248995,0.935409135,0.52144987,0.902329232,0.524449629
0.211184418,0.349183607,0.476618041,0.321299228,0.085563715,0.065152305,0.0360805,0.0412324
0.572799641,0.493244907,0.544049011,0.550936693,0.319710129,0.377751656,0.42648602,0.164901288
0.728565747,0.601228141,0.482986595,0.492344451,0.46931489,0.078196528,0.516367154,0.070406626
0.090178107,0.058052283,0.06361542,0.058722818,0.406786633,0.601427805,0.419514717,0.511172157
0.699202811,0.810926476,0.098689709,0.92689748,0.030090334,0.372825155,0.043949377,0.035135767
0.118626337,0.079674121,0.117709975,0.430852418,0.441135368,0.508215022,0.405751727,0.325299275
0.333820413,0.505784853,0.516102121,0.654152879,0.7478492,0.873504406,0.919151822,0.934605672
0.602009333,0.542126084,0.946304713,0.575391648,0.85437385,0.603319391,0.566214893,0.78957392
0.046779096,0.527038633,0.084932095,0.097893628,0.200012359,0.508012831,0.123423544,0.718808897
0.407746333,0.544830593,0.269150362,0.36731856,0.416020366,0.278685393,0.397098763,0.424359194
0.499888733,0.572442197,0.508222066,0.946397155,0.840770009,0.25887789,0.526253133,0.634708406
0.054945538,0.548563031,0.064121494,0.445279493,0.068901365,0.057378218,0.050269008,0.052367909
0.170200462,0.479443394,0.041001635,0.044725558,0.862122665,0.054685072,0.058162217,0.073415015
0.122035724,0.540947279,0.045696613,0.582324706,0.889648324,0.715674462,0.921742729,0.731609197
0.116851151,0.18053526,0.604136499,0.110167915,0.23605723,0.317950785,0.231935563,0.430592194
0.120100414,0.106130118,0.137071731,0.073334817,0.512176893,0.219357644,0.549082455,0.220651608
0.068727135,0.101547209,0.056662217,0.062579032,0.165172967,0.387597823,0.1031465,0.244749066
0.303428155,0.369663124,0.463771671,0.362453251,0.466157757,0.345134945,0.112851029,0.312020215
0.879862365,0.878832193,0.9252911,0.904618003,0.183721035,0.12167422,0.4143446,0.311023654
0.551878536,0.372961099,0.52200301,0.066523801,0.122872797,0.091954023,0.556156962,0.095558504
0.160997115,0.279149407,0.123476157,0.619168016,0.867839156,0.50828751,0.419000147,0.324211067
0.231414491,0.428614832,0.116903661,0.158280996,0.886432054,0.775786372,0.568778346,0.712891954
0.611820802,0.470624528,0.510693475,0.52262454,0.387670301,0.129422632,0.623533767,0.231950734
0.839720341,0.907141549,0.582945515,0.931912494,0.6800205,0.170909444,0.485373099,0.171777093
0.679826618,0.597075879,0.595736209,0.049048695,0.391784832,0.40163498,0.571449883,0.35527748
0.529108561,0.516784473,0.509993029,0.838313396,0.673075364,0.663007451,0.778961389,0.537702751
0.549829275,0.485680644,0.154099678,0.498932102,0.115753589,0.047101958,0.056717882,0.064862036
0.099077605,0.615745131,0.077611036,0.068132515,0.14216521,0.228014431,0.101035351,0.074317355
0.40951072,0.841353691,0.527758124,0.526319384,0.396717155,0.067896839,0.096724808,0.217010714
0.039890272,0.058839124,0.050012833,0.057502808,0.102469712,0.135560094,0.110245168,0.336011734
0.146837188,0.912078189,0.056067326,0.634782133,0.552953467,0.345977225,0.243922696,0.385054785
0.649202204,0.185737803,0.852474738,0.921866551,0.495218745,0.11469451,0.527885789,0.333975847
0.576256114,0.913977142,0.605751057,0.59162081,0.060378154,0.028402243,0.045896753,0.038540441
0.537398956,0.477232564,0.525542503,0.503690494,0.105417863,0.077081083,0.093600517,0.103200904
0.041204072,0.293789932,0.310712102,0.405558044,0.047813348,0.059385756,0.044048059,0.198180246
0.491878538,0.773842042,0.536786734,0.556745925,0.430467743,0.596666433,0.288414973,0.571074221
0.219520746,0.158043857,0.139022433,0.361272213,0.060585906,0.049623582,0.049906289,0.069734051
0.06067895,0.078481033,0.077744492,0.504343729,0.060441892,0.248076139,0.073487126,0.060624291
0.239915405,0.323752347,0.17564022,0.634803531,0.154777908,0.181500457,0.148050403,0.149748337
0.051888627,0.050738212,0.045134218,0.407298294,0.570009856,0.406851652,0.724005366,0.377601224
0.042000145,0.482120002,0.138012312,0.047833664,0.080238397,0.047862043,0.047880864,0.055493762
0.027126146,0.524804133,0.042980739,0.526956429,0.060413332,0.046251652,0.036117285,0.036365977
0.342256928,0.563273361,0.540947918,0.528020355,0.148782251,0.17518775,0.10248814,0.068621813
0.079800684,0.051079406,0.15760646,0.054793795,0.065577708,0.071434028,0.050995636,0.060500839
0.877449905,0.175682746,0.812393787,0.501927098,0.313862849,0.283277171,0.421560424,0.159449063
0.535039427,0.160793075,0.489041045,0.577942465,0.214090748,0.155419384,0.341963534,0.079107457
0.528165141,0.067696158,0.513058127,0.871830443,0.391486354,0.061022087,0.424353082,0.053411895
0.528616527,0.077192948,0.546326144,0.391616508,0.04501344,0.059842577,0.074437946,0.2399415
0.593784391,0.326633667,0.194828422,0.380602379,0.414705374,0.444466861,0.535338086,0.538782605
0.323345314,0.696810883,0.465315819,0.674562179,0.513767882,0.55519443,0.464417691,0.657568992
0.820507464,0.869965063,0.237102372,0.356079606,0.507247131,0.029922623,0.471066327,0.038242835
0.037498389,0.045753495,0.039473127,0.037778759,0.152018402,0.064709637,0.203054208,0.052481357
0.764574803,0.581943123,0.549182138,0.457008633,0.533405806,0.506470762,0.86688832,0.369433354
0.083655471,0.399580195,0.472473579,0.282677789,0.439440239,0.224973798,0.090267763,0.471142044
0.769111894,0.451955403,0.497183807,0.526255893,0.526867062,0.463195371,0.381361347,0.511701486
0.270240006,0.029362745,0.545796109,0.563652957,0.042561894,0.043157966,0.473119771,0.028047594
0.473673451,0.021938942,0.532257055,0.030336608,0.039750016,0.038112745,0.03263175,0.040208351
0.311224403,0.170032679,0.507127186,0.537947501,0.114945489,0.458836006,0.502358134,0.473613214
0.133721142,0.220827011,0.134784149,0.10950096,0.626920201,0.862810145,0.606423444,0.895392636
0.046524165,0.025599967,0.039339418,0.040540262,0.101780254,0.033304717,0.814485123,0.046869801
0.33629783,0.703172244,0.401913562,0.382970369,0.390206159,0.345000172,0.482057154,0.443132894
0.827393808,0.778225505,0.87726142,0.894589951,0.21523134,0.332703043,0.079066134,0.357281011
0.224919659,0.391792104,0.434903353,0.88875179,0.468629342,0.150002292,0.490899671,0.201694238
0.382154791,0.64376942,0.525225149,0.554776202,0.812960692,0.474766514,0.88393444,0.476480677
0.049610517,0.113612067,0.139164711,0.235193619,0.790969153,0.557178302,0.576996427,0.592213924
0.758281941,0.438812489,0.915360738,0.739402791,0.156433823,0.099930539,0.170156965,0.148109164
0.465345664,0.813485813,0.481328931,0.490409596,0.389623036,0.320425446,0.099179083,0.470398619
0.171792105,0.056033209,0.200257987,0.47067036,0.298143125,0.646219146,0.619495435,0.691003085
0.445305678,0.035860152,0.543996681,0.05332772,0.152832299,0.185857942,0.046694702,0.049559554
0.074458599,0.06454409,0.043002383,0.498346528,0.108439642,0.179951097,0.210777878,0.089077403
0.395676777,0.767152723,0.508283671,0.568717854,0.276949085,0.06025246,0.23986299,0.054113862
0.074784579,0.134142158,0.101313913,0.884109349,0.329762367,0.260864264,0.308751116,0.243741845
0.064905304,0.062008852,0.028822968,0.022865159,0.738842032,0.592783923,0.744026366,0.619800572
0.166159155,0.507050163,0.162788878,0.052817519,0.448134953,0.477636754,0.464852974,0.701156482
0.837523907,0.777541118,0.879926536,0.039532671,0.144693024,0.354665265,0.687900566,0.313339783
0.149360287,0.096342371,0.06145698,0.204599289,0.805020959,0.49091741,0.116769751,0.475307822
0.06386052,0.413036271,0.136370324,0.055847674,0.065931535,0.061638086,0.060044062,0.065873406
0.509819964,0.45369519,0.575194919,0.366964169,0.514891261,0.388779021,0.0936325,0.454421677
0.872362856,0.418755701,0.881689542,0.939381174,0.031750064,0.074553917,0.053133575,0.058807289
0.120241239,0.242056527,0.060168671,0.061184379,0.473819458,0.328403822,0.328087508,0.239263635
0.185153761,0.496370185,0.074438845,0.024447078,0.899757889,0.638738532,0.891520515,0.670039121
0.097180104,0.03360934,0.03656346,0.55972141,0.20811936,0.261251843,0.494236323,0.083058622
0.487206003,0.556608037,0.544213331,0.086488655,0.044349534,0.260630002,0.054347368,0.056304588
0.262814818,0.411160504,0.465985942,0.879935077,0.072888833,0.300055334,0.118804616,0.357975485
0.619575989,0.625819073,0.514890594,0.310171883,0.055383435,0.038359239,0.030865247,0.353061798
0.302181277,0.13716133,0.185703943,0.255937197,0.666001847,0.486328381,0.730673245,0.382806628
0.060863119,0.907844639,0.038629568,0.037382616,0.930717878,0.907095648,0.900703947,0.912858105
0.060588732,0.03325136,0.042754661,0.041111961,0.170727473,0.249503933,0.130029,0.165475383
0.862622491,0.419149842,0.930830564,0.937499525,0.0653344,0.07412245,0.052544558,0.071490418
0.068169225,0.03423401,0.031946489,0.579459821,0.465545745,0.054368224,0.048455776,0.072507507
