PA L 1,PB L 2,PB L 3,PB L 4,PA LL 1,PA LL 2,PB LL 3,PB LL 4
0.830170411,0.536365902,0.536722187,0.521226973,0.46487725,0.561330419,0.274702729,0.666959108
0.04817281,0.420699593,0.524491279,0.518706534,0.051730431,0.044031202,0.491420584,0.505525866
0.451587847,0.382192548,0.282987676,0.512899557,0.403250376,0.778963648,0.214374044,0.889233754
0.594165514,0.567870066,0.576227503,0.596476808,0.783640221,0.642542695,0.62577678,0.647511877
0.349338189,0.265872931,0.32475092,0.224173101,0.097366578,0.201417158,0.130372374,0.098653689
0.776770576,0.059768216,0.047376266,0.464965749,0.13303271,0.577909169,0.056454309,0.330503404
0.150949509,0.384874939,0.45672735,0.148267521,0.061014821,0.120851269,0.254231722,0.060933264
0.078303801,0.48476267,0.457991511,0.128834292,0.168785662,0.066352187,0.4679754,0.507780941
0.927743485,0.928382408,0.923790612,0.943926336,0.83563621,0.902430202,0.931879499,0.88688874
0.051869861,0.544409203,0.472289111,0.437197923,0.063311409,0.467303878,0.396013324,0.42121367
0.249180255,0.173736865,0.240405199,0.471015129,0.325646948,0.52985687,0.090346927,0.046154489
0.831443363,0.861893654,0.846125475,0.835531475,0.812829917,0.773725565,0.848784959,0.764202685
0.739011932,0.561934724,0.578159123,0.540463127,0.341927056,0.843988454,0.593288201,0.836980434
0.285089678,0.529673703,0.519658159,0.484981255,0.039082046,0.046627648,0.447012564,0.315919178
0.370041394,0.119465791,0.154859132,0.145243082,0.69886417,0.524113784,0.470772285,0.360423216
0.30455188,0.170392885,0.375076521,0.203209732,0.297415829,0.379817651,0.116734373,0.135741087
0.542035615,0.554707264,0.576226295,0.588371501,0.660987371,0.537359172,0.531854082,0.653304341
0.061558379,0.051228816,0.1293134,0.149561123,0.038955653,0.049239812,0.041276417,0.025861756
0.346008984,0.059865319,0.060453754,0.045456422,0.664113916,0.052281524,0.396695881,0.101131433
0.465663482,0.046757559,0.041138833,0.056973295,0.20107205,0.165798311,0.034290806,0.039315257
0.265135078,0.321566596,0.430898108,0.217737351,0.078839479,0.042129794,0.403301207,0.229407468
0.060933787,0.062713896,0.070147216,0.087547209,0.045002185,0.051037182,0.051070121,0.048863084
0.117848987,0.206591271,0.238393065,0.088167117,0.044700793,0.190044557,0.024929709,0.037181759
0.289341166,0.093669011,0.043733937,0.044542655,0.220649431,0.599269417,0.03875334,0.255130865
0.046283743,0.388467653,0.408166814,0.40130215,0.390768767,0.058973857,0.141632292,0.652431227
0.090867105,0.223735014,0.069373789,0.084290287,0.050197581,0.041777457,0.151808558,0.062992884
0.326763692,0.200503578,0.10644622,0.109243352,0.164069504,0.042017303,0.081709244,0.076394148
0.078609568,0.485007959,0.495511581,0.506996653,0.401908541,0.071593155,0.487800719,0.516700652
0.544077446,0.524813596,0.531002142,0.532476129,0.627949173,0.647785255,0.536006597,0.31340729
0.104681991,0.053362381,0.088859201,0.077374083,0.052739295,0.035523499,0.154169577,0.0315343
0.381781598,0.082952103,0.112790331,0.164620805,0.066338188,0.322334314,0.099597544,0.19376295
0.06663008,0.444811932,0.486747447,0.059786456,0.087382106,0.033539753,0.142971269,0.397212407
0.448088667,0.111320225,0.15570002,0.153889537,0.135546148,0.46663295,0.259238126,0.157270263
0.620652456,0.668711469,0.779605415,0.859058848,0.230793076,0.569799835,0.18012064,0.876079062
0.46641481,0.06690265,0.087124256,0.052933545,0.512088818,0.547642557,0.091437417,0.045974743
0.103968087,0.066273386,0.081563137,0.063836377,0.679976574,0.032374246,0.048776011,0.027074732
0.816156747,0.712003251,0.894528573,0.840081207,0.62180325,0.643927434,0.326810167,0.529111172
0.039803214,0.042879763,0.072651232,0.050209914,0.1550658,0.036289323,0.025620042,0.027551051
0.473205767,0.515927943,0.524098505,0.541856608,0.947830674,0.398429873,0.484423745,0.598818772
0.51409663,0.06313152,0.082507484,0.23838287,0.292063476,0.030984516,0.069587387,0.252741896
0.394603449,0.512535364,0.494227523,0.103971496,0.506993759,0.092960227,0.323674522,0.093503261
0.070567719,0.510817815,0.509139125,0.511995949,0.054525321,0.042573818,0.531458377,0.213864169
0.234495234,0.206013953,0.205380979,0.619151507,0.237415704,0.034834047,0.370991009,0.152744281
0.122914915,0.413273189,0.519286222,0.512063306,0.282247177,0.034709159,0.468789035,0.507959062
0.159917607,0.537253496,0.591447148,0.422170311,0.623507272,0.570294784,0.564627024,0.413394036
0.078752746,0.071241787,0.154390117,0.083999165,0.065675398,0.450295207,0.176541368,0.057484639
0.353644406,0.175332707,0.279823205,0.154890196,0.548902284,0.175180321,0.240552887,0.145907814
