SA LL 1,SA LL 2,SA LL 5,SA LL 6,SB LL 3,SB LL 4,SB LL 7,SB LL 8
0.506391687,0.443010184,0.7802865,0.22340686,0.511981088,0.801279177,0.918832413,0.702447545
0.707183217,0.892212249,0.935746723,0.546920796,0.762871886,0.513910619,0.876858226,0.095131138
0.149816386,0.212814988,0.356048134,0.157248746,0.214019435,0.145134297,0.160318598,0.58448117
0.544384936,0.604916837,0.649564136,0.556255694,0.517943536,0.61798491,0.693965963,0.75360661
0.501044656,0.359652455,0.229232953,0.062086398,0.247522952,0.256582474,0.13124516,0.264366768
0.091761351,0.084189063,0.533606181,0.617202028,0.493502085,0.151018345,0.104549972,0.053385978
0.378538158,0.387182881,0.540319712,0.691062216,0.244152594,0.166568725,0.302896011,0.054101412
0.077927649,0.091881747,0.033908641,0.483870276,0.136407273,0.048982708,0.184396795,0.561073242
0.070078023,0.329588208,0.143073738,0.583557369,0.57402925,0.611791822,0.649572615,0.485717983
0.422390831,0.477781899,0.504925305,0.558617867,0.748857548,0.903392383,0.797859918,0.815781198
0.114247566,0.038475924,0.405554706,0.086985312,0.190879916,0.095726347,0.054558543,0.065872019
0.801724341,0.857366799,0.828635204,0.463035728,0.855906256,0.900896423,0.68506066,0.751751861
0.046553824,0.045028578,0.087772289,0.063593449,0.604006241,0.507338513,0.674869395,0.660469299
0.582430165,0.614352931,0.458352844,0.459535153,0.525983191,0.358558323,0.689288292,0.046996105
0.450313069,0.315628477,0.682614842,0.483352711,0.230344625,0.164266086,0.424007155,0.573427507
0.115435213,0.104189418,0.255778097,0.484205984,0.210393125,0.195369716,0.485364753,0.070995814
0.954550907,0.961483571,0.572236569,0.072523312,0.543248519,0.566723042,0.809523406,0.780706649
0.298416042,0.385613038,0.289303498,0.135046478,0.183516533,0.166921221,0.323416839,0.042683828
0.049300158,0.078287202,0.112585539,0.109543697,0.285718947,0.800613704,0.536716212,0.565998437
0.928089515,0.937398212,0.527774406,0.091465057,0.33718815,0.073312965,0.152192062,0.066182973
0.388221745,0.221299801,0.452531387,0.317025915,0.515088251,0.524686256,0.828072381,0.15636741
0.527559883,0.509831957,0.452192381,0.894078664,0.832348645,0.868923862,0.904668153,0.922987974
0.566717564,0.422870721,0.39932325,0.023127111,0.510154775,0.784251657,0.96453749,0.205418189
0.486473955,0.213951922,0.097167725,0.668620387,0.479884793,0.103638613,0.221517547,0.108834795
0.063136232,0.220892885,0.102607323,0.429351286,0.099213056,0.314523532,0.280035777,0.765553047
0.531269915,0.35189564,0.25610842,0.433351862,0.455241925,0.486286882,0.562589537,0.622182967
0.477152666,0.585112002,0.868704823,0.180238097,0.174225552,0.137106081,0.222666604,0.741953093
0.785874366,0.78339272,0.861382728,0.46070453,0.905190757,0.542797596,0.347557824,0.927226678
0.377251693,0.559877413,0.610487835,0.157977079,0.92017245,0.943683071,0.863983249,0.868942043
0.039084688,0.049730478,0.047967562,0.063471815,0.089089765,0.051452565,0.027313748,0.050029162
0.366441485,0.340245929,0.486533212,0.590300047,0.463041805,0.427585483,0.175487084,0.36304171
0.462108219,0.493237347,0.524691438,0.64572767,0.697603955,0.484614502,0.805809682,0.779724083
0.523061434,0.589543557,0.43620303,0.143894399,0.159229448,0.289815103,0.486502565,0.039031086
0.447668859,0.603707381,0.180287847,0.541750475,0.516326002,0.598947836,0.435290035,0.642980487
0.92974605,0.521680411,0.723328821,0.112673951,0.403744632,0.489082556,0.617406167,0.509427818
0.958232683,0.938985164,0.940255864,0.220118816,0.953250774,0.852924813,0.876827006,0.772041058
0.03575838,0.074214894,0.147448313,0.072953941,0.124912611,0.055792486,0.152447609,0.195495835
0.831823244,0.854469836,0.847274046,0.518777934,0.92782236,0.647460019,0.488885875,0.202102129
0.501328179,0.46902179,0.864603306,0.529115035,0.525119818,0.778233171,0.483333298,0.940880456
0.312278959,0.24696224,0.167074488,0.123978499,0.288653073,0.138942422,0.095623297,0.101064273
0.307952932,0.093493283,0.253671302,0.153865063,0.318658739,0.171120845,0.166988652,0.082682327
0.046759756,0.520763789,0.097225103,0.403152425,0.888242267,0.93569353,0.532449454,0.917686106
0.467591079,0.743893466,0.4155611,0.773933739,0.329886567,0.43278487,0.798082125,0.916352561
0.024944116,0.138523358,0.643654814,0.342688304,0.063092255,0.315172404,0.253438005,0.432883257
0.508558204,0.659898108,0.256184199,0.492222234,0.447406505,0.616705719,0.304588845,0.362564431
0.030951517,0.080213984,0.170441283,0.126005953,0.263463963,0.106001507,0.744961267,0.035034718
0.418932504,0.388788774,0.512606377,0.520592414,0.220616945,0.313861132,0.272909115,0.123282039
0.770328009,0.936119973,0.921831761,0.495047289,0.825943128,0.935891845,0.759268216,0.806655279
0.356546175,0.329490522,0.924449309,0.617560873,0.784991175,0.783754163,0.560192359,0.789137337
0.064834283,0.213518341,0.078124686,0.886857887,0.053422164,0.039784408,0.105437647,0.767186089
0.628410125,0.595589347,0.577267762,0.878182349,0.053557935,0.109879588,0.12433344,0.149154597
0.079975429,0.104940385,0.661239672,0.820277388,0.264114845,0.221720759,0.039412781,0.815848551
0.963356266,0.938268388,0.939028388,0.952862363,0.940384136,0.778617593,0.925655005,0.903497421
0.813279808,0.85172041,0.807766929,0.698752971,0.854968859,0.813882962,0.795353284,0.892293189
0.508708913,0.895179366,0.255931163,0.27010545,0.545605884,0.457938284,0.486974952,0.578092511
0.705105593,0.90535406,0.841414178,0.080593114,0.069830454,0.063580083,0.311318428,0.304887774
0.084726681,0.131298472,0.545538942,0.585506127,0.529752873,0.10301577,0.32197013,0.230091824
0.284476684,0.458086928,0.218959868,0.159688119,0.252154589,0.242413045,0.798124578,0.428589415
0.294618313,0.301178165,0.302663544,0.193854066,0.289843817,0.225801181,0.070556699,0.116608514
0.836930016,0.623310027,0.444104737,0.369256619,0.386942614,0.468025093,0.060202528,0.5068417
0.606565113,0.83001539,0.897466416,0.751617937,0.703393172,0.874908056,0.798314656,0.768402294
0.491695006,0.504073235,0.486506379,0.666362821,0.666456521,0.62309726,0.565418737,0.141179992
0.702388715,0.74744314,0.6786082,0.423150866,0.151397191,0.271784348,0.08987059,0.324462578
0.035045139,0.089572605,0.140584097,0.607854413,0.125798651,0.309295121,0.059580611,0.253221092
0.08745223,0.067647432,0.160718553,0.487405073,0.634458797,0.625881723,0.316754003,0.714538097
0.151236844,0.22079075,0.425924048,0.347402061,0.277403658,0.198005519,0.450523331,0.407570023
0.114808158,0.203252953,0.20600413,0.462651695,0.106362409,0.116148074,0.13209804,0.755189718
0.817041942,0.678697349,0.904958213,0.441130611,0.376581286,0.463888178,0.406748179,0.29098865
0.57551814,0.825955976,0.524019911,0.781559267,0.76136543,0.845436973,0.900277236,0.904760615
0.711507391,0.585125828,0.82726304,0.628173197,0.641728617,0.644049937,0.442540867,0.695083926
0.031369716,0.091127864,0.140410208,0.110770606,0.539842795,0.104185791,0.039678155,0.063802111
0.899201589,0.843684695,0.887662509,0.89414182,0.802895614,0.679326931,0.846233187,0.351426993
0.620746898,0.053204911,0.492605376,0.42238544,0.685093914,0.527221348,0.558610839,0.54004786
0.480234157,0.532110787,0.542956519,0.136602607,0.935923202,0.889103033,0.638672033,0.525695903
0.041455936,0.04717493,0.078206118,0.068693153,0.031265161,0.069732894,0.142033695,0.240674981
0.172826907,0.260637262,0.446665917,0.275692746,0.534469228,0.50383721,0.2098629,0.510943452
0.046790323,0.139460076,0.070509861,0.044094782,0.160224028,0.064311847,0.115860364,0.153405959
0.925480553,0.944200958,0.62226711,0.7343636,0.611915971,0.603673078,0.550402091,0.616565244
0.192146428,0.110473514,0.122702501,0.076500708,0.454835827,0.531644347,0.858587845,0.70512434
0.426529974,0.496425467,0.360349355,0.121834899,0.494448595,0.407764423,0.229853032,0.742821338
0.029469505,0.094649664,0.182922669,0.143564827,0.558943891,0.515358624,0.780359917,0.539135649
0.066713103,0.288482337,0.30073594,0.675176716,0.194843106,0.214617286,0.067996199,0.226640821
0.661543011,0.514366301,0.444737609,0.126991728,0.06865451,0.193917731,0.395848068,0.632588927
