UA L 1,UA  L 2,UB L 3,UB 4,UB L -1,UA L -2,UA L -3,UB L -4
0.648122838,0.605945184,0.553550291,0.597522297,0.561095966,0.649945455,0.689740799,0.521917846
0.346968281,0.445266345,0.157053353,0.327768409,0.208277211,0.409817132,0.40332389,0.07741854
0.392896791,0.573671728,0.677080782,0.48980392,0.575281903,0.481167917,0.754615606,0.366030912
0.598347595,0.408980519,0.386952524,0.403808353,0.38569239,0.407266349,0.365215048,0.340363073
0.636677875,0.62896238,0.88934907,0.770622071,0.711131248,0.809395592,0.895521712,0.798962132
0.108803908,0.284867451,0.424284553,0.374005949,0.635194331,0.20448288,0.06166097,0.464155947
0.608382271,0.870471163,0.698097521,0.718922757,0.617739162,0.709630583,0.732072953,0.63949166
0.386550667,0.371656293,0.354455415,0.475706166,0.484349156,0.431397467,0.304496904,0.457369986
0.031441181,0.329737544,0.055024099,0.048715232,0.04925181,0.036766863,0.312502145,0.090593295
0.083524968,0.073235048,0.47201715,0.47348342,0.445458934,0.048264526,0.086111655,0.440390447
0.042636334,0.073406965,0.075478691,0.051544079,0.108979525,0.17437517,0.157615024,0.044657541
0.48802258,0.47563597,0.538299514,0.420863571,0.435207496,0.500053308,0.432147997,0.395985686
0.05213676,0.042243431,0.046099105,0.036517822,0.039297703,0.038703882,0.036941568,0.044116662
0.386901385,0.37459646,0.075813615,0.077433088,0.096690938,0.367227984,0.410166194,0.102661125
0.782459427,0.873306184,0.661066621,0.636651715,0.717372481,0.561443915,0.841360902,0.657064547
0.089649728,0.497952266,0.414594001,0.473744086,0.434126416,0.216507355,0.45649762,0.198426893
0.363541361,0.706064546,0.133558081,0.467360234,0.441218917,0.366965789,0.676454122,0.399408661
0.328031901,0.341200742,0.358449868,0.259465086,0.481732492,0.441279032,0.405966746,0.242565838
0.624912606,0.602846376,0.69263797,0.412396565,0.432019071,0.904791154,0.458204862,0.530484752
0.903239207,0.940283181,0.494265275,0.060330714,0.193775633,0.895293112,0.928094852,0.054692863
0.618200228,0.64082044,0.434537925,0.470844303,0.451155855,0.450614952,0.446212498,0.561044753
0.651589215,0.593341687,0.388000762,0.411468421,0.453439563,0.635807692,0.650792816,0.383229833
0.549886859,0.858589264,0.823425778,0.813031697,0.748451193,0.834528732,0.850064924,0.737103216
0.812775172,0.877791973,0.62157094,0.574892031,0.611598611,0.805776591,0.545386911,0.603605749
0.280891057,0.631412843,0.560760852,0.651639636,0.672406736,0.459779719,0.581044983,0.301633143
0.428649127,0.46832875,0.428172713,0.227144642,0.459812832,0.451332913,0.221772707,0.246480798
0.620963364,0.732452064,0.408984437,0.452839624,0.521557591,0.645721568,0.556796306,0.438191867
0.129110915,0.377901842,0.090131746,0.098094312,0.12597891,0.195015174,0.191087348,0.080720334
0.038408771,0.027807178,0.025348669,0.046651008,0.111027835,0.044230583,0.101627153,0.036594569
0.149910986,0.495608661,0.507001174,0.67723655,0.779737573,0.499977687,0.288233298,0.789720355
0.341589973,0.504219643,0.194850828,0.323623524,0.217822468,0.350691537,0.321029948,0.178282935
0.694836614,0.925617137,0.633782606,0.483456292,0.602103617,0.639497997,0.862577476,0.448795068
0.123140516,0.222692556,0.200736087,0.216503577,0.112638303,0.067368215,0.144086804,0.174726304
