XA L 5,XA L 6,XB L 7,XB L 8,XA L -5,XA L -6,XB L -7,XB L -8
0.808945472,0.158190649,0.521630924,0.489375883,0.689721964,0.558784387,0.033746327,0.452125793
0.043746486,0.06412556,0.04485438,0.08658462,0.313125276,0.531555984,0.389084364,0.036025834
0.579455349,0.44733171,0.621536271,0.830181524,0.257239182,0.46579068,0.492651924,0.770744211
0.053327328,0.062161076,0.08129521,0.048604501,0.067493337,0.10561022,0.279271298,0.045739957
0.134301873,0.531817072,0.491523264,0.140152598,0.10402745,0.149456133,0.240943503,0.136504767
0.046828612,0.075475339,0.073379894,0.48780889,0.049447492,0.07325271,0.033344713,0.24176292
0.157124381,0.135509438,0.560730247,0.120253413,0.038140272,0.06558723,0.41272538,0.041048393
0.041657233,0.064683996,0.026015225,0.087662483,0.120898766,0.028463518,0.053530159,0.056446899
0.585642114,0.593766532,0.576261472,0.571161755,0.614012927,0.571157682,0.511819362,0.532266888
0.092155957,0.107359561,0.07250857,0.070373314,0.2322628,0.065502204,0.446217466,0.025744021
0.29910602,0.1333077,0.460547219,0.799829227,0.188382649,0.52398014,0.515129427,0.091879761
0.594057089,0.83811171,0.830253869,0.80565795,0.594826255,0.577504115,0.846268026,0.425465837
0.040032436,0.08265958,0.591178258,0.594253675,0.072147066,0.043108774,0.937949184,0.54526693
0.497499107,0.398136527,0.490647328,0.090916182,0.438799939,0.077441533,0.100879506,0.096004559
0.471220751,0.586347006,0.501283788,0.756332407,0.439449454,0.770136378,0.066016339,0.814082679
0.054288736,0.396983325,0.056857238,0.42613458,0.079070416,0.102651699,0.057480593,0.354558352
0.633214445,0.563670682,0.630451286,0.304817636,0.566026573,0.466690832,0.538868451,0.703908752
0.087404459,0.823793818,0.445874259,0.116900978,0.467844659,0.415094812,0.05913832,0.06404992
0.127520969,0.35706713,0.507836657,0.426853801,0.043102516,0.156599504,0.036242746,0.100770788
0.088274031,0.677895288,0.522438281,0.140723998,0.364477399,0.38472889,0.423153066,0.063951885
0.451923645,0.224950584,0.130760657,0.134069432,0.055274664,0.103858974,0.145586657,0.035488372
0.52585956,0.49801908,0.520810132,0.453969482,0.495108474,0.465015039,0.515467052,0.541632313
0.439342754,0.832078159,0.098214554,0.431843204,0.747166684,0.811996474,0.179881001,0.335273105
0.490912543,0.0828870439999999,0.899775437,0.365052763,0.050229296,0.037231211,0.449030614,0.084968026
0.059989702,0.319704258,0.270354136,0.053116922,0.185757856,0.245886869,0.067161032,0.89329361
0.075584954,0.144536732,0.115736894,0.178327944,0.067984333,0.210366557,0.051058765,0.069323039
0.073017145,0.099810188,0.426232667,0.271846835,0.04539373,0.029535679,0.103384799,0.48862359
0.512998462,0.523840173,0.092493416,0.076292298,0.448024797,0.588293337,0.04494008,0.07864144
0.482957364,0.493702919,0.519953304,0.534594821,0.575615618,0.204160265,0.691769914,0.904288162
0.497766184,0.676496635,0.905972903,0.106439531,0.059383845,0.939548072,0.594199987,0.546186206
0.191068865,0.124471579,0.077910277,0.106221939,0.050719624,0.081389757,0.436038222,0.08050883
0.086542706,0.333348852,0.4961895,0.469421296,0.032662843,0.45749247,0.03361626,0.803048805
0.326258408,0.410405209,0.096170355,0.489691069,0.297813763,0.208472909,0.052700681,0.261646355
0.147300237,0.370991719,0.937596322,0.695230605,0.065649415,0.654517232,0.502767159,0.856802559
0.380206079,0.294998306,0.386899255,0.120137614,0.200062011,0.278397448,0.463322142,0.522575277
0.589270854,0.124452976,0.115425362,0.222120051,0.891477622,0.388569201,0.07064724,0.306177765
0.860709975,0.725110885,0.52364759,0.546346843,0.779282028,0.86213448,0.413022856,0.492347131
0.836048029,0.11758232,0.483353224,0.823676783,0.505364564,0.519146165,0.103402998,0.412780322
0.090880373,0.113590754,0.520157656,0.553871788,0.03592302,0.050272846,0.035854128,0.783653295
0.110238754,0.163641581,0.079080751,0.127145939,0.046949531,0.069952952,0.898037196,0.684988175
0.230887481,0.100419487,0.059051312,0.150235997,0.058063574,0.096767208,0.1003165,0.15159902
0.04721515,0.857079633,0.059718979,0.075676839,0.476467602,0.51312076,0.038009219,0.908115282
0.092638805,0.09308211,0.128682099,0.399316974,0.058835054,0.090485312,0.278835386,0.05908949
0.495188676,0.389953731,0.503551339,0.568620691,0.462013289,0.536526466,0.766866541,0.811162397
0.204039403,0.613476423,0.577719716,0.126566192,0.602075055,0.381747176,0.634447516,0.410799312
0.070409568,0.093514646,0.563563725,0.564977719,0.092317503,0.075441285,0.577302724,0.484891466
0.156525906,0.110297653,0.052699468,0.082224182,0.128862852,0.115153336,0.053268434,0.337025747
0.538982783,0.484526938,0.506009447,0.145526491,0.638226256,0.327515595,0.516773309,0.044423233
0.548541655,0.674227841,0.561720147,0.545992706,0.062470252,0.052207239,0.029708365,0.060820426
0.039841435,0.426526362,0.068081365,0.090958314,0.515769354,0.351734148,0.057015373,0.120767871
0.544200584,0.078394669,0.921112912,0.925216788,0.555120125,0.08653825,0.04899459,0.873060831
0.143892541,0.090777114,0.308928313,0.215524064,0.218819888,0.128136438,0.083093104,0.085172949
0.529615587,0.552831976,0.111434001,0.141993157,0.056815223,0.893380805,0.183733806,0.633006655
0.08756615,0.11794143,0.426858703,0.098006663,0.089878422,0.069524485,0.024953621,0.167331016
0.415091447,0.919888998,0.06391378,0.639005335,0.483948658,0.491631794,0.424954965,0.0542426
0.045218646,0.053744653,0.035445797,0.455902193,0.228660262,0.078934953,0.899670995,0.182530204
0.078838811,0.107214283,0.080332428,0.115496,0.09053918,0.518606744,0.350075046,0.102101377
0.340432893,0.288350653,0.050073885,0.050025901,0.844559389,0.484552688,0.391539211,0.125123617
0.372955554,0.226477084,0.096683671,0.433617199,0.873086243,0.867170683,0.386623537,0.071821541
0.487092696,0.367163114,0.481862253,0.415520429,0.386525869,0.141356571,0.122171542,0.108447853
0.526584042,0.75392491,0.61987652,0.499739147,0.748348937,0.726810346,0.92666081,0.869466909
0.534095395,0.371865761,0.547055351,0.671854289,0.898781506,0.440977787,0.745236807,0.55418365
0.482887059,0.111863593,0.817545721,0.711736123,0.424116641,0.415926533,0.323102714,0.234395363
0.839445511,0.135939448,0.321763441,0.161598717,0.498844102,0.412932254,0.015799293,0.081735834
0.088955101,0.093600422,0.090031178,0.057964007,0.062719579,0.575547086,0.619259503,0.057029494
0.375589769,0.137683775,0.060949752,0.034401072,0.086288866,0.098380174,0.073475541,0.265188903
0.036721334,0.050480887,0.546021593,0.15114381,0.05555923,0.030702592,0.025182538,0.08314191
0.626249721,0.598048457,0.572666192,0.17811045,0.798801538,0.469291991,0.53326917,0.360360011
0.220529851,0.84685661,0.306500258,0.406237673,0.482024086,0.519029167,0.049921794,0.548421321
0.926038589,0.632348225,0.534629508,0.515142951,0.744297908,0.583215256,0.669959406,0.724144586
0.487904572,0.513189426,0.846575178,0.887910581,0.90840722,0.491467253,0.844634635,0.736750225
0.20469123,0.07133989,0.048618802,0.447736592,0.553947724,0.496890139,0.82499105,0.067578408
0.146578553,0.075729739,0.066151611,0.453961689,0.113419524,0.349569112,0.056633845,0.081716264
0.055999486,0.076310666,0.05855179,0.206168166,0.042164244,0.181004018,0.515403885,0.349601384
0.094812795,0.356160294,0.067446923,0.3920808,0.076908604,0.034379833,0.041057332,0.034444338
0.43203736,0.53202553,0.482600803,0.182617057,0.415034716,0.540857094,0.840369799,0.46047151
0.036078838,0.354930278,0.043851644,0.3520791,0.333768792,0.15837886,0.037263638,0.230444002
0.50335594,0.48189226,0.484741181,0.121398652,0.708962216,0.072158325,0.056146446,0.169994548
0.154327449,0.078052374,0.047326816,0.068111171,0.6242424,0.052579959,0.026026063,0.366146939
0.071792899,0.59271586,0.222874725,0.481727835,0.133508373,0.085180025,0.630911724,0.366438797
0.127485739,0.473894454,0.469506246,0.08347725,0.075956432,0.436645235,0.195544396,0.043390247
0.784684274,0.473452666,0.465073858,0.550174953,0.519322068,0.067263344,0.437159919,0.41855397
0.470086473,0.320506686,0.437280761,0.712031048,0.2188773,0.142976639,0.164129486,0.875618565
0.080329853,0.075612302,0.063545497,0.436036006,0.051601994,0.754800035,0.265233143,0.42658369
0.478629682,0.088139184,0.06999957,0.41975959,0.039571116,0.080223284,0.12946731,0.403686817
0.307771031,0.318542681,0.334296259,0.568546304,0.46150541,0.300720862,0.670477095,0.122493537
0.265797656,0.852016474,0.084612946,0.125306328,0.164968175,0.38716775,0.924109586,0.508777946
0.917730787,0.738111217,0.831712717,0.902254777,0.919585168,0.523311503,0.92040746,0.804713243
0.130307712,0.07492148,0.046444905,0.068446536,0.049219117,0.048432759,0.028070573,0.126884542
0.090218206,0.382030903,0.605776322,0.47255382,0.11375347,0.490068733,0.49560839,0.655307899
0.260447237,0.509124741,0.344085624,0.086596865,0.316201723,0.227471467,0.64720912,0.13795439
0.467551706,0.127948669,0.504575505,0.704905241,0.035321643,0.126226261,0.511328552,0.464385169
0.906750452,0.365820589,0.397104453,0.064310004,0.465645774,0.0596352,0.022654122,0.032217839
0.526945125,0.511570017,0.801206205,0.936652523,0.641185429,0.51607461,0.023796443,0.92655407
0.429789664,0.456304809,0.114783773,0.429956069,0.742992604,0.08478922,0.077490291,0.111780475
0.092116649,0.131145404,0.079092801,0.093202259,0.06591132,0.056394754,0.065754425,0.074165946
0.502711132,0.500189774,0.917647939,0.617970503,0.440406237,0.945810489,0.30907025,0.518725385
0.145993591,0.462529801,0.081850249,0.507494562,0.478766929,0.423584393,0.782223318,0.545988184
0.180805778,0.116999259,0.521565707,0.550611744,0.055904205,0.35463324,0.030250012,0.033942485
0.273682374,0.497174366,0.874528219,0.335570938,0.464250057,0.874977302,0.430457272,0.334718406
0.486306229,0.279599309,0.040891744,0.11883152,0.313651782,0.582739382,0.50735641,0.046168165
0.158138119,0.541328942,0.532371117,0.104728052,0.331116197,0.037623682,0.064000732,0.589285415
0.849961497,0.608359677,0.569513018,0.967273908,0.929437123,0.427072766,0.476288785,0.788089805
0.135824408,0.413151045,0.430721706,0.249206736,0.067230618,0.372184451,0.063810969,0.290029317
0.431715284,0.094321409,0.043438541,0.052938772,0.303855793,0.048389717,0.125472646,0.065483906
0.884337294,0.894842607,0.046280645,0.088977954,0.504461613,0.071793892,0.583889879,0.878274451
0.492721096,0.114904485,0.487640638,0.555439657,0.742209561,0.513147372,0.411819231,0.620096275
0.298046561,0.522499284,0.26839505,0.116295958,0.63668618,0.311301138,0.207986352,0.280672583
0.350542913,0.320797336,0.475368753,0.448813114,0.19117336,0.136439137,0.196271417,0.10196569
0.028066742,0.218575854,0.020099314,0.031323432,0.037005,0.029692241,0.017611117,0.035977172
0.379648922,0.218709232,0.516655927,0.362983622,0.166168943,0.090977709,0.098972327,0.618676401
0.434756426,0.053176948,0.166331928,0.027886343,0.398182287,0.037348751,0.632473843,0.024347598
0.496588521,0.488736412,0.50390492,0.418776142,0.479750458,0.417988378,0.4643221,0.635111722
0.082834419,0.098360208,0.078309026,0.074664908,0.038344856,0.055587332,0.034642872,0.018535383
0.271398049,0.120908737,0.727526365,0.104002062,0.05193548,0.064458514,0.49941632,0.47410606
0.813900164,0.880638312,0.697012236,0.560651305,0.933669711,0.930850376,0.351254486,0.552727058
0.214037945,0.325135324,0.056200454,0.052706193,0.029034774,0.150605213,0.04049943,0.264208662
0.344653997,0.436414718,0.139235468,0.063516166,0.362371912,0.056182023,0.087537989,0.599889883
0.059118655,0.070441827,0.0840039,0.156045561,0.119809122,0.261277356,0.032676263,0.036741894
0.462225928,0.445493048,0.866035704,0.85486958,0.392832298,0.409047981,0.024242123,0.916180389
0.480896932,0.48975599,0.472494612,0.459630594,0.654510338,0.839418201,0.580989837,0.167779197
0.416934258,0.513255969,0.406524258,0.282919574,0.496891788,0.455547857,0.035253699,0.085404214
0.483226511,0.50777205,0.505616824,0.445228845,0.273032054,0.080093946,0.145213957,0.448371728
0.109471279,0.087911438,0.906926174,0.90504377,0.8933523,0.60195514,0.910144085,0.284838256
0.058342477,0.048589791,0.055191702,0.113043871,0.06661823,0.070001841,0.027347752,0.037973844
0.54001304,0.500288722,0.513744649,0.438556556,0.325743018,0.489932291,0.608977641,0.770536823
0.262864835,0.2724561,0.048559905,0.672678319,0.287057175,0.324706752,0.685598677,0.416315369
0.547490383,0.578868378,0.562941097,0.436869128,0.505099926,0.427781176,0.710113849,0.059331374
0.302883372,0.810943757,0.45145729,0.240295714,0.429346394,0.309131769,0.10508196,0.238940575
0.036309449,0.282959569,0.490715269,0.052198132,0.31902258,0.031702538,0.03064531,0.042254249
0.756058709,0.623848713,0.482863155,0.53596228,0.428318735,0.202842325,0.939432376,0.743997911
0.086452177,0.349795248,0.042227659,0.017471394,0.023347284,0.287340981,0.027636338,0.056226617
0.521116051,0.530188986,0.524287125,0.156550049,0.510478656,0.050838423,0.520403717,0.035740158
0.744914397,0.441003198,0.828975304,0.535191985,0.493475168,0.33806477,0.707722899,0.756976212
0.546124796,0.131940419,0.524141873,0.654601349,0.506868224,0.094138995,0.100792575,0.375132883
0.051918874,0.056016802,0.06515878,0.043003527,0.051356509,0.047043232,0.046452792,0.024485644
0.509134986,0.541079509,0.52258276,0.507484539,0.509148838,0.920277348,0.927880157,0.564908476
0.079503291,0.126765482,0.071314006,0.09869714,0.053675973,0.065179744,0.041887451,0.301601042
0.057641806,0.341746144,0.52380024,0.592260894,0.042020349,0.549642029,0.0158856,0.026199766
0.14844272,0.144777044,0.123301433,0.209709194,0.115970286,0.32424083,0.034492973,0.046957463
0.454872179,0.730806516,0.107600314,0.384651315,0.26904555,0.171531438,0.094973925,0.431953102
0.550603413,0.649331019,0.07337534,0.048297112,0.034734307,0.455332179,0.681788529,0.028704782
0.167158489,0.341724888,0.300212711,0.064231488,0.373036199,0.28723795,0.036527699,0.055271326
0.36623064,0.13571088,0.124011486,0.055542417,0.35784333,0.133362292,0.104739978,0.08006329
0.129228134,0.561146896,0.515107273,0.593052046,0.424617264,0.739882397,0.424392698,0.667765859
0.294384557,0.704199633,0.107436173,0.11459962,0.323015556,0.077176797,0.880987573,0.806501126
0.1190338,0.465118524,0.04232869,0.639870984,0.058005431,0.353098503,0.504341498,0.553658238
0.03001253,0.337278852,0.503124075,0.638291817,0.045709826,0.033332634,0.024887995,0.237643472
