Generation	Clone	Deme	Genotype	DriverGenotype	Parent	DriverParent	X	Y	NormalCells	Population	BirthRate	MigrationRate	DeathRate	MigrationModifier	DriverMutations	MigrationMutations	PassengerMutations
0.000000	0	0	0	0	0	0	0	0	1023	1	1.000000	0.000000	0.000000	0.000000	0	0	0
10.127996	0	0	0	0	0	0	0	0	503	238	1.000000	0.000000	100.000000	0.000000	0	0	0
10.127996	1	0	1	0	0	0	0	0	503	18	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	2	0	2	0	0	0	0	0	503	94	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	3	0	3	0	0	0	0	0	503	11	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	4	0	4	0	0	0	0	0	503	21	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	5	0	5	0	2	0	0	0	503	4	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	6	0	6	0	0	0	0	0	503	16	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	7	0	7	0	0	0	0	0	503	2	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	8	0	8	0	0	0	0	0	503	6	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	9	0	9	0	2	0	0	0	503	7	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	10	0	10	0	0	0	0	0	503	8	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	11	0	13	0	12	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	12	0	12	0	0	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	13	0	14	0	0	0	0	0	503	8	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	14	0	15	0	0	0	0	0	503	5	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	15	0	16	0	6	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	16	0	17	0	4	0	0	0	503	2	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	17	0	57	0	2	0	0	0	503	2	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	18	0	19	0	0	0	0	0	503	2	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	19	0	20	0	0	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	20	0	21	0	0	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	21	0	22	0	2	0	0	0	503	3	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	22	0	23	0	4	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	23	0	28	0	1	0	0	0	503	8	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	24	0	25	0	0	0	0	0	503	3	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	25	0	26	0	2	0	0	0	503	8	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	26	0	33	0	0	0	0	0	503	2	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	27	0	29	0	6	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	28	0	30	0	4	0	0	0	503	2	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	29	0	60	0	0	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	30	0	32	0	1	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	31	0	34	0	0	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	32	0	35	0	0	0	0	0	503	2	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	33	0	36	0	22	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	3
10.127996	34	0	37	0	0	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	35	0	38	0	28	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	3
10.127996	36	0	39	0	0	0	0	0	503	5	1.000000	0.000000	100.000000	0.000000	0	0	1
10.127996	37	0	40	0	5	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	3
10.127996	38	0	41	0	9	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	3
10.127996	39	0	68	0	14	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	40	0	66	0	2	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	2
10.127996	41	0	44	0	32	0	0	0	503	2	1.000000	0.000000	100.000000	0.000000	0	0	3
10.127996	42	0	45	0	0	0	0	0	503	1	1.000000	0.000000	100.000000	0.000000	0	0	1
