Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
0	0	0	0	0	0	1	0	1.000000	0.000000	0.000000	1024
0	0	2	0	0	0	1	1	1.000000	0.000000	5.437446	1024
0	2	768	1	1	0	1	1	9.170753	0.000000	19.767834	1024
0	768	783	1	1	0	1	2	9.170753	0.000000	19.936192	1024
0	783	1193	3	2	0	1	2	11.297130	0.000000	20.990223	1024
0	1193	1564	3	2	0	1	3	11.297130	0.000000	21.483765	1024
0	1564	2635	3	2	0	1	4	11.297130	0.000000	22.951420	1024
0	6812	6912	3	2	0	1	7	11.297130	0.000000	27.888840	1024
0	2635	6812	3	2	0	1	6	11.297130	0.000000	27.762833	1024
0	6912	8894	3	2	0	1	8	11.297130	0.000000	30.084728	1024
0	8894	9852	3	2	0	1	9	11.297130	0.000000	31.104639	1024
0	9852	9889	3	2	0	1	10	11.297130	0.000000	31.144165	1024
0	9889	10473	3	2	0	1	11	11.297130	0.000000	31.756212	1024
0	10473	11218	3	2	0	1	12	11.297130	0.000000	32.579449	1024
0	13766	13997	3	2	0	1	14	11.297130	0.000000	35.544907	1024
0	11218	13766	3	2	0	1	13	11.297130	0.000000	35.281395	1024
0	13997	15585	3	2	0	1	15	11.297130	0.000000	37.271202	1024
0	15585	17496	3	2	0	1	16	11.297130	0.000000	39.374439	1024
0	17496	17797	3	2	0	1	17	11.297130	0.000000	39.677040	1024
0	18516	18913	3	2	0	1	19	11.297130	0.000000	40.896027	1024
0	17797	18516	3	2	0	1	18	11.297130	0.000000	40.480579	1024
0	18913	19710	3	2	0	1	20	11.297130	0.000000	41.760639	1024
0	19710	19877	3	2	0	1	21	11.297130	0.000000	41.928650	1024
0	19877	21988	3	2	0	1	22	11.297130	0.000000	44.234135	1024
0	21988	24493	3	2	0	1	23	11.297130	0.000000	46.966572	1024
0	24493	24787	3	2	0	1	24	11.297130	0.000000	47.306862	1024
0	24787	25949	3	2	0	1	25	11.297130	0.000000	48.629608	1024
0	25949	29142	3	2	0	1	26	11.297130	0.000000	52.127110	1024
0	29142	29665	3	2	0	1	27	11.297130	0.000000	52.664822	1024
0	29665	30511	3	2	0	1	28	11.297130	0.000000	53.571075	1024
0	30511	31640	3	2	0	1	29	11.297130	0.000000	54.823551	1024
0	31640	31836	3	2	0	1	30	11.297130	0.000000	55.032318	1024
0	31836	32605	3	2	0	1	31	11.297130	0.000000	55.889961	1024
0	32605	33084	3	2	0	1	32	11.297130	0.000000	56.430473	1024
0	33084	33624	3	2	0	1	33	11.297130	0.000000	56.983162	1024
0	33624	34988	3	2	0	1	35	11.297130	0.000000	58.470993	1024
0	34988	35076	3	2	0	1	36	11.297130	0.000000	58.570297	1024
0	35076	37848	3	2	0	1	37	11.297130	0.000000	61.577251	1024
0	37848	38466	3	2	0	1	38	11.297130	0.000000	62.285122	1024
0	38466	38770	3	2	0	1	40	11.297130	0.000000	62.606915	1024
0	38770	40105	3	2	0	1	41	11.297130	0.000000	64.055534	1024
0	41123	41125	3	2	0	1	43	11.297130	0.000000	65.132950	1024
0	40105	41123	3	2	0	1	42	11.297130	0.000000	65.132858	1024
0	41125	43070	3	2	0	1	44	11.297130	0.000000	67.286293	1024
0	43070	45993	3	2	0	1	45	11.297130	0.000000	70.373680	1024
0	45993	46211	3	2	0	1	46	11.297130	0.000000	70.588600	1024
0	46211	48540	3	2	0	1	47	11.297130	0.000000	73.176102	1024
0	48540	49502	3	2	0	1	48	11.297130	0.000000	74.235962	1024
0	49502	50748	3	2	0	1	49	11.297130	0.000000	75.541847	1024
0	51002	51207	3	2	0	1	51	11.297130	0.000000	76.100266	1024
0	50748	51002	3	2	0	1	50	11.297130	0.000000	75.832588	1024
0	52721	53081	3	2	0	1	53	11.297130	0.000000	78.121468	1024
0	51207	52721	3	2	0	1	52	11.297130	0.000000	77.735786	1024
0	53081	54306	3	2	0	1	54	11.297130	0.000000	79.392906	1024
0	54306	55285	3	2	0	1	55	11.297130	0.000000	80.430161	1024
0	55285	55732	3	2	0	1	56	11.297130	0.000000	80.940880	1024
0	55732	56734	3	2	0	1	57	11.297130	0.000000	82.091019	1024
0	56734	57913	3	2	0	1	58	11.297130	0.000000	83.357338	1024
0	57913	58152	3	2	0	1	59	11.297130	0.000000	83.601372	1024
0	58152	59160	3	2	0	1	60	11.297130	0.000000	84.702179	1024
0	59160	60708	3	2	0	1	61	11.297130	0.000000	86.349983	1024
0	60708	61883	3	2	0	1	62	11.297130	0.000000	87.623940	1024
0	61883	62390	3	2	0	1	63	11.297130	0.000000	88.170647	1024
0	62390	62461	3	2	0	1	64	11.297130	0.000000	88.226341	1024
0	62461	62905	3	2	0	1	65	11.297130	0.000000	88.687393	1024
0	62905	63438	3	2	0	1	66	11.297130	0.000000	89.274910	1024
0	63438	64870	3	2	0	1	67	11.297130	0.000000	90.887512	1024
0	64870	65571	3	2	0	1	68	11.297130	0.000000	91.633972	1024
0	65571	66140	3	2	0	1	69	11.297130	0.000000	92.263428	1024
0	66140	66204	3	2	0	1	70	11.297130	0.000000	92.342110	1024
0	68240	68265	3	2	0	1	73	11.297130	0.000000	94.594078	1024
0	66204	67844	3	2	0	1	71	11.297130	0.000000	94.107788	1024
0	67844	68240	3	2	0	1	72	11.297130	0.000000	94.572914	1024
0	68265	68746	3	2	0	1	74	11.297130	0.000000	95.152710	1024
0	68746	69287	3	2	0	1	75	11.297130	0.000000	95.742241	1024
0	69287	71793	3	2	0	1	76	11.297130	0.000000	98.505524	1024
0	71793	72798	3	2	0	1	77	11.297130	0.000000	99.618614	1024
0	72798	72812	3	2	0	1	78	11.297130	0.000000	99.631981	1024
0	72812	73570	3	2	0	1	79	11.297130	0.000000	100.446465	1024
0	73570	74113	3	2	0	1	80	11.297130	0.000000	101.021942	1024
0	75851	75932	3	2	0	1	83	11.297130	0.000000	103.022141	1024
0	74113	75682	3	2	0	1	81	11.297130	0.000000	102.747871	1024
0	75682	75851	3	2	0	1	82	11.297130	0.000000	102.918770	1024
0	76618	76716	3	2	0	1	85	11.297130	0.000000	103.903694	1024
0	75932	76618	3	2	0	1	84	11.297130	0.000000	103.801537	1024
0	76716	78046	3	2	0	1	86	11.297130	0.000000	105.277412	1024
0	78046	78390	3	2	0	1	87	11.297130	0.000000	105.611618	1024
0	78390	78807	3	2	0	1	88	11.297130	0.000000	106.067368	1024
0	79556	80453	3	2	0	1	90	11.297130	0.000000	107.870972	1024
0	78807	79556	3	2	0	1	89	11.297130	0.000000	106.896660	1024
0	80453	82924	3	2	0	1	91	11.297130	0.000000	110.552933	1024
0	82924	83378	3	2	0	1	92	11.297130	0.000000	111.039536	1024
0	83378	85942	3	2	0	1	93	11.297130	0.000000	113.808632	1024
0	85942	86058	3	2	0	1	94	11.297130	0.000000	113.945518	1024
0	86058	90195	3	2	0	1	95	11.297130	0.000000	118.443001	1024
0	90195	91613	3	2	0	1	96	11.297130	0.000000	119.904465	1024
0	91613	93223	3	2	0	1	97	11.297130	0.000000	121.615578	1024
0	93223	95190	3	2	0	1	98	11.297130	0.000000	123.811836	1024
0	95190	95687	3	2	0	1	99	11.297130	0.000000	124.330978	1024
0	95687	95766	3	2	0	1	100	11.297130	0.000000	124.417137	1024
0	95766	97367	3	2	0	1	101	11.297130	0.000000	126.121445	1024
0	97367	100603	3	2	0	1	102	11.297130	0.000000	129.753723	1024
0	102178	102541	3	2	0	1	104	11.297130	0.000000	131.828430	1024
0	100603	102178	3	2	0	1	103	11.297130	0.000000	131.454437	1024
0	102541	102564	3	2	0	1	105	11.297130	0.000000	131.861115	1024
0	102564	104880	3	2	0	1	106	11.297130	0.000000	134.397202	1024
0	107144	107547	3	2	0	1	108	11.297130	0.000000	137.356018	1024
0	104880	107144	3	2	0	1	107	11.297130	0.000000	136.931961	1024
0	107547	108393	3	2	0	1	109	11.297130	0.000000	138.250259	1024
0	108393	110397	3	2	0	1	110	11.297130	0.000000	140.405197	1024
0	110397	110720	3	2	0	1	111	11.297130	0.000000	140.738251	1024
0	110720	112825	3	2	0	1	112	11.297130	0.000000	143.070251	1024
0	112825	115651	3	2	0	1	113	11.297130	0.000000	146.086029	1024
0	115651	116665	3	2	0	1	114	11.297130	0.000000	147.151749	1024
0	120060	120814	3	2	0	1	117	11.297130	0.000000	151.747238	1024
0	116665	119263	3	2	0	1	115	11.297130	0.000000	149.992294	1024
0	119263	120060	3	2	0	1	116	11.297130	0.000000	150.896851	1024
0	120814	121047	3	2	0	1	118	11.297130	0.000000	152.023697	1024
0	121047	121499	3	2	0	1	119	11.297130	0.000000	152.549301	1024
0	121499	123693	3	2	0	1	120	11.297130	0.000000	154.935150	1024
0	124561	124657	3	2	0	1	122	11.297130	0.000000	156.008911	1024
0	124657	125523	3	2	0	1	123	11.297130	0.000000	156.987198	1024
0	123693	124561	3	2	0	1	121	11.297130	0.000000	155.884323	1024
0	125523	125561	3	2	0	1	124	11.297130	0.000000	157.030685	1024
0	125561	126748	3	2	0	1	125	11.297130	0.000000	158.330795	1024
0	126748	128573	3	2	0	1	126	11.297130	0.000000	160.395294	1024
0	128573	128977	3	2	0	1	127	11.297130	0.000000	160.809280	1024
0	128977	129309	3	2	0	1	128	11.297130	0.000000	161.203735	1024
0	129309	131248	3	2	0	1	129	11.297130	0.000000	163.326767	1024
0	131248	131642	3	2	0	1	130	11.297130	0.000000	163.745621	1024
0	131642	132068	3	2	0	1	131	11.297130	0.000000	164.198624	1024
0	132068	133754	3	2	0	1	132	11.297130	0.000000	166.018295	1024
0	133754	136331	3	2	0	1	133	11.297130	0.000000	168.803665	1024
0	136331	137443	3	2	0	1	134	11.297130	0.000000	169.996841	1024
0	137443	138396	3	2	0	1	135	11.297130	0.000000	171.020996	1024
0	138396	139724	3	2	0	1	136	11.297130	0.000000	172.457321	1024
0	141571	141665	3	2	0	1	138	11.297130	0.000000	174.592209	1024
0	139724	141571	3	2	0	1	137	11.297130	0.000000	174.477158	1024
0	141665	142277	3	2	0	1	139	11.297130	0.000000	175.290939	1024
0	142277	145965	3	2	0	1	140	11.297130	0.000000	179.313263	1024
0	145965	146102	3	2	0	1	141	11.297130	0.000000	179.478592	1024
0	146102	147832	3	2	0	1	142	11.297130	0.000000	181.377869	1024
0	147832	148201	3	2	0	1	143	11.297130	0.000000	181.785660	1024
0	148201	148356	3	2	0	1	144	11.297130	0.000000	181.948410	1024
0	148356	149765	3	2	0	1	145	11.297130	0.000000	183.479828	1024
0	149765	150004	3	2	0	1	146	11.297130	0.000000	183.727325	1024
0	150004	151707	3	2	0	1	147	11.297130	0.000000	185.625061	1024
0	153933	154320	3	2	0	1	149	11.297130	0.000000	188.411575	1024
0	151707	153933	3	2	0	1	148	11.297130	0.000000	188.023392	1024
0	154320	154343	3	2	0	1	150	11.297130	0.000000	188.441376	1024
0	154343	155964	3	2	0	1	151	11.297130	0.000000	190.175400	1024
0	156379	156733	3	2	0	1	153	11.297130	0.000000	191.037292	1024
0	155964	156379	3	2	0	1	152	11.297130	0.000000	190.625519	1024
0	158537	158919	3	2	0	1	155	11.297130	0.000000	193.423172	1024
0	156733	158537	3	2	0	1	154	11.297130	0.000000	193.017365	1024
0	158919	159814	3	2	0	1	156	11.297130	0.000000	194.383926	1024
0	159814	161140	3	2	0	1	157	11.297130	0.000000	195.833710	1024
0	163335	164048	3	2	0	1	159	11.297130	0.000000	198.853958	1024
0	161140	163335	3	2	0	1	158	11.297130	0.000000	198.127365	1024
0	164048	164461	3	2	0	1	160	11.297130	0.000000	199.310059	1024
0	164461	165401	3	2	0	1	161	11.297130	0.000000	200.312134	1024
0	165401	168818	3	2	0	1	162	11.297130	0.000000	203.980881	1024
0	168818	170407	3	2	0	1	163	11.297130	0.000000	205.745087	1024
0	170407	172904	3	2	0	1	164	11.297130	0.000000	208.507416	1024
0	172904	173056	3	2	0	1	165	11.297130	0.000000	208.675598	1024
0	173056	174624	3	2	0	1	166	11.297130	0.000000	210.392181	1024
0	174624	178616	3	2	0	1	167	11.297130	0.000000	214.806030	1024
0	179270	179718	3	2	0	1	169	11.297130	0.000000	216.034851	1024
0	178616	179270	3	2	0	1	168	11.297130	0.000000	215.548386	1024
0	179718	180843	3	2	0	1	170	11.297130	0.000000	217.246613	1024
0	180843	183070	3	2	0	1	171	11.297130	0.000000	219.630890	1024
0	183070	183765	3	2	0	1	172	11.297130	0.000000	220.397171	1024
0	183765	184050	3	2	0	1	173	11.297130	0.000000	220.705261	1024
0	184050	185527	3	2	0	1	174	11.297130	0.000000	222.302551	1024
0	185527	188051	3	2	0	1	175	11.297130	0.000000	225.151123	1024
0	188051	190738	3	2	0	1	176	11.297130	0.000000	228.050125	1024
0	190738	190782	3	2	0	1	177	11.297130	0.000000	228.090256	1024
0	193490	193582	3	2	0	1	179	11.297130	0.000000	231.275543	1024
0	190782	193490	3	2	0	1	178	11.297130	0.000000	231.178589	1024
0	193582	195683	3	2	0	1	180	11.297130	0.000000	233.567642	1024
0	197427	198054	3	2	0	1	182	11.297130	0.000000	236.157547	1024
0	195683	197427	3	2	0	1	181	11.297130	0.000000	235.501114	1024
0	198054	198190	3	2	0	1	183	11.297130	0.000000	236.308960	1024
0	198190	200136	3	2	0	1	184	11.297130	0.000000	238.355499	1024
0	200136	200969	3	2	0	1	185	11.297130	0.000000	239.274536	1024
0	200969	201580	3	2	0	1	186	11.297130	0.000000	239.936142	1024
0	201580	203903	3	2	0	1	187	11.297130	0.000000	242.452194	1024
0	203903	207963	3	2	0	1	188	11.297130	0.000000	246.901810	1024
0	210558	210705	3	2	0	1	190	11.297130	0.000000	249.961472	1024
0	207963	210558	3	2	0	1	189	11.297130	0.000000	249.813477	1024
0	210705	211070	3	2	0	1	191	11.297130	0.000000	250.360321	1024
0	212733	212791	3	2	0	1	195	11.297130	0.000000	252.290955	1024
0	211070	212056	3	2	0	1	192	11.297130	0.000000	251.475998	1024
0	212056	212146	3	2	0	1	193	11.297130	0.000000	251.591934	1024
0	212146	212733	3	2	0	1	194	11.297130	0.000000	252.226608	1024
0	213255	213553	3	2	0	1	197	11.297130	0.000000	253.091171	1024
0	212791	213255	3	2	0	1	196	11.297130	0.000000	252.776779	1024
0	213553	215185	3	2	0	1	198	11.297130	0.000000	254.883286	1024
0	217300	217341	3	2	0	1	201	11.297130	0.000000	257.252289	1024
0	215185	217164	3	2	0	1	199	11.297130	0.000000	257.054932	1024
0	217164	217300	3	2	0	1	200	11.297130	0.000000	257.203186	1024
0	217341	218428	3	2	0	1	202	11.297130	0.000000	258.444122	1024
0	218428	218915	3	2	0	1	203	11.297130	0.000000	258.980255	1024
0	218915	219979	3	2	0	1	204	11.297130	0.000000	260.215118	1024
0	219979	220189	3	2	0	1	205	11.297130	0.000000	260.421143	1024
0	220189	221065	3	2	0	1	206	11.297130	0.000000	261.359650	1024
0	221065	221394	3	2	0	1	207	11.297130	0.000000	261.706024	1024
0	221394	223416	3	2	0	1	208	11.297130	0.000000	263.985535	1024
0	223416	223517	3	2	0	1	209	11.297130	0.000000	264.094940	1024
0	223517	223936	3	2	0	1	210	11.297130	0.000000	264.523285	1024
0	223936	225949	3	2	0	1	211	11.297130	0.000000	266.739105	1024
0	225949	229334	3	2	0	1	212	11.297130	0.000000	270.462341	1024
