Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
0.000000	1	0	0	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1.770873	6	5	0	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	6	0	0	0	0	0	0	0	0	0	0
2.830266	19	18	0	0	0.315789	0.000000	0.321330	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3	3	1	1	1	3	1	3	19	0	0	0	0	0	0	0	0	0	0
3.865218	44	44	1	0	0.272727	0.000000	0.243802	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4	4	1	1	1	4	1	4	44	0	0	0	0	0	0	0	0	0	0
4.866865	105	107	3	0	0.428571	0.000000	0.340136	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	14	14	1	1	1	14	1	14	105	0	0	0	0	0	0	0	0	0	0
5.867089	269	303	35	0	0.516729	0.000000	0.450464	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	27	27	1	1	1	27	1	28	269	0	0	0	0	0	0	0	0	0	0
6.867263	684	1128	445	0	0.372807	0.523392	0.377097	0.252377	1.143806e+01	0.000000e+00	9.989205e+01	0.000000e+00	65	65	3	1	1	66	3	90	327	356	1	0	0	0	0	0	0	0	0
7.867265	1024	21296	20273	0	2.020508	1.000000	2.047429	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	224	224	1	1	1	480	4	1702	0	1024	0	0	0	0	0	0	0	0	0
8.867295	1025	42590	41566	0	3.346341	1.000000	3.073219	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	202	202	1	1	1	808	4	3321	0	1025	0	0	0	0	0	0	0	0	0
9.867297	1026	64224	63199	0	5.161793	1.000975	7.145360	0.000974	2.092555e+01	0.000000e+00	9.444714e+00	0.000000e+00	211	211	2	1	1	1195	4	5018	0	1025	1	0	0	0	0	0	0	0	0
10.867301	1025	85949	84925	0	6.891707	1.000000	9.835092	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	221	221	1	1	1	1552	4	6726	0	1025	0	0	0	0	0	0	0	0	0
11.867331	1025	107475	106451	0	7.991220	1.000000	10.558939	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	214	214	1	1	1	1929	4	8453	0	1025	0	0	0	0	0	0	0	0	0
12.867332	1025	129204	128180	0	9.665366	1.000000	7.590462	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	225	225	1	1	1	2320	4	10162	0	1025	0	0	0	0	0	0	0	0	0
13.867334	1025	150858	149834	0	11.315122	1.000000	6.865573	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	215	215	1	1	1	2703	4	11895	0	1025	0	0	0	0	0	0	0	0	0
14.867339	1025	172243	171219	0	12.362926	1.000000	10.754146	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	215	215	1	1	1	3079	4	13609	0	1025	0	0	0	0	0	0	0	0	0
15.867360	1025	193688	192664	0	14.063415	1.000000	12.890605	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	228	228	1	1	1	3472	4	15300	0	1025	0	0	0	0	0	0	0	0	0
16.867369	1026	215392	214367	0	16.346004	1.000000	15.121022	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	196	196	1	1	1	3801	4	16942	0	1026	0	0	0	0	0	0	0	0	0
17.867411	1025	236831	235807	0	18.060488	1.000000	18.413910	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	199	199	1	1	1	4172	4	18680	0	1025	0	0	0	0	0	0	0	0	0
18.867422	1024	258382	257359	0	18.631836	1.000000	20.593941	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	216	216	1	1	1	4546	4	20410	0	1024	0	0	0	0	0	0	0	0	0
19.867434	1025	279928	278904	0	20.489756	1.000000	28.288916	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	233	233	1	1	1	4949	4	22159	0	1025	0	0	0	0	0	0	0	0	0
20.867601	1025	301258	300234	0	20.414635	1.000000	21.150026	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	235	235	1	1	1	5309	4	23823	0	1025	0	0	0	0	0	0	0	0	0
21.867622	1025	322723	321699	0	20.854633	1.000000	21.269598	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	217	217	1	1	1	5638	4	25493	0	1025	0	0	0	0	0	0	0	0	0
22.867626	1025	344246	343222	0	22.122927	1.000976	19.354639	0.000975	2.097392e+01	0.000000e+00	2.322594e+00	0.000000e+00	225	225	2	1	1	6023	4	27177	0	1024	1	0	0	0	0	0	0	0	0
23.867632	1025	365620	364596	0	23.467318	1.000000	13.950401	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	218	218	1	1	1	6366	4	28837	0	1025	0	0	0	0	0	0	0	0	0
24.867640	1025	387101	386077	0	25.320976	1.000000	16.036486	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	215	215	1	1	1	6751	4	30553	0	1025	0	0	0	0	0	0	0	0	0
25.867670	1025	408654	407630	0	27.857561	1.000000	25.632393	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	223	223	1	1	1	7118	4	32209	0	1025	0	0	0	0	0	0	0	0	0
26.867691	1026	429909	428884	0	28.434698	1.000000	24.877319	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	217	217	1	1	1	7504	4	33921	0	1026	0	0	0	0	0	0	0	0	0
27.867691	1024	451483	450460	0	28.482422	1.000000	32.216450	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	227	227	1	1	1	7867	4	35616	0	1024	0	0	0	0	0	0	0	0	0
28.867727	1025	473138	472114	0	30.885853	1.000000	25.757687	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	226	226	1	1	1	8258	4	37317	0	1025	0	0	0	0	0	0	0	0	0
29.867786	1025	494662	493638	0	32.824390	1.000000	21.976965	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	214	214	1	1	1	8613	4	38932	0	1025	0	0	0	0	0	0	0	0	0
30.867849	1025	516241	515217	0	33.390244	1.000000	20.579420	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	206	206	1	1	1	8954	4	40580	0	1025	0	0	0	0	0	0	0	0	0
31.867899	1025	537645	536621	0	33.974632	1.000000	30.896894	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	217	217	1	1	1	9323	4	42276	0	1025	0	0	0	0	0	0	0	0	0
32.867901	1025	559040	558016	0	36.336586	1.000000	38.826229	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	224	224	1	1	1	9716	4	44024	0	1025	0	0	0	0	0	0	0	0	0
33.867905	1025	580731	579707	0	36.004879	1.000000	27.072161	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	197	197	1	1	1	10046	5	45648	0	1025	0	0	0	0	0	0	0	0	0
34.867939	1025	602032	601008	0	38.367805	1.000000	24.849113	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	229	229	1	1	1	10428	5	47381	0	1025	0	0	0	0	0	0	0	0	0
35.867943	1024	623574	622551	0	40.131836	1.000977	30.626205	0.000976	2.063488e+01	0.000000e+00	1.529455e+02	0.000000e+00	230	230	2	1	1	10801	5	49118	0	1023	1	0	0	0	0	0	0	0	0
36.867973	1025	644929	643905	0	43.543415	1.000000	42.296886	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	224	224	1	1	1	11144	5	50750	0	1025	0	0	0	0	0	0	0	0	0
37.867977	1026	666431	665406	0	42.951267	1.000000	40.416748	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	233	233	1	1	1	11518	5	52515	0	1026	0	0	0	0	0	0	0	0	0
38.868000	1025	687963	686939	0	43.555122	1.000000	40.067467	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	228	228	1	1	1	11893	5	54255	0	1025	0	0	0	0	0	0	0	0	0
39.868000	1024	709420	708397	0	43.438477	1.000000	42.961052	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	225	225	1	1	1	12278	5	55953	0	1024	0	0	0	0	0	0	0	0	0
40.868191	1025	730801	729777	0	42.706341	1.001951	27.622047	0.001947	2.100945e+01	0.000000e+00	7.478057e-02	0.000000e+00	218	218	2	1	1	12660	5	57695	0	1023	2	0	0	0	0	0	0	0	0
41.868198	1025	752011	750987	0	45.160000	1.000976	25.755865	0.000975	2.063926e+01	0.000000e+00	1.496500e+02	0.000000e+00	220	220	2	1	1	13026	5	59344	0	1024	1	0	0	0	0	0	0	0	0
42.868198	1025	773554	772530	0	48.048782	1.000000	32.173237	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	217	217	1	1	1	13378	5	61043	0	1025	0	0	0	0	0	0	0	0	0
43.868225	1025	795016	793992	0	47.530731	1.001951	32.537834	0.001947	2.073797e+01	0.000000e+00	4.128333e+01	0.000000e+00	215	215	3	1	1	13769	5	62806	0	1023	2	0	0	0	0	0	0	0	0
44.868294	1025	816663	815639	0	51.741463	1.000000	43.618053	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	220	220	1	1	1	14118	5	64515	0	1025	0	0	0	0	0	0	0	0	0
45.868294	1024	838016	836993	0	55.304688	1.000000	43.331078	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	238	238	1	1	1	14521	5	66283	0	1024	0	0	0	0	0	0	0	0	0
46.868298	1024	859578	858555	0	57.277344	1.000000	37.395744	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	230	230	1	1	1	14893	5	67949	0	1024	0	0	0	0	0	0	0	0	0
47.868309	1025	880788	879764	0	58.518047	1.000000	42.659447	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	233	233	1	1	1	15282	5	69630	0	1025	0	0	0	0	0	0	0	0	0
48.868347	1025	902242	901218	0	59.862438	1.000000	44.852272	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	225	225	1	1	1	15634	5	71313	0	1025	0	0	0	0	0	0	0	0	0
49.868393	1025	923875	922851	0	62.541462	1.000000	45.573139	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	230	230	1	1	1	16044	5	73073	0	1025	0	0	0	0	0	0	0	0	0
50.868393	1024	945093	944070	0	66.060547	1.000000	52.215164	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	247	247	1	1	1	16457	5	74786	0	1024	0	0	0	0	0	0	0	0	0
51.868462	1025	966827	965803	0	66.616585	1.000000	45.104687	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	234	234	1	1	1	16799	5	76533	0	1025	0	0	0	0	0	0	0	0	0
52.868465	1025	988248	987224	0	67.472198	1.000000	42.596527	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	197	197	1	1	1	17120	5	78169	0	1025	0	0	0	0	0	0	0	0	0
53.868622	1025	1010034	1009010	0	69.630241	1.000000	50.478893	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	227	227	1	1	1	17533	5	79955	0	1025	0	0	0	0	0	0	0	0	0
54.868622	1025	1031746	1030722	0	69.976585	1.000000	38.120369	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	216	216	1	1	1	17900	5	81678	0	1025	0	0	0	0	0	0	0	0	0
55.868629	1025	1053103	1052079	0	69.916100	1.000000	25.050535	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	208	208	1	1	1	18279	5	83354	0	1025	0	0	0	0	0	0	0	0	0
56.868629	1024	1074237	1073214	0	71.796875	1.000000	30.036839	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	204	204	1	1	1	18641	5	85060	0	1024	0	0	0	0	0	0	0	0	0
57.868660	1025	1095744	1094720	0	73.875122	1.000976	34.835110	0.000975	2.099620e+01	0.000000e+00	6.578271e-01	0.000000e+00	220	220	2	1	1	19009	5	86767	0	1024	1	0	0	0	0	0	0	0	0
58.868694	1025	1117015	1115991	0	75.350243	1.000000	49.644131	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	217	217	1	1	1	19385	5	88481	0	1025	0	0	0	0	0	0	0	0	0
59.868721	1025	1138418	1137394	0	73.731705	1.000976	24.096788	0.000975	2.086634e+01	0.000000e+00	2.466597e+01	0.000000e+00	243	243	2	1	1	19782	5	90194	0	1024	1	0	0	0	0	0	0	0	0
60.868828	1025	1159894	1158870	0	75.570732	1.000000	17.290859	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	213	213	1	1	1	20138	5	91844	0	1025	0	0	0	0	0	0	0	0	0
61.868843	1025	1181641	1180617	0	77.863411	1.000000	16.055502	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	222	222	1	1	1	20535	5	93531	0	1025	0	0	0	0	0	0	0	0	0
62.868912	1025	1203118	1202094	0	79.035126	1.000000	14.890469	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	204	204	1	1	1	20887	5	95230	0	1025	0	0	0	0	0	0	0	0	0
63.869030	1025	1224629	1223605	0	80.508293	1.000000	15.412880	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	218	218	1	1	1	21243	5	96880	0	1025	0	0	0	0	0	0	0	0	0
64.869209	1025	1246287	1245263	0	82.555122	1.000000	12.406960	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	214	214	1	1	1	21623	5	98584	0	1025	0	0	0	0	0	0	0	0	0
65.869232	1025	1268025	1267001	0	84.678047	1.000000	11.878787	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	230	230	1	1	1	22024	5	100348	0	1025	0	0	0	0	0	0	0	0	0
66.869240	1025	1289474	1288450	0	86.413658	1.000976	11.296203	0.000975	2.073389e+01	0.000000e+00	8.472954e+01	0.000000e+00	212	212	2	1	1	22381	5	102025	0	1024	1	0	0	0	0	0	0	0	0
67.869247	1024	1311134	1310111	0	87.892578	1.000000	12.211131	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	200	200	1	1	1	22720	5	103745	0	1024	0	0	0	0	0	0	0	0	0
68.869270	1025	1332761	1331737	0	90.992195	1.000000	9.020420	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	219	219	1	1	1	23103	5	105480	0	1025	0	0	0	0	0	0	0	0	0
