Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.867301	1	0.000976	92
10.867301	2	0.001951	37
10.867301	3	0.002927	27
10.867301	4	0.003902	16
10.867301	5	0.004878	7
10.867301	6	0.005854	14
10.867301	7	0.006829	10
10.867301	8	0.007805	6
10.867301	9	0.008780	3
10.867301	10	0.009756	3
10.867301	1025	1.000000	2
10.867301	77	0.075122	6
10.867301	56	0.054634	2
10.867301	129	0.125854	3
10.867301	58	0.056585	13
10.867301	97	0.094634	2
10.867301	14	0.013659	7
10.867301	144	0.140488	4
10.867301	32	0.031220	4
10.867301	182	0.177561	2
10.867301	155	0.151220	3
10.867301	67	0.065366	1
10.867301	37	0.036098	3
10.867301	74	0.072195	3
10.867301	19	0.018537	10
10.867301	118	0.115122	4
10.867301	40	0.039024	3
10.867301	11	0.010732	11
10.867301	22	0.021463	2
10.867301	23	0.022439	4
10.867301	36	0.035122	4
10.867301	15	0.014634	8
10.867301	13	0.012683	5
10.867301	30	0.029268	1
10.867301	44	0.042927	2
10.867301	27	0.026341	2
10.867301	24	0.023415	1
10.867301	12	0.011707	9
10.867301	65	0.063415	2
10.867301	45	0.043902	1
10.867301	83	0.080976	1
10.867301	21	0.020488	2
10.867301	33	0.032195	1
10.867301	18	0.017561	1
10.867301	34	0.033171	1
10.867301	16	0.015610	1
10.867301	25	0.024390	1
10.867301	20	0.019512	1
20.867601	1	0.000976	80
20.867601	2	0.001951	42
20.867601	3	0.002927	29
20.867601	4	0.003902	17
20.867601	5	0.004878	25
20.867601	6	0.005854	16
20.867601	7	0.006829	4
20.867601	8	0.007805	11
20.867601	9	0.008780	10
20.867601	10	0.009756	8
20.867601	1025	1.000000	2
20.867601	251	0.244878	7
20.867601	31	0.030244	21
20.867601	743	0.724878	5
20.867601	542	0.528780	3
20.867601	201	0.196098	5
20.867601	55	0.053659	20
20.867601	196	0.191220	3
20.867601	64	0.062439	8
20.867601	18	0.017561	16
20.867601	178	0.173659	5
20.867601	478	0.466341	1
20.867601	154	0.150244	3
20.867601	24	0.023415	14
20.867601	200	0.195122	2
20.867601	133	0.129756	4
20.867601	93	0.090732	6
20.867601	115	0.112195	1
20.867601	185	0.180488	2
20.867601	68	0.066341	6
20.867601	72	0.070244	5
20.867601	82	0.080000	1
20.867601	73	0.071220	3
20.867601	59	0.057561	2
20.867601	127	0.123902	2
20.867601	66	0.064390	5
20.867601	69	0.067317	5
20.867601	16	0.015610	6
20.867601	36	0.035122	5
20.867601	23	0.022439	10
20.867601	13	0.012683	8
20.867601	14	0.013659	2
20.867601	160	0.156098	3
20.867601	22	0.021463	7
20.867601	19	0.018537	1
20.867601	105	0.102439	2
20.867601	45	0.043902	4
20.867601	35	0.034146	1
20.867601	37	0.036098	3
20.867601	12	0.011707	3
20.867601	26	0.025366	5
20.867601	11	0.010732	6
20.867601	41	0.040000	3
20.867601	52	0.050732	2
20.867601	48	0.046829	1
20.867601	50	0.048780	1
20.867601	25	0.024390	1
20.867601	20	0.019512	1
20.867601	17	0.016585	4
20.867601	27	0.026341	1
30.867849	1	0.000976	81
30.867849	2	0.001951	24
30.867849	3	0.002927	21
30.867849	4	0.003902	31
30.867849	5	0.004878	12
30.867849	6	0.005854	16
30.867849	7	0.006829	8
30.867849	8	0.007805	5
30.867849	9	0.008780	10
30.867849	10	0.009756	2
30.867849	1025	1.000000	2
30.867849	98	0.095610	36
30.867849	927	0.904390	5
30.867849	903	0.880976	3
30.867849	24	0.023415	23
30.867849	82	0.080000	22
30.867849	821	0.800976	1
30.867849	129	0.125854	2
30.867849	360	0.351220	6
30.867849	26	0.025366	20
30.867849	332	0.323902	2
30.867849	103	0.100488	19
30.867849	213	0.207805	12
30.867849	281	0.274146	10
30.867849	119	0.116098	8
30.867849	79	0.077073	15
30.867849	245	0.239024	4
30.867849	36	0.035122	10
30.867849	228	0.222439	1
30.867849	34	0.033171	12
30.867849	15	0.014634	4
30.867849	85	0.082927	1
30.867849	17	0.016585	5
30.867849	83	0.080976	2
30.867849	51	0.049756	5
30.867849	158	0.154146	1
30.867849	130	0.126829	4
30.867849	55	0.053659	1
30.867849	84	0.081951	5
30.867849	107	0.104390	5
30.867849	13	0.012683	7
30.867849	23	0.022439	1
30.867849	97	0.094634	2
30.867849	19	0.018537	7
30.867849	22	0.021463	6
30.867849	14	0.013659	1
30.867849	11	0.010732	5
30.867849	31	0.030244	3
30.867849	75	0.073171	3
30.867849	30	0.029268	1
30.867849	16	0.015610	6
30.867849	52	0.050732	3
30.867849	92	0.089756	1
30.867849	35	0.034146	3
30.867849	62	0.060488	1
30.867849	60	0.058537	1
30.867849	12	0.011707	6
30.867849	20	0.019512	3
30.867849	39	0.038049	1
30.867849	50	0.048780	1
30.867849	42	0.040976	1
30.867849	18	0.017561	1
30.867849	38	0.037073	1
30.867849	21	0.020488	1
40.868191	1	0.000976	76
40.868191	2	0.001951	26
40.868191	3	0.002927	41
40.868191	4	0.003902	16
40.868191	5	0.004878	18
40.868191	6	0.005854	24
40.868191	7	0.006829	6
40.868191	8	0.007805	10
40.868191	9	0.008780	8
40.868191	10	0.009756	9
40.868191	1025	1.000000	10
40.868191	14	0.013659	41
40.868191	1011	0.986341	1
40.868191	173	0.168780	28
