Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.867301	1	0.000976	0
10.867301	2	0.001951	0
10.867301	3	0.002927	0
10.867301	4	0.003902	0
10.867301	5	0.004878	0
10.867301	6	0.005854	0
10.867301	7	0.006829	0
10.867301	8	0.007805	0
10.867301	9	0.008780	0
10.867301	10	0.009756	0
10.867301	1025	1.000000	1
20.867601	1	0.000976	0
20.867601	2	0.001951	0
20.867601	3	0.002927	0
20.867601	4	0.003902	0
20.867601	5	0.004878	0
20.867601	6	0.005854	0
20.867601	7	0.006829	0
20.867601	8	0.007805	0
20.867601	9	0.008780	0
20.867601	10	0.009756	0
20.867601	1025	1.000000	1
30.867849	1	0.000976	0
30.867849	2	0.001951	0
30.867849	3	0.002927	0
30.867849	4	0.003902	0
30.867849	5	0.004878	0
30.867849	6	0.005854	0
30.867849	7	0.006829	0
30.867849	8	0.007805	0
30.867849	9	0.008780	0
30.867849	10	0.009756	0
30.867849	1025	1.000000	1
40.868191	1	0.000976	0
40.868191	2	0.001951	1
40.868191	3	0.002927	0
40.868191	4	0.003902	0
40.868191	5	0.004878	0
40.868191	6	0.005854	0
40.868191	7	0.006829	0
40.868191	8	0.007805	0
40.868191	9	0.008780	0
40.868191	10	0.009756	0
40.868191	1023	0.998049	1
50.868393	1	0.000977	0
50.868393	2	0.001953	0
50.868393	3	0.002930	0
50.868393	4	0.003906	0
50.868393	5	0.004883	0
50.868393	6	0.005859	0
50.868393	7	0.006836	0
50.868393	8	0.007812	0
50.868393	9	0.008789	0
50.868393	10	0.009766	0
50.868393	1024	1.000000	1
60.868828	1	0.000976	0
60.868828	2	0.001951	0
60.868828	3	0.002927	0
60.868828	4	0.003902	0
60.868828	5	0.004878	0
60.868828	6	0.005854	0
60.868828	7	0.006829	0
60.868828	8	0.007805	0
60.868828	9	0.008780	0
60.868828	10	0.009756	0
60.868828	1025	1.000000	1
70.869278	1	0.000976	0
70.869278	2	0.001951	0
70.869278	3	0.002927	0
70.869278	4	0.003902	0
70.869278	5	0.004878	0
70.869278	6	0.005854	0
70.869278	7	0.006829	0
70.869278	8	0.007805	0
70.869278	9	0.008780	0
70.869278	10	0.009756	0
70.869278	1025	1.000000	1
80.869614	1	0.000976	0
80.869614	2	0.001951	0
80.869614	3	0.002927	0
80.869614	4	0.003902	0
80.869614	5	0.004878	0
80.869614	6	0.005854	0
80.869614	7	0.006829	0
80.869614	8	0.007805	0
80.869614	9	0.008780	0
80.869614	10	0.009756	0
80.869614	1025	1.000000	1
90.870140	1	0.000977	0
90.870140	2	0.001953	0
90.870140	3	0.002930	0
90.870140	4	0.003906	0
90.870140	5	0.004883	0
90.870140	6	0.005859	0
90.870140	7	0.006836	0
90.870140	8	0.007812	0
90.870140	9	0.008789	0
90.870140	10	0.009766	0
90.870140	1024	1.000000	1
100.870583	1	0.000976	0
100.870583	2	0.001951	0
100.870583	3	0.002927	0
100.870583	4	0.003902	0
100.870583	5	0.004878	0
100.870583	6	0.005854	0
100.870583	7	0.006829	0
100.870583	8	0.007805	0
100.870583	9	0.008780	0
100.870583	10	0.009756	0
100.870583	1025	1.000000	1
110.870934	1	0.000976	0
110.870934	2	0.001951	0
110.870934	3	0.002927	0
110.870934	4	0.003902	0
110.870934	5	0.004878	0
110.870934	6	0.005854	0
110.870934	7	0.006829	0
110.870934	8	0.007805	0
110.870934	9	0.008780	0
110.870934	10	0.009756	0
110.870934	1025	1.000000	1
120.871124	1	0.000976	0
120.871124	2	0.001951	0
120.871124	3	0.002927	0
120.871124	4	0.003902	0
120.871124	5	0.004878	0
120.871124	6	0.005854	0
120.871124	7	0.006829	0
120.871124	8	0.007805	0
120.871124	9	0.008780	0
120.871124	10	0.009756	0
120.871124	1025	1.000000	1
130.871567	1	0.000976	0
130.871567	2	0.001951	0
130.871567	3	0.002927	0
130.871567	4	0.003902	0
130.871567	5	0.004878	0
130.871567	6	0.005854	0
130.871567	7	0.006829	0
130.871567	8	0.007805	0
130.871567	9	0.008780	0
130.871567	10	0.009756	0
130.871567	1025	1.000000	1
140.871918	1	0.000976	0
140.871918	2	0.001951	0
140.871918	3	0.002927	0
140.871918	4	0.003902	0
140.871918	5	0.004878	0
140.871918	6	0.005854	0
140.871918	7	0.006829	0
140.871918	8	0.007805	0
140.871918	9	0.008780	0
140.871918	10	0.009756	0
140.871918	1025	1.000000	1
150.872208	1	0.000976	0
150.872208	2	0.001951	0
150.872208	3	0.002927	0
150.872208	4	0.003902	0
150.872208	5	0.004878	0
150.872208	6	0.005854	0
150.872208	7	0.006829	0
150.872208	8	0.007805	0
150.872208	9	0.008780	0
150.872208	10	0.009756	0
150.872208	1025	1.000000	1
160.872696	1	0.000976	0
160.872696	2	0.001951	0
160.872696	3	0.002927	0
160.872696	4	0.003902	0
160.872696	5	0.004878	0
160.872696	6	0.005854	0
160.872696	7	0.006829	0
160.872696	8	0.007805	0
160.872696	9	0.008780	0
160.872696	10	0.009756	0
160.872696	1025	1.000000	1
170.873123	1	0.000975	0
170.873123	2	0.001949	0
170.873123	3	0.002924	0
170.873123	4	0.003899	0
170.873123	5	0.004873	0
170.873123	6	0.005848	0
170.873123	7	0.006823	0
170.873123	8	0.007797	0
170.873123	9	0.008772	0
