Generation	X	Y	Population	NormalCells	DeathRate	Diversity	DriverDiversity
0.000000	0	0	1	1023	0.000000	0.000000	0.000000
10.166478	0	0	965	60	100.000000	0.000000	0.000000
20.169292	0	0	1025	0	100.000000	0.000000	0.000000
30.169653	0	0	1025	0	100.000000	0.000000	0.000000
40.170147	0	0	1024	0	0.000000	0.000000	0.000000
50.170452	0	0	1025	0	100.000000	0.000000	0.000000
60.171165	0	0	1025	0	100.000000	0.000000	0.000000
70.171776	0	0	1025	0	100.000000	0.000000	0.000000
80.172142	0	0	1025	0	100.000000	0.000000	0.000000
90.172424	0	0	1025	0	100.000000	0.000000	0.000000
100.172653	0	0	1025	0	100.000000	0.000000	0.000000
110.173058	0	0	1025	0	100.000000	0.000000	0.000000
120.173584	0	0	1025	0	100.000000	0.000000	0.000000
130.174362	0	0	1025	0	100.000000	0.000000	0.000000
140.174942	0	0	1025	0	100.000000	0.000000	0.000000
150.175323	0	0	1025	0	100.000000	0.000000	0.000000
160.175888	0	0	1025	0	100.000000	0.000000	0.000000
170.176193	0	0	1025	0	100.000000	0.000000	0.000000
180.176620	0	0	1024	0	0.000000	0.000000	0.000000
190.177475	0	0	1025	0	100.000000	0.000000	0.000000
200.178177	0	0	1025	0	100.000000	0.000000	0.000000
210.178635	0	0	1025	0	100.000000	0.000000	0.000000
220.179474	0	0	1025	0	100.000000	0.000000	0.000000
230.180405	0	0	1025	0	100.000000	0.000000	0.000000
240.180786	0	0	1025	0	100.000000	0.000000	0.000000
250.181259	0	0	1025	0	100.000000	0.000000	0.000000
260.181671	0	0	1024	0	0.000000	0.000000	0.000000
270.182373	0	0	1025	0	100.000000	0.000000	0.000000
280.182648	0	0	1025	0	100.000000	0.000000	0.000000
290.183228	0	0	1026	0	100.000000	0.000000	0.000000
300.183807	0	0	1025	0	100.000000	0.000000	0.000000
310.184143	0	0	1025	0	100.000000	0.000000	0.000000
320.184509	0	0	1025	0	100.000000	0.000000	0.000000
330.184753	0	0	1025	0	100.000000	0.000000	0.000000
340.185547	0	0	1025	0	100.000000	0.000000	0.000000
350.186493	0	0	1025	0	100.000000	0.000000	0.000000
