NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
1	1	-1	-1	0.000000	0	0	0	1	1.000000	0.000000	0.000000	0	0	0
4	1	-1	-1	1.067269	0	0	0	4	1.000000	0.000000	0.000000	0	0	0
10	1	-1	-1	2.088418	0	0	0	10	1.000000	0.000000	0.000000	0	0	0
18	1	-1	-1	3.111567	0	0	0	18	1.000000	0.000000	0.000000	0	0	0
41	1	-1	-1	4.135440	0	0	0	41	1.000000	0.000000	0.000000	0	0	0
102	1	-1	-1	5.158451	0	0	0	102	1.000000	0.000000	0.000000	0	0	0
235	1	-1	-1	6.160858	0	0	0	235	1.000000	0.000000	0.000000	0	0	0
448	1	-1	-1	7.162563	0	0	0	448	1.000000	0.000000	0.000000	0	0	0
694	1	-1	-1	8.164144	0	0	0	694	1.000000	0.000000	0.000000	0	0	0
883	1	-1	-1	9.164202	0	0	0	883	1.000000	0.000000	0.000000	0	0	0
965	1	-1	-1	10.166478	0	0	0	959	1.000000	0.000000	0.000000	0	0	0
1010	1	-1	-1	11.167671	0	0	0	976	1.000000	0.000000	0.000000	0	0	0
1010	1	-1	-1	11.167671	1	1	0	34	2.695590	0.000000	9.219147	1	0	0
1020	1	-1	-1	12.167711	0	0	0	841	1.000000	0.000000	0.000000	0	0	0
1020	1	-1	-1	12.167711	1	1	0	179	2.695590	0.000000	9.219147	1	0	0
1024	1	-1	-1	13.168845	0	0	0	404	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	13.168845	1	1	0	620	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	14.169003	0	0	0	11	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	14.169003	1	1	0	88	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	14.169003	2	2	1	926	16.639093	0.000000	13.521534	2	0	0
1024	1	-1	-1	15.169005	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	15.169005	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1024	1	-1	-1	15.169005	2	2	1	1024	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	16.169132	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	16.169132	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	16.169132	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1024	1	-1	-1	17.169136	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	17.169136	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1024	1	-1	-1	17.169136	2	2	1	1024	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	18.169136	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	18.169136	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	18.169136	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	19.169241	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	19.169241	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	19.169241	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	20.169292	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	20.169292	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	20.169292	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	21.169327	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	21.169327	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	21.169327	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1024	1	-1	-1	22.169331	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	22.169331	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1024	1	-1	-1	22.169331	2	2	1	1024	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	23.169334	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	23.169334	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	23.169334	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	24.169392	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	24.169392	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	24.169392	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	25.169418	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	25.169418	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	25.169418	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	26.169424	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	26.169424	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	26.169424	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1026	1	-1	-1	27.169426	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1026	1	-1	-1	27.169426	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1026	1	-1	-1	27.169426	2	2	1	1026	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	28.169487	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	28.169487	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	28.169487	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	29.169558	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	29.169558	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	29.169558	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	30.169653	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	30.169653	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	30.169653	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	31.169750	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	31.169750	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	31.169750	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	32.169857	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	32.169857	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	32.169857	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	33.169861	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
