Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.166478	1	0.001036	0
10.166478	2	0.002073	0
10.166478	3	0.003109	0
10.166478	4	0.004145	0
10.166478	5	0.005181	0
10.166478	6	0.006218	1
10.166478	7	0.007254	0
10.166478	8	0.008290	0
10.166478	9	0.009326	0
10.166478	10	0.010363	0
10.166478	965	1.000000	1
20.169292	1	0.000976	0
20.169292	2	0.001951	0
20.169292	3	0.002927	0
20.169292	4	0.003902	0
20.169292	5	0.004878	0
20.169292	6	0.005854	0
20.169292	7	0.006829	0
20.169292	8	0.007805	0
20.169292	9	0.008780	0
20.169292	10	0.009756	0
20.169292	1025	1.000000	3
30.169653	1	0.000976	0
30.169653	2	0.001951	0
30.169653	3	0.002927	0
30.169653	4	0.003902	0
30.169653	5	0.004878	0
30.169653	6	0.005854	0
30.169653	7	0.006829	0
30.169653	8	0.007805	0
30.169653	9	0.008780	0
30.169653	10	0.009756	0
30.169653	1025	1.000000	3
40.170147	1	0.000977	0
40.170147	2	0.001953	0
40.170147	3	0.002930	0
40.170147	4	0.003906	0
40.170147	5	0.004883	0
40.170147	6	0.005859	0
40.170147	7	0.006836	0
40.170147	8	0.007812	0
40.170147	9	0.008789	0
40.170147	10	0.009766	0
40.170147	1024	1.000000	3
50.170452	1	0.000976	0
50.170452	2	0.001951	0
50.170452	3	0.002927	0
50.170452	4	0.003902	0
50.170452	5	0.004878	0
50.170452	6	0.005854	0
50.170452	7	0.006829	0
50.170452	8	0.007805	0
50.170452	9	0.008780	0
50.170452	10	0.009756	0
50.170452	1025	1.000000	3
60.171165	1	0.000976	1
60.171165	2	0.001951	0
60.171165	3	0.002927	0
60.171165	4	0.003902	0
60.171165	5	0.004878	0
60.171165	6	0.005854	0
60.171165	7	0.006829	0
60.171165	8	0.007805	0
60.171165	9	0.008780	0
60.171165	10	0.009756	0
60.171165	1025	1.000000	3
70.171776	1	0.000976	0
70.171776	2	0.001951	0
70.171776	3	0.002927	0
70.171776	4	0.003902	0
70.171776	5	0.004878	0
70.171776	6	0.005854	0
70.171776	7	0.006829	0
70.171776	8	0.007805	0
70.171776	9	0.008780	0
70.171776	10	0.009756	0
70.171776	1025	1.000000	3
80.172142	1	0.000976	2
80.172142	2	0.001951	0
80.172142	3	0.002927	0
80.172142	4	0.003902	0
80.172142	5	0.004878	0
80.172142	6	0.005854	0
80.172142	7	0.006829	0
80.172142	8	0.007805	0
80.172142	9	0.008780	0
80.172142	10	0.009756	0
80.172142	1025	1.000000	3
90.172424	1	0.000976	0
90.172424	2	0.001951	0
90.172424	3	0.002927	0
90.172424	4	0.003902	0
90.172424	5	0.004878	0
90.172424	6	0.005854	0
90.172424	7	0.006829	0
90.172424	8	0.007805	0
90.172424	9	0.008780	0
90.172424	10	0.009756	0
90.172424	1025	1.000000	3
100.172653	1	0.000976	0
100.172653	2	0.001951	0
100.172653	3	0.002927	0
100.172653	4	0.003902	0
100.172653	5	0.004878	0
100.172653	6	0.005854	0
100.172653	7	0.006829	0
100.172653	8	0.007805	0
100.172653	9	0.008780	0
100.172653	10	0.009756	0
100.172653	1025	1.000000	3
110.173058	1	0.000976	0
110.173058	2	0.001951	0
110.173058	3	0.002927	0
110.173058	4	0.003902	0
110.173058	5	0.004878	0
110.173058	6	0.005854	0
110.173058	7	0.006829	0
110.173058	8	0.007805	0
110.173058	9	0.008780	0
110.173058	10	0.009756	0
110.173058	1025	1.000000	3
120.173584	1	0.000976	0
120.173584	2	0.001951	0
120.173584	3	0.002927	0
120.173584	4	0.003902	0
120.173584	5	0.004878	0
120.173584	6	0.005854	0
120.173584	7	0.006829	0
120.173584	8	0.007805	0
120.173584	9	0.008780	0
120.173584	10	0.009756	0
120.173584	1025	1.000000	3
130.174362	1	0.000976	0
130.174362	2	0.001951	0
130.174362	3	0.002927	1
130.174362	4	0.003902	0
130.174362	5	0.004878	0
130.174362	6	0.005854	0
130.174362	7	0.006829	0
130.174362	8	0.007805	0
130.174362	9	0.008780	0
130.174362	10	0.009756	0
130.174362	1025	1.000000	3
140.174942	1	0.000976	0
140.174942	2	0.001951	0
140.174942	3	0.002927	0
140.174942	4	0.003902	0
140.174942	5	0.004878	0
140.174942	6	0.005854	0
140.174942	7	0.006829	0
140.174942	8	0.007805	0
140.174942	9	0.008780	0
140.174942	10	0.009756	0
140.174942	1025	1.000000	3
150.175323	1	0.000976	0
150.175323	2	0.001951	0
150.175323	3	0.002927	0
150.175323	4	0.003902	0
150.175323	5	0.004878	0
150.175323	6	0.005854	0
150.175323	7	0.006829	0
150.175323	8	0.007805	0
150.175323	9	0.008780	0
150.175323	10	0.009756	0
150.175323	1025	1.000000	3
160.175888	1	0.000976	1
160.175888	2	0.001951	0
160.175888	3	0.002927	0
160.175888	4	0.003902	0
160.175888	5	0.004878	0
160.175888	6	0.005854	0
160.175888	7	0.006829	0
160.175888	8	0.007805	0
160.175888	9	0.008780	0
160.175888	10	0.009756	0
160.175888	1025	1.000000	3
170.176193	1	0.000976	1
170.176193	2	0.001951	0
170.176193	3	0.002927	0
170.176193	4	0.003902	0
170.176193	5	0.004878	0
170.176193	6	0.005854	0
170.176193	7	0.006829	0
170.176193	8	0.007805	0
170.176193	9	0.008780	0
