Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.166478	1	0.001036	52
10.166478	2	0.002073	28
10.166478	3	0.003109	8
10.166478	4	0.004145	8
10.166478	5	0.005181	3
10.166478	6	0.006218	6
10.166478	7	0.007254	4
10.166478	8	0.008290	2
10.166478	9	0.009326	1
10.166478	10	0.010363	0
10.166478	584	0.605181	1
10.166478	68	0.070466	1
10.166478	19	0.019689	1
10.166478	26	0.026943	1
20.169292	1	0.000976	85
20.169292	2	0.001951	37
20.169292	3	0.002927	18
20.169292	4	0.003902	10
20.169292	5	0.004878	14
20.169292	6	0.005854	7
20.169292	7	0.006829	5
20.169292	8	0.007805	6
20.169292	9	0.008780	9
20.169292	10	0.009756	1
20.169292	13	0.012683	2
20.169292	17	0.016585	2
20.169292	16	0.015610	3
20.169292	15	0.014634	6
20.169292	24	0.023415	1
20.169292	36	0.035122	1
20.169292	14	0.013659	1
20.169292	11	0.010732	4
20.169292	12	0.011707	3
20.169292	28	0.027317	1
20.169292	27	0.026341	1
20.169292	18	0.017561	1
20.169292	20	0.019512	1
20.169292	19	0.018537	1
20.169292	22	0.021463	1
30.169653	1	0.000976	80
30.169653	2	0.001951	38
30.169653	3	0.002927	20
30.169653	4	0.003902	18
30.169653	5	0.004878	13
30.169653	6	0.005854	13
30.169653	7	0.006829	10
30.169653	8	0.007805	5
30.169653	9	0.008780	7
30.169653	10	0.009756	7
30.169653	33	0.032195	2
30.169653	23	0.022439	1
30.169653	15	0.014634	2
30.169653	25	0.024390	1
30.169653	21	0.020488	2
30.169653	13	0.012683	3
30.169653	16	0.015610	1
30.169653	22	0.021463	1
30.169653	11	0.010732	3
30.169653	26	0.025366	1
30.169653	17	0.016585	1
30.169653	12	0.011707	1
40.170147	1	0.000977	83
40.170147	2	0.001953	47
40.170147	3	0.002930	17
40.170147	4	0.003906	11
40.170147	5	0.004883	16
40.170147	6	0.005859	8
40.170147	7	0.006836	6
40.170147	8	0.007812	6
40.170147	9	0.008789	3
40.170147	10	0.009766	5
40.170147	12	0.011719	4
40.170147	35	0.034180	1
40.170147	28	0.027344	1
40.170147	20	0.019531	2
40.170147	11	0.010742	6
40.170147	27	0.026367	1
40.170147	23	0.022461	1
40.170147	19	0.018555	3
40.170147	29	0.028320	1
40.170147	13	0.012695	3
40.170147	14	0.013672	2
40.170147	15	0.014648	1
40.170147	22	0.021484	1
50.170452	1	0.000976	98
50.170452	2	0.001951	37
50.170452	3	0.002927	24
50.170452	4	0.003902	14
50.170452	5	0.004878	12
50.170452	6	0.005854	10
50.170452	7	0.006829	7
50.170452	8	0.007805	6
50.170452	9	0.008780	6
50.170452	10	0.009756	3
50.170452	28	0.027317	1
50.170452	32	0.031220	1
50.170452	40	0.039024	1
50.170452	19	0.018537	1
50.170452	22	0.021463	1
50.170452	49	0.047805	1
50.170452	55	0.053659	1
50.170452	13	0.012683	3
50.170452	15	0.014634	2
50.170452	17	0.016585	1
50.170452	23	0.022439	2
50.170452	36	0.035122	1
50.170452	11	0.010732	1
60.171165	1	0.000976	86
60.171165	2	0.001951	25
60.171165	3	0.002927	14
60.171165	4	0.003902	16
60.171165	5	0.004878	14
60.171165	6	0.005854	9
60.171165	7	0.006829	8
60.171165	8	0.007805	3
60.171165	9	0.008780	4
60.171165	10	0.009756	7
60.171165	11	0.010732	4
60.171165	56	0.054634	1
60.171165	20	0.019512	1
60.171165	15	0.014634	1
60.171165	19	0.018537	1
60.171165	13	0.012683	3
60.171165	14	0.013659	3
60.171165	22	0.021463	3
60.171165	12	0.011707	2
60.171165	23	0.022439	1
60.171165	26	0.025366	1
60.171165	18	0.017561	2
60.171165	16	0.015610	1
60.171165	17	0.016585	1
60.171165	30	0.029268	1
70.171776	1	0.000976	84
70.171776	2	0.001951	32
70.171776	3	0.002927	23
70.171776	4	0.003902	20
70.171776	5	0.004878	11
70.171776	6	0.005854	4
70.171776	7	0.006829	8
70.171776	8	0.007805	5
70.171776	9	0.008780	4
70.171776	10	0.009756	3
70.171776	13	0.012683	2
70.171776	12	0.011707	3
70.171776	24	0.023415	2
70.171776	15	0.014634	3
70.171776	23	0.022439	2
70.171776	22	0.021463	1
70.171776	16	0.015610	3
70.171776	20	0.019512	1
70.171776	11	0.010732	3
70.171776	39	0.038049	1
70.171776	18	0.017561	1
70.171776	17	0.016585	2
70.171776	38	0.037073	1
70.171776	34	0.033171	1
80.172142	1	0.000976	85
80.172142	2	0.001951	46
80.172142	3	0.002927	22
80.172142	4	0.003902	17
80.172142	5	0.004878	10
80.172142	6	0.005854	7
80.172142	7	0.006829	6
80.172142	8	0.007805	6
80.172142	9	0.008780	0
80.172142	10	0.009756	2
80.172142	56	0.054634	1
80.172142	14	0.013659	3
80.172142	82	0.080000	1
80.172142	16	0.015610	3
80.172142	24	0.023415	2
80.172142	11	0.010732	3
80.172142	18	0.017561	1
80.172142	13	0.012683	3
80.172142	12	0.011707	3
80.172142	15	0.014634	3
80.172142	22	0.021463	1
80.172142	26	0.025366	1
80.172142	17	0.016585	1
90.172424	1	0.000976	70
90.172424	2	0.001951	37
90.172424	3	0.002927	22
90.172424	4	0.003902	19
90.172424	5	0.004878	9
90.172424	6	0.005854	10
90.172424	7	0.006829	5
