Labels,FA L 7,FA L 8,FA Lla,FA LLb,FB L 5,FB L 6,FB Lla,FB LLb
cg00024494,0.041200272,0.030557808,0.044897256,0.038227041,0.032944842,0.039017628,0.061147344,0.056610843
cg00034101,0.359419367,0.404378264,0.104092395,0.466870829,0.144440737,0.352949922,0.201220828,0.169128847
cg00078857,0.818826114,0.444646527,0.811031847,0.901519373,0.815393355,0.805457785,0.567177755,0.617862927
cg00107579,0.849614443,0.827859279,0.645322055,0.963001712,0.85968326,0.883206543,0.747175212,0.692347223
cg00153919,0.872448866,0.497380798,0.944596043,0.672106918,0.257864519,0.868968436,0.603350235,0.404222619
cg00292669,0.916658802,0.82204776,0.902727613,0.854081994,0.927878984,0.918195336,0.913336646,0.934859291
cg00301396,0.428546017,0.423822736,0.185814007,0.43741953,0.465892324,0.449318186,0.399918683,0.28808008
cg00361017,0.184364852,0.500697858,0.358350184,0.310668858,0.814410703,0.879512878,0.717101558,0.622597766
cg00369376,0.537385647,0.490800002,0.614838069,0.616735567,0.534087922,0.492057072,0.476219067,0.588164575
cg00381755,0.525730842,0.516762641,0.085769313,0.529119257,0.525372295,0.533649885,0.466629797,0.415490714
cg00384205,0.528199252,0.570121808,0.46931624,0.74023857,0.543030052,0.552738129,0.758741527,0.601008494
cg00397910,0.735943008,0.559502457,0.491019647,0.564482559,0.588235078,0.562565514,0.662075174,0.704919102
cg00408773,0.711011764,0.863983912,0.974270806,0.809291202,0.549818289,0.907733028,0.699357846,0.710733972
cg00428638,0.594918653,0.553800361,0.635088931,0.687110259,0.481548525,0.523951546,0.471129967,0.496599266
cg00431565,0.76255318,0.641929395,0.892512466,0.57914018,0.33616208,0.812420328,0.693773125,0.387749009
cg00473597,0.741247554,0.835885748,0.605046117,0.84818729,0.173018607,0.619605135,0.590710667,0.385618772
cg00504902,0.520189664,0.480582638,0.71471713,0.653304835,0.471282226,0.502786355,0.554791774,0.43572808
cg00604454,0.009300561,0.010551533,0.017363839,0.017197857,0.014617107,0.012416743,0.014348477,0.014915445
cg00610991,0.571280335,0.819591661,0.822025718,0.691202277,0.540157464,0.568398822,0.604339943,0.653728965
cg00619263,0.658617796,0.838875621,0.873217082,0.759075752,0.527015685,0.660261399,0.846507223,0.881655125
cg00631327,0.941924638,0.938109566,0.945589944,0.923182325,0.93934773,0.954326434,0.925128792,0.939724704
cg00631329,0.521753974,0.413864208,0.461938495,0.547297381,0.495824785,0.478134515,0.547324112,0.500675266
cg00659077,0.903504478,0.740086029,0.9056339,0.735412148,0.18189716,0.900485363,0.775673052,0.875694495
cg00666014,0.032335023,0.026623587,0.141523636,0.207541827,0.557858437,0.03323966,0.592988711,0.354709815
cg00666422,0.620049355,0.593292765,0.729979739,0.52166138,0.480559739,0.51533665,0.665543925,0.677968107
cg00718336,0.777244739,0.821071353,0.650774766,0.86990872,0.89912331,0.911907051,0.871702675,0.742768887
cg00739471,0.832451305,0.948579188,0.62225625,0.745156938,0.897826816,0.922915088,0.705912738,0.799509501
cg00753924,0.565705995,0.795469518,0.950778929,0.893386363,0.892585732,0.86837166,0.540558058,0.535137411
cg00807197,0.923298685,0.743003231,0.887342666,0.897333645,0.924343376,0.872898779,0.936114702,0.902546434
cg00813752,0.711000592,0.701363515,0.939720762,0.805120496,0.876376576,0.854110715,0.915447112,0.860821861
cg00851732,0.095556013,0.452244598,0.108511196,0.602897692,0.098611539,0.111084659,0.591051031,0.576156547
cg00871610,0.726474549,0.774210332,0.93088424,0.903854347,0.079710383,0.888987518,0.661319815,0.640480338
cg00899350,0.506386013,0.523207459,0.391830999,0.607473552,0.526365353,0.878733758,0.53288362,0.615825559
cg00918181,0.921136238,0.710291673,0.840009611,0.936868532,0.921510863,0.90376093,0.915294768,0.934957295
cg00923880,0.681486919,0.291987181,0.781028393,0.699657505,0.119909573,0.90758159,0.7977743,0.740775499
cg00930606,0.120047911,0.224762664,0.022724543,0.3348125,0.198165505,0.250628969,0.112950409,0.04671647
cg00953006,0.169253953,0.54093601,0.126475053,0.639077786,0.163724981,0.168447018,0.184963732,0.264909281
cg00973118,0.243769671,0.726147067,0.060297881,0.334867919,0.298488527,0.671302839,0.579773342,0.294207285
cg00980622,0.544443858,0.639606758,0.850283015,0.79325753,0.322283394,0.517582509,0.425739523,0.215256801
cg01000188,0.294354405,0.466629208,0.490960741,0.162746513,0.109848345,0.863785688,0.150296019,0.268944414
cg01017147,0.415051549,0.404637641,0.595087739,0.207168994,0.438621765,0.424773715,0.533208856,0.523594746
