Labels,DA LL 1,DA LL 2,DBL1,DBL2,DB LL 3,DB LL 4,DBL20,DBL21
cg00024494,0.911736698,0.851532396,0.538027255,0.819370382,0.170227637,0.904212859,0.773090152,0.950408981
cg00034101,0.345527881,0.10632325,0.088820309,0.333019175,0.355391091,0.315734091,0.418012226,0.773774976
cg00078857,0.441727746,0.385867592,0.440289033,0.607130664,0.496702082,0.387320798,0.154851313,0.625382271
cg00107579,0.551289598,0.571010067,0.503162152,0.950045898,0.88219132,0.84435554,0.578681807,0.944952667
cg00153919,0.534422026,0.815681463,0.872996462,0.388216348,0.840239415,0.839930958,0.54751209,0.516526975
cg00292669,0.761654756,0.935631668,0.952555586,0.945452861,0.505636153,0.896083847,0.469405719,0.927916598
cg00301396,0.3026753,0.404419461,0.386065148,0.37916624,0.359451956,0.363773629,0.939619996,0.441784566
cg00361017,0.792574908,0.910225793,0.917224572,0.911112282,0.827905196,0.835438718,0.780189912,0.878072733
cg00369376,0.373726916,0.489547101,0.68490587,0.133555834,0.153701637,0.052598897,0.402654724,0.524414558
cg00381755,0.492479888,0.543459351,0.532571904,0.507584206,0.485773141,0.330237005,0.874906652,0.550196535
cg00384205,0.893912093,0.92489779,0.692101625,0.947162302,0.554240551,0.890020664,0.369625662,0.926850257
cg00397910,0.589570103,0.603212243,0.898089123,0.946379806,0.830918358,0.917166386,0.54612442,0.871360391
cg00408773,0.849552124,0.941161829,0.570677402,0.523273289,0.487291772,0.687931397,0.925129834,0.540880622
cg00428638,0.859259822,0.89018992,0.923531272,0.901028333,0.970183676,0.953348792,0.900630431,0.88239572
cg00431565,0.448249677,0.748575169,0.424354511,0.568203471,0.157631158,0.237275311,0.428730044,0.414278395
cg00473597,0.466463854,0.64376602,0.546987548,0.399142221,0.570330908,0.148913519,0.313671798,0.040552218
cg00504902,0.883523355,0.941179792,0.913906034,0.922451682,0.922023457,0.950084028,0.819944923,0.922882387
cg00604454,0.759125169,0.944687195,0.801929988,0.747461865,0.209337787,0.599671012,0.947018011,0.898888819
cg00610991,0.921888344,0.950892523,0.957694941,0.957564012,0.878163735,0.448829808,0.940248947,0.944672231
cg00619263,0.396904434,0.103180458,0.172884851,0.638403173,0.268883159,0.066065574,0.211141881,0.055270969
cg00631327,0.886672312,0.924546133,0.850015741,0.711204638,0.930181987,0.955706088,0.539657575,0.930644492
cg00631329,0.907465903,0.948754945,0.953902725,0.949720112,0.935066268,0.805661361,0.937815957,0.944438533
cg00659077,0.685485046,0.405314165,0.374603903,0.052033089,0.723621265,0.020340778,0.309707231,0.034419879
cg00666014,0.101496049,0.446585203,0.186900531,0.617350884,0.174612984,0.640002042,0.509529839,0.615250106
cg00666422,0.63119209,0.569616354,0.529449133,0.571965593,0.27298743,0.536140785,0.050868459,0.540938575
cg00718336,0.151972603,0.060888409,0.226229929,0.090763333,0.069897199,0.81685916,0.481192987,0.143300731
cg00739471,0.866736619,0.922542129,0.659690121,0.718424075,0.7701315,0.721374402,0.534467749,0.917924355
cg00753924,0.924248735,0.621345491,0.7123099,0.957452232,0.908657239,0.768188132,0.701775514,0.92724027
cg00807197,0.899057214,0.934326241,0.905960613,0.941812396,0.921633451,0.901532219,0.833400831,0.51170479
cg00813752,0.855951566,0.933659753,0.399973243,0.926943787,0.261715671,0.907757758,0.89750199,0.909948867
cg00851732,0.585641828,0.114392282,0.668791905,0.919801858,0.854478035,0.854832148,0.660703326,0.929296489
cg00871610,0.751298741,0.213923661,0.621585872,0.789176097,0.899662516,0.739548384,0.232571872,0.934667505
