,Unnamed: 0,Labels,DA LL 1,DA LL 2,DBL1,DBL2,DB LL 3,DB LL 4,DBL20,DBL21,DA,DB
352,201200,cg00009871,0.567632412,0.443687441,0.483465618,0.506685915,0.57371138,0.045021467,0.836564859,0.079608358,0.520792027,0.547638833
833,818148,cg00023673,0.129940196,0.041261494,0.14346813,0.08391958,0.107097121,0.040249545,0.064535856,0.042950819,0.269666534,0.405671417
1008,471250,cg00028431,0.399218135,0.369705406,0.516659281,0.600480186,0.272364724,0.546197981,0.669508353,0.628891992,0.558073431,0.634789778
1104,673706,cg00031187,0.913162098,0.912609556,0.456359281,0.462118947,0.772398858,0.628773882,0.440233851,0.138161316,0.867237481,0.497183037
1203,324415,cg00033950,0.338925477,0.093364074,0.280986721,0.110047494,0.397222516,0.191319686,0.899171679,0.08239351,0.429304684,0.498670206
1410,818410,cg00039795,0.20774918,0.463261924,0.125016592,0.561663573,0.27816824,0.396426739,0.099426268,0.5258847,0.450905456,0.400318405
2428,642552,cg00069760,0.173196836,0.063920449,0.179563367,0.488712441,0.213445287,0.460612944,0.285761566,0.180817669,0.215059804,0.387658133
2905,79881,cg00084094,0.292237579,0.026065161,0.301798177,0.539818646,0.066549992,0.635304773,0.413804965,0.489214065,0.157078151,0.354384028
4342,569403,cg00125585,0.645764927,0.668275947,0.934174509,0.928944601,0.93357664,0.887195066,0.771537012,0.922861472,0.740702974,0.756429573
4589,181537,cg00133811,0.461630142,0.453987626,0.476622934,0.499495603,0.582257892,0.748317548,0.343068216,0.507496447,0.488646712,0.43468916
4712,273238,cg00137671,0.219386142,0.04807274,0.146810912,0.05196092,0.413445915,0.126795393,0.196390694,0.041014205,0.346935655,0.363167153
5202,706852,cg00153041,0.826001015,0.86037179,0.903296262,0.89451752,0.741095476,0.773262948,0.750394249,0.789213582,0.857271057,0.796879253
5387,703655,cg00158092,0.907689892,0.944961073,0.928180319,0.960153897,0.903156439,0.780040691,0.052855428,0.945305779,0.812912405,0.604265405
5601,521992,cg00164123,0.573945885,0.5563652,0.548756767,0.562364326,0.835685354,0.446943555,0.62217617,0.585855018,0.632366092,0.596735164
6023,527534,cg00176635,0.544916414,0.374091432,0.533955411,0.37480441,0.754953856,0.507366495,0.335364,0.085787,0.410644759,0.439420301
7220,637177,cg00216205,0.329304005,0.05057891,0.144297721,0.325113285,0.155896652,0.198041745,0.334398,0.073648564,0.197564682,0.351813647
7435,791890,cg00222963,0.315753405,0.42234984,0.642633995,0.955290497,0.634620271,0.940217661,0.431871485,0.947767987,0.379381846,0.60492152
8074,192551,cg00242263,0.269351791,0.351745175,0.321093045,0.076644456,0.183017833,0.176502369,0.109019186,0.067299592,0.438179247,0.40813683
8857,640316,cg00266265,0.368919697,0.049967199,0.47838045,0.155481589,0.05017839,0.041181861,0.661355746,0.049526545,0.368237433,0.487685307
9057,57447,cg00273359,0.643029349,0.155956525,0.370806969,0.519329044,0.670518654,0.197775887,0.376342094,0.546558768,0.399626026,0.41185828
9074,50269,cg00273863,0.439788164,0.212650145,0.364513484,0.530722691,0.619472008,0.466803718,0.131375527,0.480225638,0.293754307,0.361059649
9140,643557,cg00276145,0.109953024,0.079349973,0.148412115,0.087126426,0.576767182,0.191661268,0.867076264,0.073420126,0.373148844,0.546440764
9298,253644,cg00281323,0.635938576,0.461275874,0.444630696,0.110762032,0.46165925,0.479140172,0.494392135,0.892247575,0.528672295,0.488375399
9624,653322,cg00292336,0.734239454,0.547700501,0.513663849,0.458963025,0.3886499,0.317723938,0.05847443,0.041467692,0.554364971,0.502459942
10151,555283,cg00307770,0.115261725,0.346940144,0.621683832,0.58705058,0.889901866,0.564857075,0.45020108,0.516206339,0.249420767,0.421059128
10803,794825,cg00327939,0.631339794,0.523986626,0.544880569,0.556951706,0.18652049,0.02138255,0.50089931,0.172681607,0.549103774,0.48055801
11138,685421,cg00337187,0.837134424,0.616076758,0.456358003,0.964912306,0.845289224,0.644536276,0.189529684,0.949472968,0.598546183,0.492656617
11671,89948,cg00352489,0.372864532,0.104746085,0.686920942,0.51976643,0.468663776,0.829995815,0.903868932,0.522281135,0.402784669,0.642649663
11724,817901,cg00354437,0.731354158,0.611122023,0.925003002,0.952147918,0.866132436,0.784819602,0.929354232,0.933852766,0.581711285,0.614315017
12079,15950,cg00364704,0.533558746,0.56834157,0.486147053,0.550465443,0.643776596,0.729634509,0.079727983,0.529758935,0.593292747,0.319379901
12387,785092,cg00373901,0.161800382,0.519369884,0.225552209,0.567275589,0.107530625,0.532472523,0.361318934,0.381278905,0.315254728,0.353294487
12420,289769,cg00374658,0.635037831,0.542487838,0.321340431,0.468449889,0.053754722,0.950127923,0.246970321,0.925968438,0.5801512,0.463367639
12435,664570,cg00375199,0.589748443,0.506522064,0.433652198,0.860178603,0.297813041,0.424189202,0.326554018,0.602323992,0.593640496,0.581545909
12777,455368,cg00386007,0.393621718,0.266219573,0.202010067,0.525286549,0.194717977,0.266509498,0.88287088,0.040694433,0.448198881,0.452373915
12963,561186,cg00391418,0.540379787,0.412265915,0.134571726,0.569903988,0.23502434,0.929427148,0.384129773,0.600040223,0.547722742,0.447652728
13156,674049,cg00397103,0.54791138,0.30176601,0.511594948,0.50755225,0.755262325,0.945868805,0.60370459,0.571844409,0.551577478,0.566923039
13489,507485,cg00407100,0.796506589,0.532096656,0.656009003,0.730968207,0.479259237,0.883762432,0.516910261,0.94890053,0.674879946,0.771377241
13686,676477,cg00413030,0.726427014,0.538337976,0.185671839,0.918505855,0.501160863,0.689306159,0.433869655,0.924816186,0.631924813,0.539650619
13696,558497,cg00413250,0.591672095,0.889923114,0.855492827,0.932090766,0.053171272,0.790734757,0.288614738,0.533764667,0.676978958,0.517811989
13971,567964,cg00420742,0.653061239,0.369831471,0.136219144,0.602619533,0.42807235,0.923064622,0.459105558,0.608437582,0.592015003,0.5269374
14096,123705,cg00423969,0.108944966,0.083382121,0.262163661,0.390721734,0.163558081,0.044111165,0.314236879,0.056135629,0.273754389,0.399324875
14810,638497,cg00447940,0.460259117,0.439422654,0.165137566,0.167209899,0.041836265,0.03923143,0.304989363,0.094241603,0.400349737,0.416024004
15190,448763,cg00458754,0.090544401,0.443791457,0.327185236,0.062405381,0.034642,0.024662872,0.063005822,0.031362282,0.196375079,0.316053697
15805,548758,cg00475343,0.400869863,0.085157432,0.151331302,0.527764438,0.077349627,0.029060049,0.657472186,0.063832461,0.356735122,0.474651668
15895,654645,cg00478326,0.764734771,0.646486438,0.331124496,0.485217247,0.103069016,0.544549771,0.255686267,0.049823232,0.624109825,0.449579491
16606,235466,cg00499277,0.561665918,0.568627474,0.715551585,0.098474912,0.758047205,0.86296181,0.141244367,0.559020541,0.508214146,0.529967983
16904,498940,cg00507036,0.434936951,0.479619825,0.111018169,0.597177491,0.357117834,0.02891687,0.48526598,0.58191962,0.42026276,0.56668833
17257,690199,cg00517605,0.903798189,0.932073985,0.740365673,0.519884361,0.47804872,0.93775578,0.747005897,0.525201327,0.830896742,0.680526459
17446,179870,cg00523308,0.133589579,0.061961528,0.564297778,0.286419904,0.467315481,0.833440606,0.436956146,0.057543239,0.406907547,0.559914198
17587,684343,cg00527316,0.819860665,0.587011729,0.49907291,0.961174753,0.676199784,0.491041922,0.458181903,0.942574819,0.717708553,0.634070702
17604,653118,cg00527928,0.104184418,0.065979674,0.39683694,0.504275268,0.058580105,0.665011268,0.668940299,0.575380897,0.290200923,0.574877846
18021,58673,cg00540238,0.28574529,0.154115766,0.40127688,0.660030613,0.261489948,0.222469451,0.464162443,0.103277282,0.359150346,0.526546618
18424,639305,cg00551578,0.196363789,0.075386304,0.249515577,0.208191589,0.357524421,0.106680755,0.380184911,0.198203826,0.327561768,0.561850436
18742,281929,cg00561322,0.198715682,0.089224515,0.125967358,0.228468217,0.099918254,0.284018739,0.470168324,0.095478871,0.259639184,0.359733235
18844,576557,cg00564212,0.437169847,0.659309313,0.404512438,0.465925383,0.144075162,0.928223387,0.111697907,0.123028852,0.520599641,0.390107381
19940,209318,cg00594894,0.864001545,0.440139543,0.893889913,0.945357078,0.868388068,0.517822954,0.043527321,0.937287621,0.754276225,0.498407937
20442,829589,cg00610648,0.519014557,0.612300429,0.603747138,0.645391669,0.542356748,0.670250062,0.467672645,0.611638819,0.629307104,0.590416723
20469,186135,cg00611573,0.318558536,0.552620976,0.57288788,0.945196437,0.071249791,0.84141249,0.905971021,0.940847762,0.613241907,0.625756706
20822,147640,cg00621805,0.363405006,0.598440348,0.327118863,0.5691676,0.399758808,0.387987911,0.710157633,0.06173851,0.475392648,0.619260367
21651,654486,cg00647178,0.559142527,0.49074942,0.540555025,0.08778472,0.368450645,0.120765114,0.502373234,0.497768486,0.475932323,0.442183882
22052,670628,cg00660445,0.57935639,0.475023742,0.638280757,0.432076127,0.874389676,0.812542618,0.152367255,0.543658121,0.573873286,0.479455311
22225,655849,cg00666014,0.101496049,0.446585203,0.186900531,0.617350884,0.174612984,0.640002042,0.509529839,0.615250106,0.347508797,0.541604831
22340,818137,cg00669347,0.453840967,0.048342666,0.730143376,0.843254268,0.514412309,0.370278988,0.658894824,0.79623032,0.43413752,0.665170732
22344,768982,cg00669487,0.337437918,0.098775577,0.698785961,0.904151096,0.679716264,0.707251387,0.465358732,0.882961913,0.445929387,0.648958652
22930,677909,cg00688591,0.592308977,0.62761528,0.645950697,0.602901533,0.707233358,0.573521171,0.635614009,0.626174144,0.646887408,0.771942826
23104,95789,cg00692862,0.461968663,0.13070557,0.508162216,0.524571976,0.678036859,0.217438388,0.143218621,0.515010714,0.211553311,0.316908882
23495,654240,cg00704384,0.369842218,0.46572955,0.353209897,0.472051159,0.470683763,0.393719291,0.141043102,0.476792603,0.379427253,0.335889941
23551,240445,cg00705730,0.634080951,0.22322896,0.312546776,0.453237845,0.509841272,0.720520666,0.10427224,0.648601911,0.457844575,0.460058451
24010,795964,cg00718959,0.414511988,0.809161975,0.500307195,0.514101374,0.598357741,0.712443131,0.237624395,0.56039638,0.485951196,0.488366613
24033,721108,cg00719768,0.914601077,0.941395447,0.945184275,0.950351943,0.883483217,0.630236797,0.744459126,0.938120317,0.924994423,0.86494014
24147,262146,cg00723424,0.850435826,0.433592773,0.672597838,0.435121257,0.373678801,0.922311308,0.816357031,0.901778359,0.668320147,0.667526835
24270,575257,cg00728046,0.535223914,0.371191666,0.33912609,0.872052539,0.612491332,0.706734428,0.235366509,0.643982341,0.292815865,0.475815918
24512,704846,cg00734904,0.739223443,0.874209936,0.868988883,0.882597665,0.890708796,0.509228197,0.829612002,0.874668468,0.740028745,0.740820778
24708,566244,cg00741035,0.611078523,0.399799567,0.530439735,0.596412481,0.640926801,0.493087373,0.563678587,0.776270032,0.467630532,0.530947921
26096,647142,cg00783306,0.378445105,0.083524126,0.268654183,0.534635452,0.127094985,0.460176274,0.090666542,0.516275366,0.223815309,0.463177095
26674,138765,cg00802250,0.604356513,0.486467325,0.487162536,0.218291827,0.028031241,0.111556499,0.105301258,0.466865043,0.49072204,0.386377592
26728,788952,cg00804096,0.446587428,0.053203533,0.3741203,0.556662626,0.266374824,0.616661721,0.560464419,0.597545885,0.272570942,0.508877191
26752,265788,cg00804634,0.59800474,0.79496433,0.53810161,0.535804995,0.109560271,0.224939001,0.324848001,0.947014188,0.650247814,0.502050923
26827,832540,cg00807063,0.90476703,0.067401185,0.5299891,0.94123297,0.495870778,0.964470822,0.065841471,0.931174119,0.702216316,0.536408464
27050,659424,cg00813027,0.459899659,0.423205078,0.456356984,0.500130333,0.501257274,0.597444426,0.16201616,0.515005389,0.614786577,0.468627184
27380,518161,cg00823898,0.548725425,0.792906364,0.819357288,0.717003959,0.433089391,0.400839686,0.438997319,0.892177124,0.597652415,0.535299157
27509,56405,cg00828455,0.367177936,0.125185329,0.147152108,0.459976058,0.103214679,0.613670734,0.156229292,0.469633851,0.372603023,0.364134868
28160,366459,cg00848123,0.204405284,0.055461971,0.638450651,0.44928182,0.923060904,0.533744997,0.400618051,0.469140777,0.343244838,0.470087749
28197,656887,cg00849282,0.587608845,0.088951528,0.685473598,0.482483357,0.076463184,0.610269124,0.342871288,0.511152239,0.490925458,0.487571807
28286,311497,cg00851732,0.585641828,0.114392282,0.668791905,0.919801858,0.854478035,0.854832148,0.660703326,0.929296489,0.46519124,0.613365353
30678,487760,cg00926466,0.550402244,0.295260487,0.277350684,0.496829638,0.178939244,0.725490041,0.400655065,0.143891969,0.414717219,0.480920883
32298,658827,cg00976422,0.774841253,0.182496299,0.672162941,0.55035055,0.451378396,0.146271822,0.208641262,0.573482229,0.560263174,0.478054315
34159,714608,cg01030842,0.904042137,0.944666836,0.913019015,0.957003103,0.823677516,0.950113391,0.333260982,0.954392885,0.825607624,0.680363404
34502,614192,cg01041810,0.13560742,0.046632282,0.070828979,0.056272631,0.150563536,0.042019636,0.048823686,0.04022867,0.098513423,0.139912842
34709,200092,cg01047647,0.917767592,0.926184089,0.550813915,0.925776773,0.590005914,0.725969297,0.642049517,0.943088192,0.829335606,0.697582024
34960,223428,cg01055103,0.211371644,0.07811244,0.127880215,0.402888758,0.085416314,0.454223598,0.452937424,0.036774252,0.200226558,0.299375513
35198,25192,cg01062109,0.423509095,0.443619219,0.352626426,0.473280645,0.717250113,0.951486579,0.115840448,0.847837411,0.482087827,0.435692328
35782,666660,cg01080888,0.490769529,0.533353317,0.461019252,0.519776471,0.604909864,0.627900134,0.065976562,0.904102742,0.60293139,0.420430615
36530,678252,cg01103464,0.387919921,0.537392108,0.919817449,0.950384312,0.585353857,0.667629813,0.046283544,0.939668583,0.532280336,0.565386503
36571,351976,cg01104306,0.554626084,0.269460813,0.475120335,0.484118319,0.747842157,0.422939462,0.118094778,0.517719491,0.581341961,0.461306672
36871,639436,cg01113065,0.148049323,0.093618229,0.21088095,0.360583894,0.197200874,0.044101582,0.642609817,0.085666116,0.24939891,0.428610731
37087,683090,cg01119439,0.478550627,0.51045335,0.584203134,0.943882028,0.573877893,0.959076838,0.387874502,0.918272729,0.56724639,0.677592531
37550,269049,cg01134526,0.474975317,0.389504803,0.368657295,0.238478444,0.457488974,0.096160762,0.503322313,0.036873909,0.522510036,0.690587282
38778,174155,cg01171839,0.809373295,0.835525458,0.545259066,0.51611152,0.437240169,0.5413872,0.872269009,0.527977393,0.780011785,0.674913705
39253,145349,cg01186181,0.634262343,0.773373846,0.638139035,0.914213713,0.95016001,0.909646646,0.59172251,0.926776432,0.668787112,0.656004544
39300,40598,cg01188069,0.282174414,0.036367184,0.463203942,0.517060314,0.363665965,0.815611955,0.38579644,0.923264954,0.246612245,0.373866919
39671,549594,cg01200393,0.452882453,0.844929605,0.14273162,0.925945025,0.241707241,0.812056435,0.43464226,0.920951362,0.629223906,0.53840676
40210,552464,cg01217578,0.302692244,0.544992831,0.173495136,0.51322127,0.136901482,0.924737164,0.091289289,0.935276362,0.286570892,0.311091979
41484,21004,cg01258042,0.118450167,0.129036982,0.355432267,0.408801269,0.591034715,0.917614651,0.554150027,0.55226956,0.289184685,0.567762501
41626,302773,cg01262938,0.875488872,0.736612417,0.538225903,0.104003554,0.726566605,0.575390547,0.341639978,0.036644851,0.737841282,0.312429541
41706,651621,cg01265613,0.151452708,0.113103224,0.547066031,0.526156091,0.62930304,0.31954209,0.065600337,0.543970606,0.438821315,0.391296663
42043,655195,cg01275848,0.50682525,0.519245339,0.10042696,0.583613281,0.126405252,0.682023118,0.188656532,0.526934884,0.474853575,0.392205396
42288,762782,cg01283794,0.300992101,0.531210042,0.590306142,0.139623798,0.481579754,0.08204272,0.221533438,0.14844219,0.367678547,0.398896338
42824,117253,cg01300338,0.481147286,0.484379101,0.468093062,0.869799416,0.840051567,0.337213966,0.185125423,0.464820838,0.426379214,0.39665449
43136,439634,cg01309511,0.485815775,0.436974455,0.055151078,0.121841153,0.025224609,0.227570782,0.479538625,0.025607068,0.192422776,0.329613785
43189,336178,cg01311379,0.520844226,0.26834782,0.597486304,0.328157968,0.079932111,0.527635186,0.456316465,0.09347901,0.512377888,0.513055334
43352,528527,cg01316116,0.481403987,0.452624244,0.338675722,0.357615744,0.160941151,0.572989149,0.084799428,0.384873897,0.506488337,0.4492136
43455,729924,cg01320298,0.902407717,0.953051749,0.947704608,0.957571456,0.937335175,0.89468163,0.604096035,0.938264309,0.840130654,0.786449361
43720,699324,cg01328841,0.649789481,0.877579517,0.626005673,0.924277657,0.921532027,0.864571386,0.492222031,0.888345458,0.781345736,0.619397917
