Labels,UA L 1,UA  L 2,UB L 3,UB 4,UB L -1,UA L -2,UA L -3,UB L -4
cg00024494,0.819340752,0.915460557,0.863090259,0.920761473,0.947943484,0.81186468,0.941512816,0.895338256
cg00034101,0.951625493,0.967684044,0.96043597,0.957072649,0.965568093,0.945767607,0.974586354,0.939530228
cg00078857,0.850940319,0.674658372,0.389712546,0.88274214,0.806041338,0.720838848,0.893437512,0.89439708
cg00107579,0.357252475,0.605196441,0.606494644,0.595267737,0.632855431,0.395069996,0.626756429,0.499464194
cg00153919,0.090395349,0.111388009,0.107901331,0.207225864,0.197946537,0.056106103,0.077309702,0.164715758
cg00292669,0.114270162,0.14310269,0.568210649,0.334277603,0.642473886,0.221092118,0.472624966,0.600957868
cg00301396,0.933284155,0.968118361,0.971557498,0.963355096,0.947102428,0.953492653,0.954544578,0.942276866
cg00361017,0.884181099,0.766014667,0.852622552,0.885649019,0.882454115,0.845779883,0.794049355,0.876317599
cg00369376,0.508117808,0.558770221,0.187315888,0.148095197,0.167899371,0.487690197,0.281025044,0.074909468
cg00381755,0.901821341,0.941548779,0.958833454,0.931697173,0.936986701,0.96859465,0.949122663,0.957912504
cg00384205,0.644506579,0.63190286,0.663963516,0.533462816,0.613228754,0.864502225,0.675868657,0.562956597
cg00397910,0.326707973,0.341965211,0.39795505,0.405534487,0.406900112,0.236788033,0.360480658,0.361836892
cg00408773,0.865026303,0.515616531,0.794209857,0.904878286,0.909511285,0.853033191,0.571508941,0.927242854
cg00428638,0.88524357,0.883534543,0.889797231,0.884627182,0.887085944,0.906627978,0.895185092,0.90001471
cg00431565,0.596799147,0.644912457,0.641632676,0.770246968,0.755248114,0.668009764,0.562004473,0.609617251
cg00473597,0.625968873,0.652147892,0.465386002,0.551851991,0.620528915,0.616215401,0.642931572,0.56438509
cg00504902,0.361174156,0.306912348,0.397708498,0.353984829,0.128823467,0.386320939,0.284749068,0.091299113
cg00604454,0.877597788,0.978101403,0.77933009,0.892887291,0.915705692,0.928758653,0.950661338,0.825316294
cg00610991,0.437331802,0.569112367,0.549593025,0.634363796,0.62269116,0.391660924,0.672067247,0.634922553
cg00619263,0.803968767,0.689482883,0.886125585,0.656375665,0.887127257,0.888922058,0.686377203,0.847717027
cg00631327,0.047192387,0.025989963,0.03736434,0.02824843,0.03505279,0.041567832,0.030457074,0.039287606
cg00631329,0.949480768,0.95235445,0.959211084,0.945348812,0.940708935,0.943816024,0.941673594,0.935881783
cg00659077,0.462949745,0.766352453,0.525308967,0.850619799,0.522667268,0.875709806,0.637943352,0.479453426
cg00666014,0.604349385,0.907344221,0.50628268,0.6524097,0.773434788,0.631265773,0.629292956,0.730865553
cg00666422,0.386312977,0.667466364,0.352171991,0.464705624,0.417982654,0.654087242,0.643395655,0.422957935
cg00718336,0.819955054,0.668113919,0.812040096,0.867474707,0.851250592,0.747386416,0.896269905,0.818637926
cg00739471,0.565871544,0.885026656,0.478117097,0.85070536,0.726181529,0.734932628,0.910157963,0.769262751
cg00753924,0.680977925,0.911977498,0.720526466,0.901006264,0.805140651,0.661821813,0.712976883,0.877234066
cg00807197,0.859226634,0.505986089,0.890786364,0.793739037,0.874653601,0.879907407,0.673570518,0.90178101
cg00813752,0.520136085,0.441123148,0.386771273,0.389570271,0.416198813,0.376064219,0.441527375,0.388364286
cg00851732,0.414226201,0.477770743,0.097251781,0.069418966,0.069351719,0.406127161,0.485560587,0.260933798
cg00871610,0.897534495,0.936383516,0.54227749,0.544871077,0.598623735,0.570714841,0.87583253,0.540665054
cg00899350,0.840027315,0.667002353,0.821691925,0.672620751,0.686538286,0.788635253,0.699625601,0.663438806
cg00918181,0.928940442,0.941640014,0.938522435,0.949388942,0.950166749,0.942070666,0.95098771,0.945743695
cg00923880,0.075931118,0.508064785,0.841617872,0.838941343,0.737780328,0.236693547,0.571936826,0.20707254
