Labels,PA L 1,PB L 2,PB L 3,PB L 4,PA LL 1,PA LL 2,PB LL 3,PB LL 4
cg00024494,0.929964488,0.545374514,0.589379432,0.689360348,0.883293019,0.921262324,0.807821654,0.902426526
cg00034101,0.127184639,0.177995127,0.069622545,0.027810795,0.016498248,0.056434541,0.239879631,0.200892353
cg00078857,0.300972374,0.367525407,0.462760252,0.500758143,0.523415218,0.041892419,0.526798757,0.530209106
cg00107579,0.026940546,0.056722356,0.071933308,0.034549166,0.070561696,0.054904861,0.485789074,0.034551944
cg00153919,0.251618152,0.162645833,0.233941553,0.172051311,0.538959608,0.589117576,0.146281496,0.160316965
cg00292669,0.901080488,0.528990366,0.537107204,0.524928315,0.718496353,0.921696858,0.536889031,0.666113518
cg00301396,0.03207198,0.029231563,0.02730722,0.029208225,0.034419726,0.02089697,0.025349818,0.024698797
cg00361017,0.138907307,0.199926099,0.092999731,0.152642015,0.223774132,0.086592779,0.092717969,0.177612339
cg00369376,0.899014418,0.201856759,0.116146966,0.042576384,0.580697841,0.736897101,0.39140311,0.405962741
cg00381755,0.015547152,0.019769853,0.020736527,0.019379511,0.033781535,0.03900478,0.020229325,0.029927528
cg00384205,0.914137831,0.611959977,0.646275016,0.919337558,0.855969316,0.883208846,0.917160184,0.901330142
cg00397910,0.047541422,0.084033531,0.052035978,0.045626211,0.129577588,0.074624779,0.048037026,0.057435217
cg00408773,0.03770226,0.0392671,0.03563726,0.042154439,0.04586099,0.540012001,0.025610105,0.021198744
cg00428638,0.497471695,0.502654148,0.515240335,0.530248149,0.610429072,0.489790049,0.22998466,0.565277027
cg00431565,0.521544649,0.239531284,0.273546938,0.520366235,0.218666423,0.401039348,0.458499226,0.532618389
cg00473597,0.357272861,0.415551003,0.549815943,0.35143741,0.246812949,0.534452512,0.250653705,0.187699927
cg00504902,0.883212481,0.864172617,0.888339518,0.894681892,0.868352763,0.930245474,0.936628468,0.91468099
cg00604454,0.949397861,0.948792442,0.963644337,0.968766367,0.911808154,0.927879637,0.93270844,0.960264934
cg00610991,0.933265809,0.923896302,0.936077794,0.935835902,0.671276173,0.83806114,0.931325714,0.81945268
cg00619263,0.257511383,0.27789293,0.472417887,0.151403178,0.749976613,0.144443211,0.398535003,0.168541891
cg00631327,0.152209135,0.038557932,0.033870838,0.037297201,0.268933757,0.026769317,0.451532188,0.494507627
cg00631329,0.52620156,0.502919932,0.543790384,0.497235895,0.757763416,0.68691418,0.600658245,0.658921771
cg00659077,0.139892059,0.242128216,0.356585148,0.135259926,0.394282045,0.501578059,0.457765378,0.506992518
cg00666014,0.129291349,0.865995163,0.894822146,0.544336013,0.435254562,0.633370904,0.647146067,0.852650239
cg00666422,0.063510914,0.566651833,0.5502794,0.509424585,0.181640549,0.080636723,0.585197956,0.363813329
cg00718336,0.07779222,0.0592422,0.052538849,0.047623347,0.07595205,0.062399773,0.06180924,0.091190425
cg00739471,0.269367298,0.178472327,0.092393775,0.413642395,0.224341534,0.184131594,0.111902392,0.350479825
cg00753924,0.480151647,0.433626549,0.519567441,0.491284146,0.17911287,0.397422901,0.539734609,0.362945967
cg00807197,0.83486372,0.879147405,0.847085516,0.484849488,0.519823638,0.891315769,0.416749606,0.891309352
cg00813752,0.882110308,0.512711365,0.512051699,0.503864904,0.636794397,0.910427589,0.514834221,0.669600385
cg00851732,0.16238665,0.543436434,0.531435324,0.54618125,0.704583681,0.256346859,0.322999334,0.395242381
cg00871610,0.51593707,0.057986663,0.08469348,0.053418558,0.488601766,0.512248987,0.045804076,0.034666796
cg00899350,0.579589565,0.542152494,0.549864697,0.55018467,0.17681006,0.465716858,0.535639526,0.352103853
cg00918181,0.557283308,0.586229808,0.61471714,0.582959592,0.19763873,0.349654372,0.687705146,0.765766182
cg00923880,0.471304516,0.605658553,0.580509821,0.484774659,0.407846524,0.562999977,0.59048955,0.333598192
cg00930606,0.285037854,0.181061138,0.212874442,0.392379848,0.046387627,0.196814793,0.076457597,0.087427037
cg00953006,0.68855064,0.882607065,0.879096255,0.867550061,0.860957371,0.301606112,0.875037254,0.941111855
cg00973118,0.074220437,0.098650901,0.093392033,0.075136086,0.070981314,0.052780103,0.061741844,0.061521541
cg00980622,0.366158901,0.306181145,0.271899557,0.300005758,0.387892674,0.366559969,0.419821667,0.332904117
cg01000188,0.151361753,0.441795731,0.525055461,0.261649141,0.022097091,0.073222049,0.108592415,0.256931992
cg01017147,0.907636106,0.920318248,0.911830255,0.89219407,0.906147082,0.92977343,0.880449179,0.932412741
cg01066431,0.113198528,0.160231657,0.121408099,0.313004123,0.21460546,0.116229422,0.125855622,0.134535847
cg01078772,0.456343225,0.367206861,0.513222291,0.262640523,0.286995346,0.313338178,0.276159269,0.225038871
cg01094192,0.477640854,0.500405124,0.52390642,0.49018237,0.09501923,0.428424144,0.488813699,0.429709468
