Labels,JA LL 1,JALL 2,JA3,JA4,JB LL 3,JB LL 4,JB3,JB4
cg00024494,0.894188291,0.961108464,0.917581281,0.595853598,0.326585016,0.541938834,0.417264859,0.651825897
cg00034101,0.561640309,0.343835102,0.533514786,0.445795477,0.632622376,0.336280292,0.736214436,0.894700961
cg00078857,0.617991534,0.436879754,0.384521304,0.094971458,0.04621763,0.893783355,0.193484055,0.055801776
cg00107579,0.362158253,0.045897973,0.162370439,0.086347237,0.707292595,0.320308796,0.614117446,0.554716226
cg00153919,0.59211081,0.740598451,0.469438644,0.544414884,0.838232041,0.936840171,0.381351453,0.909620543
cg00292669,0.825979284,0.934408774,0.620840811,0.595127353,0.285344526,0.918971313,0.476509495,0.512718204
cg00301396,0.878785667,0.922088749,0.827542015,0.933713201,0.041433781,0.036933374,0.293550669,0.033231633
cg00361017,0.178552171,0.153009436,0.181363468,0.161111362,0.648806734,0.806451904,0.629300318,0.469917642
cg00369376,0.387054288,0.779113659,0.813273071,0.847655417,0.423643929,0.062885195,0.366219309,0.924206807
cg00381755,0.942669834,0.980796582,0.758888719,0.865729397,0.028514059,0.041303317,0.476530289,0.093459253
cg00384205,0.660917069,0.404895481,0.503956337,0.54272229,0.914452968,0.827685243,0.894569241,0.923485586
cg00397910,0.90328304,0.873992733,0.914540433,0.946702839,0.940521384,0.866355056,0.302340138,0.939345079
cg00408773,0.080293132,0.087625163,0.159121162,0.088456416,0.47379252,0.497783254,0.849490061,0.659269491
cg00428638,0.063407534,0.124834914,0.142032373,0.080587678,0.071999378,0.063711708,0.207011272,0.087435251
cg00431565,0.395140663,0.077247418,0.359549331,0.242572584,0.40286521,0.597568779,0.494079492,0.218290335
cg00473597,0.718593211,0.667396289,0.447678503,0.882719052,0.546762131,0.349877018,0.145658007,0.612839792
cg00504902,0.244252658,0.216198682,0.515335784,0.538870319,0.167063735,0.045186701,0.225101574,0.549104805
cg00604454,0.966979366,0.962454739,0.902275691,0.950042102,0.739286409,0.734571586,0.642650967,0.591265277
cg00610991,0.745653071,0.764493287,0.947583926,0.934040092,0.594043078,0.774614006,0.710328165,0.635924664
cg00619263,0.700770218,0.856811969,0.7020418,0.942000544,0.128603923,0.148370894,0.128137111,0.181931418
cg00631327,0.065919285,0.057157188,0.055061296,0.02838909,0.046029817,0.13398636,0.274763983,0.028852189
cg00631329,0.897385234,0.856156818,0.950177472,0.947842844,0.89830528,0.865965267,0.91106117,0.938892756
cg00659077,0.841600062,0.914205509,0.792536001,0.264038773,0.508819276,0.876409006,0.256597506,0.300795092
cg00666014,0.755548894,0.679300792,0.598837832,0.621688893,0.613367174,0.060099524,0.147588592,0.6439398
cg00666422,0.037950916,0.061559278,0.069581927,0.055943767,0.120062915,0.030593821,0.190723435,0.064146732
cg00718336,0.44609874,0.495197138,0.46398741,0.497023619,0.210946983,0.063101645,0.241071976,0.397764571
cg00739471,0.707067334,0.665248096,0.704332542,0.657779845,0.801457374,0.760284662,0.885003117,0.747720121
cg00753924,0.166418586,0.14595034,0.135958644,0.197967479,0.051099925,0.445696476,0.217685021,0.101728611
cg00807197,0.183547621,0.190203149,0.063409391,0.049231533,0.596764872,0.440978196,0.041982478,0.120827857
cg00813752,0.717413238,0.663302645,0.586847106,0.828917488,0.022353493,0.818408078,0.380728232,0.348508147
cg00851732,0.685625454,0.69124795,0.490273424,0.172891726,0.32534971,0.932742817,0.55382498,0.054445425
cg00871610,0.0662249,0.098381789,0.139876127,0.05965425,0.323565449,0.892742255,0.498309221,0.579506553
cg00899350,0.364917557,0.394773648,0.503965336,0.516686434,0.757893563,0.0684436,0.564466706,0.844438957
cg00918181,0.326147596,0.690916078,0.198257623,0.164358348,0.929336172,0.878782166,0.87324006,0.955925052
cg00923880,0.099344527,0.168038694,0.061703995,0.052725347,0.080745574,0.785186468,0.659319399,0.05005192
cg00930606,0.097248633,0.052122086,0.203295586,0.17485431,0.263454696,0.866464823,0.735399212,0.098029933
cg00953006,0.481127564,0.87193663,0.5572457,0.175083886,0.275674519,0.439650751,0.655377207,0.543424513
cg00973118,0.879140084,0.943954697,0.853696385,0.853741925,0.894425755,0.887573822,0.416587618,0.57783357
