Labels,EA LL 1,EA LL2,EA1,EA_gld,EB LL 3,EB LL4,EB1,EB2
cg00024494,0.511041413,0.217055941,0.381971821,0.474712058,0.609235674,0.63568165,0.593693597,0.88682468
cg00034101,0.160963317,0.479470201,0.410139953,0.225540804,0.465579218,0.479253182,0.361294638,0.264937299
cg00078857,0.582244265,0.487794981,0.652451217,0.501726041,0.470271576,0.564746435,0.508030916,0.758394909
cg00107579,0.433841394,0.755977669,0.561096468,0.586457402,0.487558062,0.064034567,0.135565959,0.209059508
cg00153919,0.736350824,0.928462582,0.925208378,0.900598238,0.713600988,0.727413391,0.496425042,0.533645085
cg00292669,0.209105398,0.215561665,0.104025212,0.081081807,0.746140311,0.646485243,0.635848562,0.702950984
cg00301396,0.582616431,0.68517843,0.935653996,0.903847565,0.903847926,0.899997397,0.972370623,0.864051035
cg00361017,0.599797577,0.808142948,0.847330904,0.850078007,0.354590163,0.761975399,0.718846926,0.8767672
cg00369376,0.415090284,0.849948921,0.896737585,0.926093092,0.463526313,0.260973542,0.516794846,0.848656773
cg00381755,0.572224386,0.780659859,0.814423197,0.910570746,0.93557372,0.903217404,0.943770513,0.796419004
cg00384205,0.54385343,0.66291606,0.754874767,0.505691511,0.104999479,0.17280001,0.065541786,0.532175895
cg00397910,0.88336863,0.628942256,0.897174083,0.929996481,0.46591676,0.674166079,0.475106393,0.687858006
cg00408773,0.4230073,0.89135573,0.582410672,0.498953987,0.667718688,0.160384987,0.208133276,0.837601634
cg00428638,0.66770616,0.525746563,0.47084824,0.486000516,0.689016819,0.54236325,0.514124108,0.895397699
cg00431565,0.533193965,0.859205663,0.68874719,0.743944417,0.841768395,0.724247375,0.548810534,0.792009578
cg00473597,0.711551577,0.859309841,0.596789249,0.709813365,0.535587267,0.313878538,0.520873093,0.312308032
cg00504902,0.750738549,0.906285609,0.910482003,0.895277988,0.599760908,0.760946882,0.549992143,0.866886761
cg00604454,0.364448761,0.51921532,0.568185448,0.508228756,0.019157895,0.254409422,0.102523166,0.550743326
cg00610991,0.676628859,0.512769906,0.5963061,0.533954259,0.177615206,0.368664131,0.040876308,0.428073915
cg00619263,0.575856724,0.872506592,0.853028391,0.932450794,0.298964425,0.073545096,0.10147869,0.290285942
cg00631327,0.607750746,0.61233628,0.86858704,0.521482779,0.549949647,0.492235578,0.538857437,0.774609416
cg00631329,0.407513779,0.789741521,0.586113338,0.542086342,0.148143673,0.041826251,0.029991241,0.032462866
cg00659077,0.278766254,0.859832495,0.640886949,0.715820772,0.250503649,0.417361499,0.500831255,0.126038271
cg00666014,0.753261776,0.886650309,0.921864483,0.858272429,0.62494888,0.688543455,0.55690616,0.906515979
cg00666422,0.463751396,0.775303997,0.679865564,0.570679834,0.154297507,0.090893128,0.060772836,0.513594659
cg00718336,0.207375046,0.640450043,0.501955641,0.470313275,0.062241813,0.058084671,0.060860762,0.146250698
cg00739471,0.711204474,0.693861819,0.821064807,0.898512666,0.790509195,0.754254748,0.595354054,0.914315002
cg00753924,0.407346585,0.411217361,0.542984079,0.535221007,0.110711043,0.046712479,0.115414759,0.413672993
cg00807197,0.303715418,0.88249148,0.905682244,0.919761612,0.082261653,0.027288721,0.052524243,0.258932159
cg00813752,0.661489137,0.809643295,0.899591193,0.934042113,0.601015673,0.872345713,0.894449968,0.831793134
cg00851732,0.17952072,0.647364267,0.506313593,0.536679981,0.098956222,0.076586436,0.048418973,0.128917572
cg00871610,0.37489172,0.91255779,0.837274107,0.94409517,0.520849612,0.540592051,0.379422151,0.578163589
