Labels,MA1,MA2,MA3,MA4,MB1,MB2,MB3,MB4
cg00024494,0.533359548,0.884583311,0.337735651,0.633005941,0.575798044,0.405257328,0.24994767,0.45376241
cg00034101,0.108831516,0.503894396,0.438597759,0.280174403,0.268203699,0.237800646,0.446828274,0.106877256
cg00078857,0.472490471,0.629661195,0.493558248,0.539912638,0.279016115,0.364523606,0.3409131,0.354823257
cg00107579,0.502882903,0.550400951,0.090443807,0.289671963,0.520138674,0.326884327,0.570893667,0.323541626
cg00153919,0.301864533,0.114617793,0.202405181,0.076078462,0.164003423,0.151379423,0.146689234,0.080046556
cg00292669,0.506325946,0.915986356,0.561901269,0.601738536,0.42365774,0.537714212,0.092451732,0.57462179
cg00301396,0.026398221,0.023600867,0.020730444,0.027270725,0.023914371,0.020456731,0.017929861,0.022018162
cg00361017,0.810974648,0.14850066,0.933576236,0.762199476,0.114079354,0.168152373,0.282138952,0.445214219
cg00369376,0.582358291,0.048403521,0.55056351,0.071985169,0.059814648,0.077124775,0.099487211,0.051007469
cg00381755,0.039664952,0.037380142,0.037103464,0.022402687,0.018575394,0.026278113,0.019218896,0.01610827
cg00384205,0.669870388,0.524224441,0.598146808,0.598315011,0.438336671,0.052402621,0.060383969,0.04575081
cg00397910,0.054752063,0.535171071,0.057452444,0.05433545,0.0604099,0.063968216,0.057459235,0.064648381
cg00408773,0.567716739,0.468786474,0.514717385,0.061527778,0.47754302,0.36035574,0.883275967,0.351443759
cg00428638,0.514926572,0.456571746,0.533837605,0.57807748,0.445434325,0.398978256,0.518059028,0.342672714
cg00431565,0.489923404,0.729487702,0.283140063,0.602733008,0.488861561,0.386486871,0.687951651,0.469922977
cg00473597,0.375606493,0.539615451,0.231672847,0.778682554,0.767674718,0.345598206,0.797638543,0.397905944
cg00504902,0.739026649,0.846114002,0.912954897,0.916308823,0.125640166,0.353344917,0.200096262,0.402452863
cg00604454,0.434826049,0.830326855,0.588747118,0.571690924,0.447659561,0.566916931,0.560504033,0.555423562
cg00610991,0.633913308,0.707030808,0.525875159,0.444540808,0.930773698,0.940640143,0.953117198,0.924066868
cg00619263,0.436167455,0.132290456,0.148358385,0.557145354,0.56673197,0.312399598,0.445239155,0.463507827
cg00631327,0.024772716,0.025745986,0.044117804,0.033626094,0.174584754,0.041920833,0.030539901,0.038292908
cg00631329,0.5566355,0.519805697,0.49960356,0.044133426,0.817672657,0.544601018,0.584947374,0.554225469
cg00659077,0.128707739,0.824501029,0.140937288,0.508327063,0.763397407,0.140909542,0.075496128,0.061044961
cg00666014,0.679826618,0.597075879,0.595736209,0.049048695,0.391784832,0.40163498,0.571449883,0.35527748
cg00666422,0.079903808,0.051178455,0.058014071,0.05921943,0.488055554,0.034370214,0.565824448,0.057189824
cg00718336,0.829181646,0.177125862,0.85591026,0.735983393,0.579880699,0.445537049,0.558553831,0.564848019
cg00739471,0.746089429,0.886654493,0.780311634,0.930558996,0.433260706,0.476699917,0.275729738,0.28324298
cg00753924,0.56252766,0.851143473,0.148722518,0.20212195,0.421095309,0.273153267,0.322874047,0.398023392
cg00807197,0.729665655,0.543978738,0.909556996,0.472632471,0.534240194,0.286348788,0.483125093,0.226688818
cg00813752,0.475062792,0.503196471,0.498199672,0.508879479,0.497066742,0.357013661,0.497077437,0.32260836
cg00851732,0.528616527,0.077192948,0.546326144,0.391616508,0.04501344,0.059842577,0.074437946,0.2399415
cg00871610,0.180366126,0.523529806,0.049412226,0.508529414,0.057966273,0.051976081,0.095315467,0.040633388
cg00899350,0.170037889,0.815922942,0.168930411,0.568913567,0.17560243,0.175761948,0.161193824,0.155924858
cg00918181,0.051973986,0.139448191,0.215057163,0.02884706,0.849721145,0.541725656,0.762399202,0.461887995
cg00923880,0.760369582,0.85166195,0.874423167,0.758369849,0.097260552,0.505358405,0.800361708,0.56377562
cg00930606,0.783978435,0.519115929,0.855871037,0.90329656,0.10532601,0.09533825,0.134720904,0.116834286
cg00953006,0.692627485,0.869879808,0.484703176,0.677795143,0.18849628,0.604384047,0.049066638,0.357891226
cg00973118,0.182066701,0.541052789,0.128299383,0.584219684,0.161281147,0.120940183,0.101826677,0.072237066
cg00980622,0.194672024,0.229832683,0.144817797,0.366918318,0.486556781,0.427926437,0.472205619,0.529656192
cg01000188,0.546897609,0.490093984,0.564208661,0.319863254,0.241611096,0.112900089,0.466490998,0.096894619
cg01017147,0.921543513,0.579011498,0.867398546,0.938635456,0.851874766,0.844708005,0.906945834,0.921459518
cg01066431,0.621019515,0.76222865,0.822148189,0.664362681,0.448131454,0.097319908,0.480461748,0.103092915
cg01078772,0.234452343,0.309332552,0.428212267,0.46633812,0.638426987,0.634108821,0.668359749,0.671823292
cg01094192,0.454530852,0.482455014,0.519981999,0.107292643,0.818743822,0.306418667,0.814647057,0.319164524
cg01094687,0.699791322,0.556493878,0.575811839,0.565839376,0.081882992,0.054026644,0.031396967,0.037407211
cg01094748,0.699110968,0.545456666,0.878474068,0.903333302,0.09688294,0.093360186,0.089017768,0.087982456
cg01101873,0.813716867,0.912121552,0.685848692,0.962747951,0.747557902,0.266858591,0.610619411,0.580114226
cg01104306,0.311224403,0.170032679,0.507127186,0.537947501,0.114945489,0.458836006,0.502358134,0.473613214
cg01126532,0.399984638,0.881913558,0.457014287,0.429089612,0.42625327,0.453165431,0.459421292,0.441950533
cg01156747,0.442314849,0.118813355,0.529680986,0.57189943,0.304234716,0.103868698,0.52143611,0.06509831
cg01165661,0.158176366,0.187496111,0.101273832,0.854607718,0.886157971,0.647578579,0.503539378,0.713319377
cg01169021,0.934137994,0.94782678,0.949277824,0.946803693,0.895085853,0.944116874,0.947152706,0.957525971
cg01180479,0.01655107,0.013661076,0.046195437,0.016081213,0.015673704,0.081697665,0.032130998,0.07016273
cg01196336,0.090628187,0.392595856,0.117785764,0.297818187,0.433798474,0.306217478,0.194461548,0.225725365
cg01208566,0.34280983,0.451300147,0.080226019,0.068951568,0.846881623,0.211564902,0.836021526,0.488854676
cg01218619,0.5590762,0.964759119,0.584585855,0.665881627,0.520514852,0.686501153,0.620295646,0.581682013
cg01219135,0.795813216,0.836133714,0.921580599,0.94264028,0.094524725,0.097906508,0.081398167,0.086691586
cg01223011,0.033919216,0.836441081,0.045470543,0.462984295,0.306434208,0.435779334,0.42191284,0.433959824
cg01242676,0.883463342,0.568612124,0.856619038,0.903580942,0.040016216,0.059633586,0.08076893,0.042201692
cg01248445,0.620927629,0.855514002,0.096858424,0.363570151,0.400802865,0.310789531,0.378671857,0.303760559
cg01270593,0.288262489,0.443985331,0.450972782,0.406433633,0.385297435,0.471585605,0.487350967,0.44466709
cg01274753,0.07003628,0.060137609,0.044892157,0.029730589,0.061280205,0.054828105,0.047478847,0.05282715
cg01293179,0.431120837,0.488633883,0.506571723,0.830019342,0.827933678,0.902777193,0.835612446,0.648655718
cg01301319,0.079935312,0.063803027,0.107313057,0.105206773,0.191909159,0.585803181,0.135422471,0.690171902
cg01309328,0.394341176,0.820822693,0.267925323,0.247313194,0.471373533,0.586311237,0.396699859,0.4769475
cg01314743,0.077976871,0.132690073,0.090748275,0.094291771,0.29345483,0.359719427,0.276877669,0.424375874
cg01324343,0.884210935,0.500772339,0.883768245,0.541173293,0.05817284,0.06419271,0.03810383,0.028288789
cg01351327,0.416733233,0.555068779,0.514747835,0.549310573,0.595167916,0.545576391,0.583685209,0.644392407
cg01359962,0.094339659,0.033467793,0.043677335,0.604771612,0.045567,0.026608196,0.039409541,0.02900318
