Labels,SA LL 1,SA LL 2,SA LL 5,SA LL 6,SB LL 3,SB LL 4,SB LL 7,SB LL 8
cg00024494,0.34925602,0.476177153,0.569664988,0.465458915,0.550948243,0.638756988,0.575935358,0.684028715
cg00034101,0.436342706,0.613563008,0.477303007,0.338116712,0.370634431,0.420772977,0.25767946,0.669411659
cg00078857,0.155572856,0.062852759,0.174692827,0.55722081,0.07586739,0.094337976,0.193184453,0.03407274
cg00107579,0.52927258,0.446444532,0.528465954,0.184971402,0.45670486,0.365461315,0.160722649,0.074516753
cg00153919,0.164670874,0.114353407,0.43232054,0.146717752,0.165592465,0.199395556,0.799009917,0.505340106
cg00292669,0.16988166,0.068691411,0.134517256,0.14187109,0.144503796,0.085240465,0.322343798,0.233530751
cg00301396,0.95016962,0.945402997,0.884117985,0.848964998,0.912043306,0.966029024,0.633801643,0.576985477
cg00361017,0.172705401,0.714358199,0.77063345,0.853995004,0.898449705,0.918489605,0.63132888,0.809040395
cg00369376,0.422963065,0.477038809,0.321447954,0.578590065,0.212733538,0.136009319,0.033064267,0.047952934
cg00381755,0.971892075,0.926911435,0.855168775,0.915504391,0.900110252,0.920985805,0.547037296,0.756636349
cg00384205,0.055688288,0.076838907,0.154626993,0.127777514,0.538111647,0.40435134,0.630852769,0.724911711
cg00397910,0.036880281,0.087098275,0.132368023,0.928161267,0.072235337,0.138403335,0.561345805,0.917206238
cg00408773,0.532658962,0.856708037,0.527754701,0.092384197,0.517929046,0.940814778,0.69414971,0.908572407
cg00428638,0.348710905,0.495726638,0.449778866,0.42261441,0.517812953,0.471740457,0.69066594,0.371180288
cg00431565,0.074720236,0.101103637,0.143370605,0.230873509,0.081679777,0.112750888,0.033237611,0.037434989
cg00473597,0.185636869,0.210200025,0.406565576,0.495853427,0.706132471,0.703240685,0.387024204,0.061850145
cg00504902,0.028264291,0.055833685,0.071225732,0.034005885,0.044208656,0.051705234,0.078069456,0.885813907
cg00604454,0.379603684,0.508444645,0.601903474,0.43239502,0.464832897,0.577906959,0.362311871,0.402294048
cg00610991,0.852136595,0.502478102,0.053061311,0.651859087,0.56949794,0.559589809,0.424244658,0.619733297
